
[00:00:00.000 --> 00:00:05.000]  我們今天還要跟弟兄姊妹一同來看約翰一書
[00:00:05.000 --> 00:00:08.000]  我們今天要來思想
[00:00:08.000 --> 00:00:19.000]  要來一同來看的聖經是在約翰一書四章十二節到二十一節這一段
[00:00:19.000 --> 00:00:25.000]  我們來一起讀這段聖經裏頭一部分
[00:00:25.000 --> 00:00:29.000]  我們來讀第四章十二節
[00:00:29.000 --> 00:00:33.000]  我們就讀一節聖經
[00:00:33.000 --> 00:00:39.000]  約翰一書四章十二節
[00:00:39.000 --> 00:00:44.000]  翻到以後請我們同聲來讀兩遍
[00:00:44.000 --> 00:00:46.000]  一起來讀兩遍
[00:00:46.000 --> 00:00:49.000]  我們一起來
[00:00:49.000 --> 00:00:52.000]  從來沒有人見過神
[00:00:52.000 --> 00:00:54.000]  我們若彼此相愛
[00:00:54.000 --> 00:00:57.000]  神就住在我們身邊
[00:00:57.000 --> 00:01:01.000]  愛他的心在我們裏面得以完全了
[00:01:01.000 --> 00:01:02.000]  再來一次
[00:01:02.000 --> 00:01:05.000]  從來沒有人見過神
[00:01:05.000 --> 00:01:07.000]  我們若彼此相愛
[00:01:07.000 --> 00:01:10.000]  神就住在我們裏面
[00:01:10.000 --> 00:01:15.000]  愛他的心在我們裏面得以完全了
[00:01:15.000 --> 00:01:18.000]  今天我們在這一段聖經
[00:01:18.000 --> 00:01:20.000]  我給大家起的題目是
[00:01:20.000 --> 00:01:24.000]  在審判的日子坦然無懼
[00:01:24.000 --> 00:01:29.000]  這是要到第十七節纔講到
[00:01:29.000 --> 00:01:33.000]  他說這樣愛在我們裏面得以完全
[00:01:33.000 --> 00:01:38.000]  我們就可以在審判的日子坦然無懼
[00:01:38.000 --> 00:01:40.000]  因爲他如何
[00:01:40.000 --> 00:01:43.000]  我們在這個世上也如何
[00:01:43.000 --> 00:01:47.000]  當基督徒遇到患難失戀的時候
[00:01:47.000 --> 00:01:51.000]  有時候就會懷疑自己的信仰
[00:01:51.000 --> 00:01:55.000]  那如果我信的是真的了
[00:01:55.000 --> 00:01:57.000]  怎麼會有這些難處呢
[00:01:57.000 --> 00:02:00.000]  不是信了以後我們就很平安
[00:02:00.000 --> 00:02:01.000]  我們就有福嗎
[00:02:01.000 --> 00:02:03.000]  怎麼還有這些難處呢
[00:02:03.000 --> 00:02:05.000]  不管是家庭的難處
[00:02:05.000 --> 00:02:07.000]  或者個人的難處
[00:02:07.000 --> 00:02:09.000]  這些難處怎麼會有呢
[00:02:09.000 --> 00:02:14.000]  我們就會想到這些的問題
