
[00:00:00.000 --> 00:00:05.120]  那我今天要跟他繼續的來談到這個菲利比書
[00:00:05.120 --> 00:00:11.000]  在菲利比書上次我們講到十一節對不對
[00:00:11.000 --> 00:00:14.080]  那今天我們要從十二節
[00:00:14.080 --> 00:00:18.180]  菲利比書第一章十二節事實上我要講到十八節
[00:00:18.180 --> 00:00:22.780]  菲利比書第一章十二節到十八節
[00:00:22.780 --> 00:00:25.340]  這段神經我們找到我們一起來讀好不好
[00:00:25.340 --> 00:00:26.880]  我們來讀這段神經
[00:00:30.200 --> 00:00:31.480]  看我的 PowerPoint好吧
[00:00:31.480 --> 00:00:38.400]  那請丁宏哲妹妹你翻開你的聖經我們一起來看這段聖經
[00:00:38.400 --> 00:00:41.980]  菲利比書第一章十二節到十八節
[00:00:41.980 --> 00:00:46.840]  我們請弟兄念一節姐妹念一節好不好
[00:00:46.840 --> 00:00:48.640]  弟兄先來預備請
[00:00:48.640 --> 00:00:51.200]  弟兄們我願意你們知道
[00:00:51.200 --> 00:00:53.240]  我所遭遇的事
[00:00:53.240 --> 00:00:55.800]  更是叫福音希望
[00:00:55.800 --> 00:00:57.860]  以致我受的捆鎖
[00:00:58.120 --> 00:01:01.700]  在育吟全軍和其餘的人中
[00:01:01.700 --> 00:01:05.280]  已經顯明是為基督的緣故
[00:01:05.280 --> 00:01:07.080]  並且
[00:01:07.080 --> 00:01:09.120]  那在族裡的弟兄
[00:01:09.120 --> 00:01:11.180]  多半因我受的捆鎖
[00:01:11.180 --> 00:01:13.220]  就堵信不疑
[00:01:13.220 --> 00:01:16.040]  越發放膽傳神的道
[00:01:16.040 --> 00:01:17.580]  無所懼怕
[00:01:17.580 --> 00:01:21.680]  有的傳基督是出於嫉妒紛爭
[00:01:21.680 --> 00:01:23.980]  也有的是出於好意
[00:01:23.980 --> 00:01:26.280]  這一等是出於愛心
[00:01:26.800 --> 00:01:29.360]  知道我是為辨明福音設立的
[00:01:29.360 --> 00:01:31.420]  那一等傳基督
[00:01:31.420 --> 00:01:32.960]  是出於結黨
[00:01:32.960 --> 00:01:34.740]  並不誠實
[00:01:34.740 --> 00:01:38.060]  意思要加增我捆鎖的苦楚
[00:01:38.060 --> 00:01:39.340]  這有何妨呢
[00:01:39.340 --> 00:01:41.140]  或是假意
[00:01:41.140 --> 00:01:42.420]  或是真心
[00:01:42.420 --> 00:01:43.700]  無論怎樣
[00:01:43.700 --> 00:01:46.260]  基督究竟被傳開了
[00:01:46.260 --> 00:01:48.560]  為此我就歡喜
[00:01:48.560 --> 00:01:50.620]  並且還要歡喜
[00:01:50.620 --> 00:01:54.700]  我聽我們弟兄姊妹的念的聲音
[00:01:54.700 --> 00:01:56.500]  好像還沒有聲音大
[00:01:57.000 --> 00:01:58.280]  好我現在
[00:01:58.280 --> 00:02:01.100]  就要請大家一節一節來練好不好
[00:02:01.100 --> 00:02:02.640]  你不用看這個了
[00:02:02.640 --> 00:02:04.420]  因為這個沒有分節
[00:02:04.420 --> 00:02:06.480]  弟兄一節姊妹一節好嗎
[00:02:06.480 --> 00:02:09.800]  由聖經的舉一下手
[00:02:09.800 --> 00:02:11.860]  由聖經八年聖經舉起來
[00:02:11.860 --> 00:02:14.160]  電子聖經也算好不好
[00:02:14.160 --> 00:02:15.700]  有沒有
[00:02:15.700 --> 00:02:18.260]  沒有聖經的請你舉手
[00:02:18.260 --> 00:02:21.840]  下次要請帶聖經
[00:02:21.840 --> 00:02:26.440]  我覺得這個現在整個世界我到台灣去講到哪裡
[00:02:26.700 --> 00:02:27.720]  發現這個問題
[00:02:27.720 --> 00:02:30.020]  就是發現大家已經不帶聖經了
[00:02:30.020 --> 00:02:34.640]  帶個手機裡面有聖經這沒有錯
[00:02:34.640 --> 00:02:37.700]  可是資本聖經越來越少人在用了
[00:02:37.700 --> 00:02:38.980]  很可惜
[00:02:38.980 --> 00:02:41.040]  我這次從泰國
[00:02:41.040 --> 00:02:43.080]  帶了50本聖經
[00:02:43.080 --> 00:02:45.140]  簡體字的回來
[00:02:45.140 --> 00:02:47.440]  因為韓國教會奉獻
[00:02:47.440 --> 00:02:50.260]  希望能夠給中國
[00:02:50.260 --> 00:02:52.560]  出來的弟兄姊妹看
[00:02:52.820 --> 00:02:57.680]  所以他知道我們北美有這個中國來的移民所以叫我們帶
[00:02:57.680 --> 00:03:01.520]  50本聖經啊好重啊20公斤啊
[00:03:01.520 --> 00:03:04.340]  大老遠從泰國帶到美國來啊
[00:03:04.340 --> 00:03:07.160]  但是我發現
[00:03:07.160 --> 00:03:08.700]  用得著嗎
[00:03:08.700 --> 00:03:10.480]  用得著嗎
[00:03:10.480 --> 00:03:13.560]  現在你們準備開始用吧
[00:03:13.560 --> 00:03:15.600]  如果有聖經打開你的聖經
[00:03:15.600 --> 00:03:19.700]  如果你有這個手機的話打開你的我們起來練好不好
[00:03:19.960 --> 00:03:26.100]  來這個再練一遍請弟兄菲律賓書第一章十二節弟兄來預備
[00:03:26.100 --> 00:03:27.120]  請
[00:03:27.120 --> 00:03:30.700]  弟兄們我願意你們知道
[00:03:30.700 --> 00:03:32.500]  我所遭遇的是
