
[00:00:00.000 --> 00:00:04.000]  頂次妹,你心裡平靜安穩嗎?
[00:00:04.000 --> 00:00:07.000]  有沒有什麼很掛念?
[00:00:07.000 --> 00:00:11.000]  然後你不能專心去敬拜我們的神呢?
[00:00:11.000 --> 00:00:15.000]  最近有機會來認識一個機構叫公義樹
[00:00:15.000 --> 00:00:19.000]  這個機構是專服務中小企的基督徒
[00:00:19.000 --> 00:00:22.000]  即是基督徒在中小企裡面工作的
[00:00:22.000 --> 00:00:24.000]  即是做老闆的
[00:00:24.000 --> 00:00:26.000]  很多時候我們見到老闆會覺得
[00:00:26.000 --> 00:00:28.000]  老闆你什麼都不用擔心
[00:00:28.000 --> 00:00:30.000]  有生意有錢
[00:00:30.000 --> 00:00:33.000]  但公義樹的一班基督徒老闆告訴我們
[00:00:33.000 --> 00:00:35.000]  正正是這個包袱
[00:00:35.000 --> 00:00:39.000]  令他們很多重擔是沒辦法跟別人分享的
[00:00:39.000 --> 00:00:42.000]  個個以為做老闆就一定很有錢
[00:00:42.000 --> 00:00:44.000]  生活很無憂
[00:00:44.000 --> 00:00:51.000]  他說工廠公司沒什麼錢賺也好
[00:00:51.000 --> 00:00:53.000]  夥計都會出糧
[00:00:53.000 --> 00:00:55.000]  老闆可能沒錢出糧
[00:00:55.000 --> 00:00:59.000]  所以頂姐妹每個人都有擔子
[00:00:59.000 --> 00:01:01.000]  打工仔的擔子
[00:01:01.000 --> 00:01:05.000]  原來做老闆的都有他的擔子
[00:01:05.000 --> 00:01:08.000]  認識一位弟兄他是醫生
[00:01:08.000 --> 00:01:10.000]  認識很久了
[00:01:10.000 --> 00:01:12.000]  他最近給我一張卡片
[00:01:12.000 --> 00:01:14.000]  很吸引我的不是他的銜頭
[00:01:14.000 --> 00:01:16.000]  他的醫務所
[00:01:16.000 --> 00:01:18.000]  而是其中一句叫做
[00:01:18.000 --> 00:01:21.000]  全年無憂
[00:01:21.000 --> 00:01:25.000]  真的很薄這位弟兄很年輕
[00:01:25.000 --> 00:01:27.000]  全年無憂到一個地步
[00:01:27.000 --> 00:01:31.000]  連星期日都要開診去服侍街坊
[00:01:31.000 --> 00:01:33.000]  真的
[00:01:33.000 --> 00:01:35.000]  他真的無憂到一個地步
[00:01:35.000 --> 00:01:37.000]  連敬拜上帝都沒時間
[00:01:37.000 --> 00:01:40.000]  親愛的頂姐妹
[00:01:40.000 --> 00:01:42.000]  我們要侍奉
[00:01:42.000 --> 00:01:44.000]  如果教會沒人侍奉
[00:01:44.000 --> 00:01:45.000]  教會沒人做事
[00:01:45.000 --> 00:01:48.000]  我們是沒辦法去敬拜上帝
[00:01:48.000 --> 00:01:51.000]  但是我們的侍奉是怎樣的侍奉呢
[00:01:51.000 --> 00:01:53.000]  很多時候我們都好像剛才主席
[00:01:53.000 --> 00:01:56.000]  或者道昌都提醒我們
