
[00:00:00.000 --> 00:00:02.800]  相信大家都很同意
[00:00:02.800 --> 00:00:08.500]  《啟示錄》是一本很難明白的書
[00:00:08.500 --> 00:00:11.500]  很多時候當我們閱讀《啟示錄》
[00:00:11.500 --> 00:00:15.200]  發現當中有很多很奇怪的
[00:00:15.200 --> 00:00:20.300]  很不同的一些描述、一些思想
[00:00:20.300 --> 00:00:23.500]  讓我們很難去掌握
[00:00:23.500 --> 00:00:28.500]  甚至有些用詞、一些詞彙
[00:00:28.500 --> 00:00:32.000]  都是很獨特的
[00:00:32.000 --> 00:00:34.800]  所以我們很多時候都
[00:00:34.800 --> 00:00:38.800]  未必對《啟示錄》有深入的掌握
[00:00:38.800 --> 00:00:42.200]  記得我在很多年前
[00:00:42.200 --> 00:00:45.000]  因為腳傷的緣故
[00:00:45.000 --> 00:00:49.300]  住在醫院都超過一個月了
[00:00:49.300 --> 00:00:51.100]  在這個月裏面
[00:00:51.100 --> 00:00:52.600]  時時都在病房
[00:00:52.600 --> 00:00:57.300]  所以都會和周圍的病友聊天
[00:00:57.300 --> 00:01:00.900]  講講福音、可以和他們分享一下信仰
[00:01:00.900 --> 00:01:02.700]  還記得有一次
[00:01:02.700 --> 00:01:04.800]  當和他講道的時候
[00:01:04.800 --> 00:01:08.700]  這位病友就告訴我
[00:01:08.700 --> 00:01:10.700]  他又讀過《啟示錄》
[00:01:10.700 --> 00:01:12.700]  覺得很難明白
[00:01:12.700 --> 00:01:16.100]  所形容的上帝、形容的主
[00:01:16.100 --> 00:01:19.600]  是很難接受的
[00:01:19.600 --> 00:01:23.700]  好像比較凶惡
[00:01:23.700 --> 00:01:28.800]  原來他提到的是《啟示錄》的第一章
[00:01:28.800 --> 00:01:32.700]  因為第一章裏面有描述到人子
[00:01:32.700 --> 00:01:35.000]  人子身穿長衣
[00:01:35.000 --> 00:01:36.100]  直垂到腳
[00:01:36.100 --> 00:01:38.600]  腰間又束著一個金帶
[00:01:38.600 --> 00:01:40.500]  他的頭和頭髮都很白
[00:01:40.500 --> 00:01:43.400]  白得好像白羊毛、如雪
[00:01:43.400 --> 00:01:47.100]  然後他的眼目如同火焰
[00:01:47.100 --> 00:01:52.000]  又講到從他的口中有一把兩刃劍
[00:01:52.000 --> 00:01:56.300]  還有他的面貌好像烈日放光
[00:01:56.300 --> 00:01:59.300]  所以他去過教會聽過福音
[00:01:59.300 --> 00:02:02.800]  他讀到這裏就覺得很難明白
[00:02:02.800 --> 00:02:06.400]  我想對於我們來說都是真的
[00:02:06.400 --> 00:02:09.600]  《啟示錄》是一本不容易明白的書
[00:02:09.600 --> 00:02:11.400]  不過雖然是這樣
[00:02:11.400 --> 00:02:13.600]  但我很相信
[00:02:13.600 --> 00:02:18.200]  《啟示錄》這本書講的是甚麼呢?
[00:02:18.200 --> 00:02:20.400]  其實都可以說很清楚
[00:02:20.400 --> 00:02:26.500]  這本書要講的是人類歷史的終局
[00:02:26.500 --> 00:02:31.200]  將來人的終極去處在哪裏
[00:02:31.200 --> 00:02:33.200]  這是很清楚的
[00:02:33.200 --> 00:02:37.000]  對某些書卷、某些章節、某些描述
[00:02:37.000 --> 00:02:39.000]  我們有時真的很難去明白
[00:02:39.000 --> 00:02:44.000]  但我們知道這本書最終要告訴世人
[00:02:44.000 --> 00:02:48.000]  告訴我們熟悉的人知道
[00:02:48.000 --> 00:02:52.600]  歷史的終局將會是怎樣
[00:02:52.600 --> 00:02:55.000]  我們知道歷史的開始
[00:02:55.000 --> 00:02:57.800]  人類的開始是創造
[00:02:57.800 --> 00:03:00.200]  我們信主的人知道
[00:03:00.200 --> 00:03:01.800]  創世紀就是在講這件事
[00:03:01.800 --> 00:03:05.600]  第一章就開始講到神創造天地萬物
[00:03:05.600 --> 00:03:11.000]  人類歷史、世間歷史是有開始的
[00:03:11.000 --> 00:03:13.100]  所以第一卷書是在講這件事
[00:03:13.100 --> 00:03:15.600]  然後我們又知道慢慢讀下去
[00:03:15.600 --> 00:03:18.800]  讀到第66卷,聖經的最後一卷
[00:03:18.800 --> 00:03:19.800]  是在講甚麼呢?
[00:03:19.800 --> 00:03:21.800]  是在講人類歷史的結束
[00:03:21.800 --> 00:03:25.400]  將來我們會去哪裏呢?
[00:03:25.400 --> 00:03:27.800]  如果我們承認人是活在時間裏面
[00:03:27.800 --> 00:03:29.800]  我們就很容易明白這個道理
[00:03:29.800 --> 00:03:33.000]  時間由過去、現在走向將來
[00:03:33.000 --> 00:03:36.200]  那將來會是怎樣的景象呢?
[00:03:36.200 --> 00:03:37.600]  啟示錄就是在講這件事
[00:03:37.600 --> 00:03:42.200]  告訴我們將來的景象是怎樣
[00:03:42.200 --> 00:03:46.000]  所以這卷書中間有些艱難的地方我們難明
[00:03:46.000 --> 00:03:49.000]  但是其實那個大目標
[00:03:49.000 --> 00:03:53.000]  想講的焦點是很清楚的
[00:03:53.000 --> 00:03:56.000]  而更加當我們讀到第21章
[00:03:56.000 --> 00:03:58.200]  啟示錄第21章也是尾聲
[00:03:58.200 --> 00:04:00.600]  因為知道有22章是結束
[00:04:00.600 --> 00:04:01.800]  去到尾聲的時候
[00:04:01.800 --> 00:04:03.200]  我們讀聖經就知道
[00:04:03.200 --> 00:04:06.000]  那裏是告訴我們將來會是怎樣
[00:04:06.000 --> 00:04:08.600]  是一個新天新地
[00:04:08.600 --> 00:04:10.800]  第21章的一到五節就告訴我們
[00:04:10.800 --> 00:04:11.800]  有新天新地
[00:04:11.800 --> 00:04:13.800]  先前的天地已經過去了
[00:04:13.800 --> 00:04:16.400]  新的耶路撒冷會來到了
[00:04:16.400 --> 00:04:20.800]  然後人與神在一起是非常的美好
[00:04:20.800 --> 00:04:23.000]  神會擦去他們一切的眼淚
[00:04:23.000 --> 00:04:26.400]  沒有死亡、沒有悲哀、沒有哭號、沒有疼痛
[00:04:26.400 --> 00:04:28.800]  以前的事都過去了
[00:04:28.800 --> 00:04:33.000]  神是將事情更新了一個新的環境
[00:04:33.000 --> 00:04:37.600]  所以我們就是盼望著這些很榮耀的日子
[00:04:37.600 --> 00:04:42.200]  我們或者一般稱它為一個天堂的時間
[00:04:42.200 --> 00:04:44.000]  啟示錄就是在說這些
[00:04:44.000 --> 00:04:48.200]  就是在說我們最後的終局是怎樣
[00:04:48.200 --> 00:04:52.800]  所以讓我們都能夠掌握啟示錄
[00:04:52.800 --> 00:04:55.000]  告訴我們一些重要的信息
[00:04:55.000 --> 00:04:59.600]  雖然也許對某些環節、經文
[00:04:59.600 --> 00:05:02.600]  我們不是很完全的掌握
[00:05:02.600 --> 00:05:07.600]  沒錯,在二十一章告訴我們將來的景象是怎樣
[00:05:07.600 --> 00:05:10.600]  但是當我們慢慢讀這個啟示錄的時候
[00:05:10.600 --> 00:05:12.400]  也都同樣的讓我們知道
[00:05:12.400 --> 00:05:14.800]  不是等到第二十一章
[00:05:14.800 --> 00:05:18.400]  才知道榮耀的將來是怎樣
[00:05:18.400 --> 00:05:20.400]  二十一章是很清楚說的
[00:05:20.400 --> 00:05:21.800]  尾聲的
[00:05:21.800 --> 00:05:24.000]  但是其實當我們讀啟示錄
[00:05:24.000 --> 00:05:27.000]  讀到啟示錄的第七章的時候
[00:05:27.000 --> 00:05:29.200]  已經點點滴滴
[00:05:29.200 --> 00:05:33.400]  告訴我們將來是一個甚麼日子
[00:05:33.400 --> 00:05:34.600]  不用等到二十一章
[00:05:34.600 --> 00:05:37.600]  就是剛才我們所讀的經文
[00:05:37.600 --> 00:05:40.800]  啟示錄的第七章第九到十七節
[00:05:40.800 --> 00:05:44.400]  就是在這個過程中
[00:05:44.400 --> 00:05:47.600]  這個書卷裏面突然間又再一次告訴我們
[00:05:47.600 --> 00:05:50.000]  原來天國是這樣的
[00:05:50.000 --> 00:05:55.000]  榮耀完全的天國是一個這樣的景況
[00:05:55.000 --> 00:05:56.400]  原來不用等到二十一章
[00:05:56.400 --> 00:06:00.800]  第七章已經有些描述給我們知道
[00:06:00.800 --> 00:06:03.400]  所以弟兄姊妹剛才我們一邊聽一邊讀
[00:06:03.400 --> 00:06:04.800]  這段經文的時候
[00:06:04.800 --> 00:06:08.800]  其實就是告訴我們將來是怎樣
[00:06:08.800 --> 00:06:12.200]  榮耀的國度大概是怎樣
[00:06:12.200 --> 00:06:16.600]  而今天我們是在展望中
[00:06:16.600 --> 00:06:19.800]  我們是面向這個將來
[00:06:19.800 --> 00:06:21.600]  神為我們預備
[00:06:21.600 --> 00:06:23.400]  為世人所預備
[00:06:23.400 --> 00:06:26.200]  所以今天我們在這段經文裏面
[00:06:26.200 --> 00:06:29.400]  是稍為穿一些了解掌握
[00:06:29.400 --> 00:06:30.600]  並且當然很重要
[00:06:30.600 --> 00:06:32.400]  當我們明白了的時候
[00:06:32.400 --> 00:06:35.400]  當我們展望著這些美好的日子的時候
[00:06:35.400 --> 00:06:37.600]  我們有些反思
[00:06:37.600 --> 00:06:40.200]  有些學習
[00:06:40.200 --> 00:06:43.400]  這樣才來得有些意義
[00:06:43.400 --> 00:06:46.400]  或者我們看回這個日子裏面
