
[00:00:00.000 --> 00:00:04.200]  好 我們讀一段聖經在耶穌亞記第六章
[00:00:04.200 --> 00:00:07.600]  第一節到第五節
[00:00:07.600 --> 00:00:09.080]  這裡講到耶利哥的城門
[00:00:09.080 --> 00:00:13.480]  因以色列人就關得嚴謹 無人出入
[00:00:13.480 --> 00:00:14.980]  耶和華小於耶穌說
[00:00:14.980 --> 00:00:17.920]  看啊 我已經把耶利哥和耶利哥的王
[00:00:17.920 --> 00:00:21.260]  並大能的勇士都交在你手中
[00:00:21.260 --> 00:00:23.620]  你們的一切兵丁要圍繞這城
[00:00:23.620 --> 00:00:26.960]  一日圍繞 一次六日都要這樣行
[00:00:26.960 --> 00:00:29.660]  七個祭司要拿七個羊角走在約會前
[00:00:29.660 --> 00:00:32.260]  到第七日你們要繞城七次
[00:00:32.260 --> 00:00:34.460]  祭司也要吹角
[00:00:34.460 --> 00:00:36.560]  他們吹角的 角聲托長
[00:00:36.560 --> 00:00:39.680]  你們聽見角聲 眾百姓大聲呼喊
[00:00:39.680 --> 00:00:41.380]  城牆就壁 塌陷
[00:00:41.380 --> 00:00:43.680]  個人都要往前直上
[00:00:43.680 --> 00:00:44.840]  第十節
[00:00:44.840 --> 00:00:46.040]  約瑟要吩咐百姓說
[00:00:46.040 --> 00:00:47.680]  你們不可呼喊 不可出聲
[00:00:47.680 --> 00:00:50.040]  連一句話也不可出你們的口
[00:00:50.040 --> 00:00:52.920]  等我到吩咐你們呼喊的日子
[00:00:52.920 --> 00:00:55.120]  那時才可以呼喊
[00:00:55.120 --> 00:00:56.020]  十一節這樣
[00:00:56.020 --> 00:00:57.920]  他使耶和華的約會繞城
[00:00:57.920 --> 00:01:00.460]  把城繞了一次 眾人回到營裡
[00:01:00.460 --> 00:01:02.020]  就在營裡住宿
[00:01:02.020 --> 00:01:04.260]  我們就讀到這裡
[00:01:04.260 --> 00:01:07.100]  感謝神帶領卓爾君牧師師母
[00:01:07.100 --> 00:01:10.240]  來到我們中間加入我們牧者的團隊
[00:01:10.240 --> 00:01:14.680]  剛好可以補足我們教牧領袖學院的需求
[00:01:14.680 --> 00:01:17.940]  如果你曾經注意到在疫情以來
[00:01:17.940 --> 00:01:22.580]  我們教會經歷了許許多多牧者的變動
[00:01:22.580 --> 00:01:23.520]  很多人常問我說
[00:01:23.520 --> 00:01:27.920]  劉牧師你怎麼看這許多牧者的改變
[00:01:27.920 --> 00:01:30.360]  其實我在林裡面感覺到
[00:01:30.360 --> 00:01:33.760]  神好像正在下棋
[00:01:33.760 --> 00:01:39.100]  祂正在按照祂的心意在調度所有的棋子
[00:01:39.100 --> 00:01:40.560]  而我們每一位牧者
[00:01:40.560 --> 00:01:44.300]  其實只不過在神手中的一個小棋子而已
[00:01:44.300 --> 00:01:48.100]  在我們人生有不同的生命季節
[00:01:48.100 --> 00:01:50.940]  神要我們做不同的事情
[00:01:50.940 --> 00:01:52.480]  對教會來講
[00:01:52.480 --> 00:01:57.040]  神也正在調度不同的牧者聚集在一起
[00:01:57.040 --> 00:02:02.720]  為的是要讓我們能夠進入一個神預備的新的季節當中
[00:02:02.720 --> 00:02:03.720]  你們
[00:02:03.720 --> 00:02:06.720]  我在這裡也要特別感謝神在五月的時候
[00:02:06.720 --> 00:02:10.460]  就帶領青少年的牧師皮爾森來到我們中間
[00:02:10.460 --> 00:02:12.160]  我告訴你他的到來
[00:02:12.160 --> 00:02:13.760]  不但是青少年歡喜
[00:02:13.760 --> 00:02:16.740]  我看家長更加歡喜不是嗎
[00:02:16.740 --> 00:02:17.800]  他一上任
[00:02:17.800 --> 00:02:20.700]  第一門裝備課程就是從神學看性別
[00:02:20.700 --> 00:02:21.880]  哇太棒了
[00:02:21.880 --> 00:02:24.340]  報名參加了青少年超過五十個人
[00:02:24.340 --> 00:02:26.520]  我要是破紀錄的人數
[00:02:26.520 --> 00:02:32.760]  就看見青少年的侍宮士氣是大大的被提升起來
[00:02:32.760 --> 00:02:33.720]  所以我真的感謝神
[00:02:33.720 --> 00:02:38.020]  神垂聽我們多年為青少年的侍宮的禱告
[00:02:38.020 --> 00:02:40.320]  為我們預備真的是一位最好的牧者
[00:02:40.320 --> 00:02:41.420]  你們
[00:02:41.420 --> 00:02:45.560]  這為什麼當我在面對教會這麼多牧者的變動的時候
[00:02:45.560 --> 00:02:50.160]  我的心還是有一種盼望跟喜樂在這裡
[00:02:50.160 --> 00:02:54.740]  因為我真的看見神的手正在我們中間工作
