
[00:00:00.000 --> 00:00:02.000]  各位 親愛的主內地勇子們 平安
[00:00:02.000 --> 00:00:06.560]  非常感恩 我們可以一起來敬拜
[00:00:06.560 --> 00:00:08.240]  一同來聆聽神的話語
[00:00:08.240 --> 00:00:09.760]  讓我們一同來低頭禱告
[00:00:09.760 --> 00:00:16.120]  阿爸 父神 我們在您面前懇求禰與我們同在
[00:00:16.120 --> 00:00:17.480]  我們要聆聽禰的話
[00:00:17.480 --> 00:00:19.040]  也求主禰賜下悟性
[00:00:19.040 --> 00:00:20.800]  讓我們曉得禰的真理
[00:00:20.800 --> 00:00:23.160]  並且在光中得見禰的容顏
[00:00:23.160 --> 00:00:24.440]  主 謝謝禰
[00:00:24.440 --> 00:00:26.200]  聽我們的禱告
[00:00:26.200 --> 00:00:27.760]  奉耶穌基督的聖名
[00:00:27.760 --> 00:00:28.560]  Amen
[00:00:29.840 --> 00:00:33.320]  我們終於來到彼得籤書即將結束的部分了
[00:00:33.320 --> 00:00:36.680]  我們今天講第4章的最後這一段經文
[00:00:36.680 --> 00:00:39.080]  其實彼得寫這封信的時候
[00:00:39.080 --> 00:00:41.680]  他那個時代以及他那個時代當中
[00:00:41.680 --> 00:00:43.240]  弟兄姊妹所處的處境
[00:00:43.240 --> 00:00:45.520]  一點都不會比我們今天樂觀
[00:00:45.520 --> 00:00:47.160]  他寫這封信
[00:00:47.160 --> 00:00:50.720]  首先要提醒這些收到信的弟兄姊妹
[00:00:50.720 --> 00:00:53.040]  他們自己到底是誰
[00:00:53.040 --> 00:00:55.920]  並且在有這種身份的人
[00:00:55.920 --> 00:00:58.800]  到底在這個世上應該有什麼樣的盼望
[00:00:58.800 --> 00:01:02.400]  而有這樣盼望的人應該過怎樣的人生
[00:01:02.400 --> 00:01:05.920]  或許人生有很多的苦難和不如意
[00:01:05.920 --> 00:01:08.160]  但是敬畏神的人
[00:01:08.160 --> 00:01:10.880]  在這封書裏面特別強調說
[00:01:10.880 --> 00:01:13.480]  你要以敬畏的心爲前提
[00:01:13.480 --> 00:01:15.560]  來順服人一切的制度
[00:01:15.560 --> 00:01:17.360]  並且竭力行善
[00:01:17.360 --> 00:01:18.200]  在這種情況下
[00:01:18.200 --> 00:01:22.200]  可能你就可以避免很多的誤會
[00:01:22.200 --> 00:01:24.200]  不過這並不是絕對的
[00:01:24.200 --> 00:01:28.400]  不是說你絕對的這樣的一個行善的人
[00:01:28.520 --> 00:01:31.760]  就能在這世上就避免苦難
[00:01:31.760 --> 00:01:35.120]  所以仍然有畏異受苦的這種可能性
[00:01:35.120 --> 00:01:38.880]  最後彼得就針對這種苦難真實的領導
[00:01:38.880 --> 00:01:40.200]  在這段經文當中
[00:01:40.200 --> 00:01:44.560]  更加的來提醒我們個人和信徒的羣體
[00:01:44.560 --> 00:01:45.520]  也就是教會
[00:01:45.520 --> 00:01:48.440]  怎麼樣能做出恰當的回應
[00:01:48.440 --> 00:01:50.400]  讓我們一同來讀這段經文
[00:01:50.400 --> 00:01:53.440]  彼得前書的第4章12到19節
[00:01:53.440 --> 00:01:54.320]  好 請
[00:01:54.840 --> 00:01:59.200]  親愛的弟兄 有火煉的試驗臨到你們
[00:01:59.200 --> 00:02:01.080]  不要以爲奇怪
[00:02:01.080 --> 00:02:03.640]  似乎是遭遇非常的事
[00:02:03.640 --> 00:02:05.360]  倒要歡喜
[00:02:05.360 --> 00:02:08.520]  因爲你們是與基督一同受苦
[00:02:08.520 --> 00:02:11.880]  使你們在他榮耀顯現的時候
[00:02:11.880 --> 00:02:13.880]  也可以歡喜快樂
[00:02:13.880 --> 00:02:17.000]  你們若爲基督的名受辱罵
[00:02:17.000 --> 00:02:18.360]  便是有福的
[00:02:18.360 --> 00:02:22.160]  因爲神榮耀的靈常駐在你們身上
[00:02:22.160 --> 00:02:24.440]  你們中間卻不可有人
[00:02:24.440 --> 00:02:27.200]  因爲殺人 偷竊 作惡
[00:02:27.200 --> 00:02:29.280]  好管閒事而受苦
[00:02:29.280 --> 00:02:32.280]  若作爲基督徒受苦
[00:02:32.280 --> 00:02:33.720]  卻不要羞恥
