
[00:00:00.000 --> 00:00:04.740]  (主席)聽誌媒早晨 今日同大家睇嘅經文有兩處
[00:00:04.740 --> 00:00:08.780]  先睇哥倫多前書 寶羅寫畀哥倫多教會
[00:00:08.780 --> 00:00:10.820]  不過就唔係第一封 雖然叫佢做前書
[00:00:10.820 --> 00:00:12.920]  應該有前前書嘅 不過冇收入
[00:00:12.920 --> 00:00:15.580]  可能係失日 冇收入黎聖經
[00:00:15.580 --> 00:00:19.860]  哥倫多前書裏面都有提到係之前寫信畀你地提嘅嗰啲嘢
[00:00:19.860 --> 00:00:22.920]  咁寶羅 起哥倫多前書嘅第一章
[00:00:22.920 --> 00:00:28.160]  我哋睇廿六至三十一節
[00:00:28.160 --> 00:00:32.660]  哥倫多前書第一章廿六至三十一節 請聽我讀出
[00:00:32.660 --> 00:00:35.040]  弟兄們!可見你們蒙召的
[00:00:35.040 --> 00:00:41.200]  按著肉體有智慧的不多 有能力的不多 有尊貴的也不多
[00:00:41.200 --> 00:00:45.580]  上帝卻揀選了世上愚拙的 叫有智慧的羞愧
[00:00:45.580 --> 00:00:49.720]  又揀選了世上軟弱的 叫那強壯的羞愧
[00:00:49.720 --> 00:00:55.180]  上帝也揀選了世上卑賤的 被人厭惡的 以及那無由的
[00:00:55.180 --> 00:00:59.160]  為要廢掉那有的 洗一切有血氣的
[00:00:59.160 --> 00:01:02.760]  在上帝面前一個也不能自誇
[00:01:02.760 --> 00:01:06.420]  但你們得在基督耶穌女是本乎上帝
[00:01:06.420 --> 00:01:12.600]  上帝又使她成為我們的智慧 公義 聖潔 救贖
[00:01:12.600 --> 00:01:18.520]  如經上所記 誇口的當指著 主誇口
[00:01:18.520 --> 00:01:21.840]  跟住第二段 我哋就睇舊約
[00:01:21.840 --> 00:01:25.560]  耶利米蘇第九章二十三二十四兩節
[00:01:25.560 --> 00:01:30.120]  因為其實保羅在這裡所引用的
[00:01:30.120 --> 00:01:33.580]  正正就是耶利米蘇九章二十三二十四節經文
[00:01:33.580 --> 00:01:35.380]  所以他今天頗特別的
[00:01:35.380 --> 00:01:39.360]  我們是宣講保羅那段經文
[00:01:39.360 --> 00:01:42.800]  保羅他是宣講或者是講舊約那段經文
[00:01:42.800 --> 00:01:46.060]  所以有兩重三重 他這樣講
[00:01:46.060 --> 00:01:49.060]  耶利米蘇九章二十三二十四節
