
[00:00:00.000 --> 00:00:02.000]  好,我們開頭再做個禱告
[00:00:02.000 --> 00:00:04.000]  父神,求你幫助我們
[00:00:04.000 --> 00:00:07.000]  讓我們真是從心底裏面相信
[00:00:07.000 --> 00:00:09.000]  這福音是神的大能
[00:00:09.000 --> 00:00:13.000]  願我們在甚麼的場景
[00:00:13.000 --> 00:00:15.000]  在人生甚麼的階段裏面
[00:00:15.000 --> 00:00:17.000]  我們都有這份勇氣
[00:00:17.000 --> 00:00:19.000]  去宣揚這份福
[00:00:19.000 --> 00:00:20.000]  獲得你的福音
[00:00:20.000 --> 00:00:23.000]  因為你的福音是無比的榮耀
[00:00:23.000 --> 00:00:25.000]  將今天一段聽到的時間
[00:00:25.000 --> 00:00:27.000]  交託禱告奉耶穌基督命
[00:00:27.000 --> 00:00:31.000]  好,首先今天第一次講羅馬書
[00:00:31.000 --> 00:00:33.000]  介紹一下羅馬書這卷書
[00:00:33.000 --> 00:00:40.000]  首先羅馬書就是新約十三卷書的第一卷
[00:00:40.000 --> 00:00:42.000]  為甚麼是第一卷呢?
[00:00:42.000 --> 00:00:45.000]  或者說保羅書信是十三卷
[00:00:45.000 --> 00:00:47.000]  為甚麼是第一卷呢?
[00:00:47.000 --> 00:00:50.000]  我們不知道是誰排新約的次序
[00:00:50.000 --> 00:00:54.000]  不過大概都是教會的一個共識
[00:00:54.000 --> 00:00:56.000]  聖靈帶領之後的一個共識
[00:00:56.000 --> 00:01:01.000]  就是將羅馬書放在書卷的第一位
[00:01:01.000 --> 00:01:04.000]  一方面是反映它的長度
[00:01:04.000 --> 00:01:07.000]  明顯保羅書信
[00:01:07.000 --> 00:01:09.000]  以教會的了解
[00:01:09.000 --> 00:01:11.000]  最長的羅馬書
[00:01:11.000 --> 00:01:13.000]  哥倫多前後書放在前面
[00:01:13.000 --> 00:01:15.000]  最短的提多書
[00:01:15.000 --> 00:01:18.000]  費利門書等到最後
[00:01:18.000 --> 00:01:21.000]  一方面是長與短的分別
[00:01:21.000 --> 00:01:26.000]  另一方面也是反映早期教會很意識到
[00:01:26.000 --> 00:01:28.000]  羅馬書是一卷很重要的書
[00:01:28.000 --> 00:01:32.000]  最全面地解釋了福音的一卷書
[00:01:32.000 --> 00:01:36.000]  的確保羅的書信
[00:01:36.000 --> 00:01:39.000]  或者基本上所有的書信都是
[00:01:39.000 --> 00:01:41.000]  新約所有的書信
[00:01:41.000 --> 00:01:43.000]  基本上都是一些所謂
[00:01:43.000 --> 00:01:45.000]  英文叫occasional writing
[00:01:45.000 --> 00:01:47.000]  即是一些因為某些機會
[00:01:47.000 --> 00:01:50.000]  某些事情發生而寫的書信
[00:01:50.000 --> 00:01:52.000]  他們基本上都不是一些
[00:01:52.000 --> 00:01:55.000]  特意寫來寫一本著作
[00:01:55.000 --> 00:01:57.000]  介紹耶穌福音
[00:01:57.000 --> 00:01:59.000]  不是這樣的一個
[00:01:59.000 --> 00:02:02.000]  要想著印出來賣出去給人的一本書
[00:02:02.000 --> 00:02:06.000]  基本上都是寫給一些真實的人
[00:02:06.000 --> 00:02:08.000]  回應著某一個處境
[00:02:08.000 --> 00:02:11.000]  所以那個作者寫了這封信
[00:02:11.000 --> 00:02:13.000]  還有羅馬書
[00:02:13.000 --> 00:02:15.000]  一個特別的就是
[00:02:15.000 --> 00:02:18.000]  它真是幾全面去介紹福音
[00:02:18.000 --> 00:02:20.000]  它不是特意回答
[00:02:20.000 --> 00:02:22.000]  羅馬人某一些問題
[00:02:22.000 --> 00:02:24.000]  而是保羅在這裡
[00:02:24.000 --> 00:02:26.000]  他自己向一些人介紹
[00:02:26.000 --> 00:02:28.000]  他所傳的福音
[00:02:28.000 --> 00:02:30.000]  為什麼會這樣呢?
[00:02:30.000 --> 00:02:31.000]  其實都有原因的
[00:02:31.000 --> 00:02:33.000]  所以羅馬書基本上
[00:02:33.000 --> 00:02:36.000]  一到八章就是講福音的內容
[00:02:36.000 --> 00:02:38.000]  然後九到十一章就是講
[00:02:38.000 --> 00:02:40.000]  救恩的歷史
[00:02:40.000 --> 00:02:43.000]  福音是關乎人類的歷史
[00:02:43.000 --> 00:02:46.000]  講福音在人類歷史上演進
[00:02:46.000 --> 00:02:49.000]  然後十二到十四章就是
[00:02:49.000 --> 00:02:51.000]  既然我們都接受了福音
[00:02:51.000 --> 00:02:53.000]  我們怎樣生活呢?
[00:02:53.000 --> 00:02:55.000]  十五、十六章就是一些
[00:02:55.000 --> 00:02:57.000]  所謂庶母
[00:02:57.000 --> 00:02:59.000]  講一下其實我想做什麼
[00:02:59.000 --> 00:03:01.000]  你好呀,我好呀,大家都好呀
[00:03:01.000 --> 00:03:03.000]  那些話
[00:03:03.000 --> 00:03:06.000]  我們一邊講
[00:03:06.000 --> 00:03:10.000]  都會希望大家明白這個結構
[00:03:10.000 --> 00:03:12.000]  一章一到十七節
[00:03:12.000 --> 00:03:16.000]  其實是整卷羅馬書的引言
[00:03:16.000 --> 00:03:20.000]  都介紹了羅馬書是做什麼的
[00:03:20.000 --> 00:03:22.000]  我們首先來看看
