
[00:00:00.000 --> 00:00:04.000]  (主席)我們今日思想經文 菲律賓書第四章十節至二十節
[00:00:04.000 --> 00:00:12.000]  (主席)菲律賓書第四章 我們由第十節讀到二十節 請聽我讀出
[00:00:12.000 --> 00:00:18.000]  (主席)我靠主大大喜樂 因為你們關懷我的心 如今又表現了出來
[00:00:18.000 --> 00:00:22.000]  (主席)其實你們一直都關懷我 只是沒有機會罷了
[00:00:22.000 --> 00:00:25.000]  (主席)我並不是因缺乏而說這話
[00:00:25.000 --> 00:00:29.000]  (主席)因為我已經學會 無論在什麼境況都可以知足
[00:00:29.000 --> 00:00:32.000]  (主席)我知道怎樣處悲戰 也知道怎樣處豐富
[00:00:32.000 --> 00:00:35.000]  (主席)或飽足或飢餓 或有餘或缺乏
[00:00:35.000 --> 00:00:39.000]  (主席)任何事情任何境況 我都得了一個秘訣
[00:00:39.000 --> 00:00:42.000]  (主席)我靠著那家給我力量的 凡事都能做
[00:00:42.000 --> 00:00:46.000]  (主席)然而你們能和我分擔憂患是一件好事
[00:00:46.000 --> 00:00:51.000]  (主席)菲律賓人啊 你們也知道我開始傳福音 離開馬其頓的時候
[00:00:51.000 --> 00:00:56.000]  (主席)在修之的事上 除了你們以外 並沒有別的教會和我分擔
[00:00:56.000 --> 00:01:02.000]  (主席)就算我再抄襲雷尼加 你們也一再猜人來供給我的需要
[00:01:02.000 --> 00:01:07.000]  (主席)我並不求什麼饋贈 只求你們的果子不斷增多
[00:01:07.000 --> 00:01:14.000]  (主席)歸在你們的帳上 但我已經如數收到 並且有餘
[00:01:14.000 --> 00:01:18.000]  (主席)我已經充足 因我從以巴忽提受了你們的饋贈
[00:01:18.000 --> 00:01:23.000]  (主席)當作極美的香氣 為神所預納 所喜悅的祭物
[00:01:23.000 --> 00:01:26.000]  (主席)我的神必照祂榮耀的豐富
[00:01:26.000 --> 00:01:31.000]  (主席)在基督耶穌的女兒 使你們一切所需要的都充足
[00:01:31.000 --> 00:01:37.000]  (主席)願榮耀歸給我們的父神 直到永永遠遠
[00:01:37.000 --> 00:01:43.000]  《人情味》 這是一篇充滿了人情味的聖經
[00:01:43.000 --> 00:01:48.000]  (主席)中國很出名的作家冰心說過一句很有趣的話
[00:01:48.000 --> 00:01:53.000]  (主席)一粒沙女看世界 半塊花瓣說人情
[00:01:53.000 --> 00:02:00.000]  (主席)人情在中國人眼中有點古怪 有點神秘感
[00:02:00.000 --> 00:02:06.000]  (主席)人家請客 我家送禮 我們中國人叫做做人情
[00:02:06.000 --> 00:02:10.000]  (主席)我想想 送禮就等於人情?
[00:02:10.000 --> 00:02:19.000]  (主席)在香港 侍奉其中一個最大的誘惑是什麼呢?
[00:02:19.000 --> 00:02:22.000]  (主席)最大的誘惑就是外出吃飯
[00:02:22.000 --> 00:02:26.000]  (主席)我很早已經做了這樣的決定
[00:02:26.000 --> 00:02:30.000]  (主席)盡量少外出吃飯 尤其是喝茶
[00:02:30.000 --> 00:02:35.000]  (主席)那些炒粉 炒東西 那些梅汁素 豬油
[00:02:35.000 --> 00:02:38.000]  (主席)一於免問
[00:02:38.000 --> 00:02:43.000]  (主席)學會我們中國人說 吃少一口 多睡覺
[00:02:43.000 --> 00:02:47.000]  (主席)偏偏 窩福的會友非常有愛心
[00:02:47.000 --> 00:02:49.000]  (主席)經常請我去喝茶
