
[00:00:00.000 --> 00:00:04.040]  今天我們大家一起來思想這段經文
[00:00:04.040 --> 00:00:08.160]  其實《雅各書》我跟大家一起從頭到尾
[00:00:08.160 --> 00:00:10.920]  看到這裡最後一段
[00:00:10.920 --> 00:00:15.200]  從下節開始我們又看《肥樂比書》
[00:00:15.200 --> 00:00:19.360]  我講到不喜歡這裡抽一段,那裡抽一段
[00:00:19.360 --> 00:00:21.760]  因為你沒有了上下文
[00:00:21.760 --> 00:00:24.920]  你就不知道到底《雅各》想講什麼
[00:00:24.920 --> 00:00:26.560]  單單抽一句
[00:00:26.560 --> 00:00:29.560]  所以我又很怕人背金句
[00:00:29.560 --> 00:00:32.120]  如果有人背金句,這裡抽一句
[00:00:32.120 --> 00:00:34.120]  那裡抽一句來背
[00:00:34.120 --> 00:00:36.120]  常常都會出錯
[00:00:36.120 --> 00:00:37.600]  因為你應用的時候
[00:00:37.600 --> 00:00:40.160]  你沒有想到上下文
[00:00:40.160 --> 00:00:42.880]  到底作者想講什麼
[00:00:42.880 --> 00:00:45.400]  你單單抽一節聖經出來
[00:00:45.400 --> 00:00:48.520]  你來應用就會出毛病
[00:00:48.520 --> 00:00:52.120]  我們今天繼續看《雅各書》的最後一段
[00:00:52.120 --> 00:00:55.400]  就是五章十三到二十節
[00:00:55.400 --> 00:01:02.080]  大家稍為溫和一下,因為上次已經是2013年的事
[00:01:02.080 --> 00:01:05.160]  我找回那些秩序表來看
[00:01:05.160 --> 00:01:10.320]  已經是2013年的12月8日
[00:01:10.320 --> 00:01:14.280]  所以要稍為溫和一下
[00:01:14.280 --> 00:01:18.000]  《雅各書》的主題是追求成長
[00:01:18.000 --> 00:01:23.440]  是講到神子的兒女不可以停留在一個不成長的階段裡面
[00:01:23.440 --> 00:01:24.920]  要追求成長
[00:01:24.920 --> 00:01:27.520]  但是追求成長的必經的路
[00:01:27.520 --> 00:01:28.960]  它是什麼呢?
[00:01:28.960 --> 00:01:31.560]  它是非常艱辛的
[00:01:31.560 --> 00:01:32.160]  是什麼呢?
[00:01:32.160 --> 00:01:34.360]  是從神而來的考驗
[00:01:34.360 --> 00:01:38.440]  我們看到這段經文回應了
[00:01:38.440 --> 00:01:43.800]  上文《雅各書》一開始的時候所講到的考驗問題
[00:01:43.800 --> 00:01:52.200]  所以我們從這個角度去看《雅各書》第五章十三到二十節
[00:01:52.200 --> 00:01:54.200]  是比較悉切一點的
[00:01:55.040 --> 00:01:57.600]  《雅各書》一開始就告訴我們
[00:01:57.600 --> 00:02:02.160]  在我們基督徒所經歷的各式各樣的經歷裡面
[00:02:02.160 --> 00:02:05.520]  有一樣東西是無人能夠倖免的
[00:02:05.520 --> 00:02:07.520]  就是仇婦
[00:02:07.520 --> 00:02:11.160]  我相信沒有人沒有試過仇婦
[00:02:11.160 --> 00:02:14.280]  《雅各書》在這裡提出有三種的考驗
[00:02:14.280 --> 00:02:21.360]  裡面有兩種是跟痛苦或者是仇婦有很密切的關係
[00:02:21.360 --> 00:02:26.840]  因為仇婦這個字在原文聖經裡面是一個很概括性的字
[00:02:26.840 --> 00:02:30.440]  《雅各書》要講到概括性的仇婦
[00:02:30.440 --> 00:02:34.960]  有指的是什麼呢?
[00:02:34.960 --> 00:02:43.200]  有指的仇婦可能是因為上下文所用的字眼是跟先知仇婦有關
[00:02:43.200 --> 00:02:46.640]  可能最重要的是講到為信仰的原因
[00:02:46.640 --> 00:02:48.040]  好像先知那樣
[00:02:48.040 --> 00:02:52.760]  他因為要傳揚神所給他的信息中心的傳揚
[00:02:52.760 --> 00:02:54.240]  雖然別人不喜歡聽
[00:02:54.240 --> 00:02:55.440]  他都要傳揚
[00:02:55.440 --> 00:02:57.320]  所以別人就會迫害他
[00:02:57.320 --> 00:03:00.240]  今天我們很少沒有人迫害我
[00:03:00.240 --> 00:03:02.720]  如果我不來講道沒有人會迫害我的
[00:03:02.720 --> 00:03:04.360]  但是早期的先知就不是
[00:03:04.360 --> 00:03:07.360]  他們是為了信仰的緣故而受迫害
[00:03:07.360 --> 00:03:15.480]  我曾經見到有些基督徒是因為他們家人未信主
[00:03:15.480 --> 00:03:17.200]  而他們信主
[00:03:17.200 --> 00:03:19.880]  所以就受到家人的迫害
[00:03:19.880 --> 00:03:22.520]  我有一個神學院的同學
[00:03:22.520 --> 00:03:24.560]  已經講回幾十年前的事情
[00:03:24.560 --> 00:03:28.200]  他入學的時候做見證
[00:03:28.200 --> 00:03:31.720]  就講到他信了主之後
[00:03:31.720 --> 00:03:34.560]  他就覺得神呼召他要讀神學
[00:03:34.560 --> 00:03:36.800]  他就準備入神學院
[00:03:36.800 --> 00:03:40.400]  但是他的父親和母親都是未信主的基督徒
[00:03:40.400 --> 00:03:41.480]  反對他
[00:03:41.480 --> 00:03:43.960]  因為他當時是在做一份工作
[00:03:43.960 --> 00:03:45.920]  對家裡有些幫補
[00:03:45.920 --> 00:03:48.200]  現在還說不但不幫補家裡
[00:03:48.200 --> 00:03:50.760]  還要去讀書要用錢
[00:03:50.760 --> 00:03:53.160]  他的父親怎樣對待他呢?
[00:03:53.160 --> 00:03:55.280]  就用報紙紮了一塊東西
[00:03:55.280 --> 00:03:56.880]  不斷扑他
[00:03:56.880 --> 00:03:58.720]  扑到他暈了
