
[00:00:00.000 --> 00:00:06.000]  人的年齡跟他的行為是有相連的
[00:00:06.000 --> 00:00:12.000]  已經不是第一次走上來發覺自己原來就這樣走上來
[00:00:12.000 --> 00:00:14.000]  是沒有拿咪高峰的
[00:00:14.000 --> 00:00:22.000]  今天也是跟大家思想到關於生命成熟的問題
[00:00:22.000 --> 00:00:27.000]  老呢,就不一定是成熟的
[00:00:27.000 --> 00:00:30.000]  剛才聽見有朋友說
[00:00:30.000 --> 00:00:34.000]  帶著一班老人家出門很麻煩
[00:00:34.000 --> 00:00:37.000]  我們上個星期
[00:00:37.000 --> 00:00:40.000]  我們家人有一個創舉
[00:00:40.000 --> 00:00:43.000]  就是我五兄弟姐妹
[00:00:43.000 --> 00:00:45.000]  我是最小的那個
[00:00:45.000 --> 00:00:49.000]  最小的那個已經不小了
[00:00:49.000 --> 00:00:55.000]  我們有史以來是五兄弟姐妹和他們的配偶
[00:00:55.000 --> 00:01:04.000]  一起去成就了一生人成長之後
[00:01:04.000 --> 00:01:08.000]  分散各地居住聚在一起
[00:01:08.000 --> 00:01:13.000]  有史以來一次的旅行
[00:01:13.000 --> 00:01:19.000]  發覺人老了很多東西都變了
[00:01:19.000 --> 00:01:26.000]  不過我們都很和諧很快樂地完成了這個旅程
[00:01:26.000 --> 00:01:30.000]  其中三天都是連續三天
[00:01:30.000 --> 00:01:32.000]  都是去到海邊
[00:01:32.000 --> 00:01:37.000]  因為台南那邊一望無際的海周圍都是
[00:01:37.000 --> 00:01:41.000]  所以每一天都是看夕陽
[00:01:41.000 --> 00:01:47.000]  我們那個旅行團叫夕陽旅行團
[00:01:47.000 --> 00:01:55.000]  很開心回來可以和大家思想一個這麼重要的訊息
[00:01:55.000 --> 00:02:00.000]  到底我們今天的生命是不是一個成熟的生命呢?
[00:02:00.000 --> 00:02:03.000]  我們是不是一個繼續成長的生命呢?
[00:02:03.000 --> 00:02:07.000]  還是我們是一個越來越殘舊
[00:02:07.000 --> 00:02:10.000]  越來越衰退的生命
[00:02:10.000 --> 00:02:14.000]  我相信我們活在這個世上都是面對著
[00:02:14.000 --> 00:02:20.000]  身體的老化衰殘得很厲害
[00:02:20.000 --> 00:02:28.000]  雖然最近我是試圖在身體健康方面有極大的突破
[00:02:28.000 --> 00:02:31.000]  我希望有一天你會在報紙看到我
[00:02:31.000 --> 00:02:33.000]  不是突然間運動虧低了
[00:02:33.000 --> 00:02:38.000]  而是看到有一天我竟然拿獎牌
[00:02:38.000 --> 00:02:40.000]  夢想吧
[00:02:40.000 --> 00:02:46.000]  七十歲那個年齡的一百公尺賽跑
[00:02:46.000 --> 00:02:49.000]  有一個牌制也好
[00:02:49.000 --> 00:02:54.000]  其實在這個先進運動的原則裡面
[00:02:54.000 --> 00:02:57.000]  有一個頗令人興奮的原則
[00:02:57.000 --> 00:02:59.000]  只要你還沒死
[00:02:59.000 --> 00:03:02.000]  你可以參加你的組別的運動
[00:03:02.000 --> 00:03:04.000]  你大概都有機會拿獎牌
[00:03:04.000 --> 00:03:06.000]  你明白這句話嗎?
[00:03:06.000 --> 00:03:10.000]  譬如九十歲那組只有你參加
[00:03:10.000 --> 00:03:13.000]  那你就一定拿金牌
