
[00:00:00.000 --> 00:00:03.000]  比拉多問 真理是什麼
[00:00:03.000 --> 00:00:05.680]  真理是什麼 所以在
[00:00:05.680 --> 00:00:08.820]  比拉多 耶穌在丁十字架的時候
[00:00:08.820 --> 00:00:11.660]  被帶到比拉多的那邊 比拉多是
[00:00:11.660 --> 00:00:14.420]  當時代表羅馬帝國的一個官 去問耶穌
[00:00:14.420 --> 00:00:17.400]  你是王嗎 耶穌就說 我是
[00:00:17.400 --> 00:00:20.200]  為真理來作證的 然後比拉多
[00:00:20.200 --> 00:00:23.120]  問了一句話 說 真理是什麼 其實
[00:00:23.120 --> 00:00:26.160]  比拉多的這句話 真理到底是什麼 就代表了
[00:00:26.160 --> 00:00:29.160]  今天 我們很多人對真理的一個
[00:00:29.160 --> 00:00:32.300]  回應 就是 我們真的不知道真理是什麼
[00:00:32.300 --> 00:00:35.100]  有關 當我們被問到說 你覺得什麼是
[00:00:35.100 --> 00:00:38.080]  真理的時候 不同的人會有不同的
[00:00:38.080 --> 00:00:41.100]  態度去面對 有些人的態度會覺得
[00:00:41.100 --> 00:00:44.340]  我不知道 就是 有些人叫做不可知論者
[00:00:44.340 --> 00:00:47.140]  有那麼一派的人覺得說 真理
[00:00:47.140 --> 00:00:50.380]  是我們不可能知道的 所以乾脆不知道
[00:00:50.380 --> 00:00:53.580]  有人不是不知道 有人覺得是我不care
[00:00:53.580 --> 00:00:56.700]  就算有真理 我覺得也與我無關
[00:00:56.700 --> 00:00:59.820]  所以我不管 也有一種人覺得說
[00:00:59.820 --> 00:01:02.860]  就直接覺得 我覺得真理根本
[00:01:02.860 --> 00:01:05.900]  不存在 這世界根本沒有真理
[00:01:05.900 --> 00:01:08.840]  也有人覺得 更加囂張的一種態度
[00:01:08.840 --> 00:01:11.860]  就覺得 這世界上有真理 老子就是真理
[00:01:11.860 --> 00:01:14.880]  我說的就是真理
[00:01:14.880 --> 00:01:17.880]  當然 也有很多 特別是這個時代
[00:01:17.880 --> 00:01:21.320]  大部分的人 當他們講到真理的時候
[00:01:21.320 --> 00:01:23.340]  都會有同一個觀念 就覺得
[00:01:23.800 --> 00:01:26.820]  跟真理 其實還滿相對的
[00:01:26.820 --> 00:01:29.580]  就是真理可能是沒有絕對 是相對的
[00:01:29.580 --> 00:01:32.400]  所以今天我們就要討論說 到底真理是什麼
[00:01:32.400 --> 00:01:35.380]  我們為什麼需要真理 那第一個我們需要來討論的是
[00:01:35.380 --> 00:01:38.320]  我們首先在講到真理的時候 我們首先先要
[00:01:38.320 --> 00:01:41.420]  界定 真理的不同的範疇
[00:01:41.420 --> 00:01:44.460]  我們首先要界定 真理不同的範疇
[00:01:44.460 --> 00:01:46.460]  那麼講到真理的時候
[00:01:46.460 --> 00:01:49.580]  基本上有兩個範疇 我們需要討論 第一個是
[00:01:49.580 --> 00:01:52.400]  物質界的範疇 這個physical
[00:01:52.400 --> 00:01:55.420]  realm 就是我們有物質界 就是你看得到
[00:01:55.420 --> 00:01:58.800]  摸得到的這一個層面的真理
[00:01:58.800 --> 00:02:01.820]  那麼有些真理是不會變的 包括物質界的真理
[00:02:01.820 --> 00:02:04.860]  有些是相對 有些是絕對的
[00:02:04.860 --> 00:02:07.980]  比方說 地心引力
[00:02:07.980 --> 00:02:11.120]  這就不是相對 這是絕對 不是說
[00:02:11.120 --> 00:02:14.140]  你不可能說 這是觀點與角度的問題 所以你跑到三樓
[00:02:14.140 --> 00:02:17.140]  說 這個角度跳下去 搞不好就沒有地心引力
[00:02:17.140 --> 00:02:20.140]  是不可能的 無論你認同不認同
[00:02:20.140 --> 00:02:23.160]  喜歡不喜歡 有就是有
[00:02:23.160 --> 00:02:25.800]  不容易否認
[00:02:25.800 --> 00:02:28.840]  在我們教會 我們教會真的
[00:02:28.840 --> 00:02:31.540]  我們教會真的有人 在小時候
[00:02:31.540 --> 00:02:34.860]  因為看了超人的電影 他就覺得
[00:02:34.860 --> 00:02:37.840]  人搞不好真的會飛 所以有一天晚上
[00:02:37.840 --> 00:02:40.220]  他就從十三樓
[00:02:40.220 --> 00:02:41.660]  十三樓跳下來
[00:02:41.660 --> 00:02:45.160]  不過感謝神 他沒死 因為他跳下來的時候
[00:02:45.160 --> 00:02:47.980]  剛好有一些 你知道以前香港那些
[00:02:47.980 --> 00:02:50.980]  Building不是有那些 什麼搭個棚子
[00:02:50.980 --> 00:02:54.220]  曬曬衣服那些 他就 啪啪啪 十三樓下來
[00:02:54.220 --> 00:02:57.220]  結果沒死 送去醫院 用了很多整容手術
[00:02:57.220 --> 00:03:00.300]  他現在開玩笑說 他沒整容之前
[00:03:00.300 --> 00:03:02.020]  比劉德華還帥
[00:03:02.020 --> 00:03:05.600]  真的有人覺得是 連地心引力
[00:03:05.600 --> 00:03:08.920]  這個真理是相對的 搞不好他就能飛
[00:03:08.920 --> 00:03:11.700]  無論你覺得看完超人的電影 覺得你會飛
[00:03:11.700 --> 00:03:13.380]  還是你不會飛
[00:03:13.380 --> 00:03:16.740]  在物質界 有一些的真理
[00:03:16.740 --> 00:03:19.680]  它是絕對不變的 它有就有
