
[00:00:00.000 --> 00:00:07.000]  各位議員,請打開我們今天思想經文,路加福音第十六章,一至至到十三節。
[00:00:07.000 --> 00:00:19.000]  在整個路加福音裏面,這個比喻是最引起爭論,亦都是似乎比較難明的一段聖經。
[00:00:19.000 --> 00:00:24.000]  我們一起來看看,亦都懇求主幫助我們能夠明白神的話語。
[00:00:24.000 --> 00:00:27.000]  我們一起來讀讀第一至至到十三節。
[00:00:27.000 --> 00:00:37.000]  耶穌有對門徒說:某才主有一個管家,有人向主人告管家浪費他的財物,主人叫他來,對他說:
[00:00:37.000 --> 00:00:46.000]  我聽到了,你做的是什麼事?把你所經管的交代清楚,你不能再作我的管家了。
[00:00:46.000 --> 00:00:52.000]  那管家心裏說:主人持我,不用我再作管家,我將來做什麼呢?
[00:00:52.000 --> 00:01:02.000]  坐地嗎?沒有力氣,討飯嗎?怕羞,我知道怎樣做,好叫人們在我不作管家之後,接我到他們那裏去。
[00:01:02.000 --> 00:01:11.000]  於是他把欠他主人債的一個一個地叫了來,問頭一個說:你欠我主人多少?他說:一百樓由。
[00:01:11.000 --> 00:01:16.000]  管家對他說:拿你的帳,快坐下,省五十。
[00:01:16.000 --> 00:01:24.000]  他問另一個說:你欠多少?他說:一百石物紙。管家對他說:拿你的帳,省八十。
[00:01:24.000 --> 00:01:34.000]  主人就誇獎這不義的管家做事聰明,因為今世之子應付自己的世代比光明之子更加精明。
[00:01:34.000 --> 00:01:45.000]  我又告訴你們,要藉著那不義的錢財結交朋友,到錢財無用的時候,他們可以接你們到永遠的住處去。
[00:01:45.000 --> 00:01:54.000]  人在最小的事上不忠心,在大事上也忠心;在最小的事上不義,在大事上也不義。
[00:01:54.000 --> 00:02:01.000]  若是你們在不義的錢財上不忠心,誰還能把真實的錢財託付你們呢?
[00:02:01.000 --> 00:02:08.000]  如果你們在別人的東西上不忠心,誰還把你們自己的東西給你們呢?
[00:02:08.000 --> 00:02:20.000]  一個僕人不能服侍兩個主,他不是恨這個,愛那個,就是重這個,輕那個。你們不能又服侍神,又服侍馬沒。
[00:02:20.000 --> 00:02:23.000]  請我們再一次同心,一同祈禱。
[00:02:23.000 --> 00:02:34.000]  天父,我們再一次感謝祢,給祢寶貴的話語作為我們生命的指引,求祢藉著祢的話語去提醒、勸勉、教導、安慰、挑戰和改變我們。
[00:02:34.000 --> 00:02:40.000]  我們這樣祈禱,奉耶穌基督命求,阿們。
[00:02:40.000 --> 00:02:49.000]  我們讀這段聖經的時候,我們有很多問題存在,特別是第八節,這一節是更加令人迷惑的一段聖經。
[00:02:49.000 --> 00:02:54.000]  主人誇獎這不義的管家,作是聰明。
[00:02:54.000 --> 00:03:12.000]  這個管家明明是一個不義的管家,浪費主人的資財,被人告了,快要炒魷魚了,他趁著還沒離職的時候就想盡辦法為自己鋪路,於是他就叫那些債人來。
[00:03:12.000 --> 00:03:16.000]  你欠我主人多少?一百流油嗎?改五十。
[00:03:16.000 --> 00:03:24.000]  定來一個說,你欠我主人多少?一百石物資嗎?改八十。正式是賭米大臣。
[00:03:24.000 --> 00:03:32.000]  我想問一問,如果你是那個主人,你有個夥計這樣做的時候,你猜你會怎樣呢?
[00:03:32.000 --> 00:03:44.000]  炒啦,不單止炒,更加是什麼?詐騙啦,ICAC啦,讓他坐牢啦。
[00:03:44.000 --> 00:04:00.000]  事實上這個主人不是暴跳如雷,也不是發怒,他賭你米,反而你還要讚他,讚他什麼?作是聰明,摸不著頭腦。
[00:04:00.000 --> 00:04:25.000]  究竟這個主人是不是有點瘋狂?我相信我們中間沒有多少個主人像他這樣。而且更加大的問題,耶穌說這個比喻,是不是去讚他一個這麼狡猾,這麼不負責任的一個管家,是不是聖經似乎是容許我們這樣做呢?
