
[00:00:00.000 --> 00:00:07.000]  「你們靠他同被建造 成為神席著 聖靈居住的所在」
[00:00:07.000 --> 00:00:10.000]  今天我們每一個蒙恩得救的人
[00:00:10.000 --> 00:00:13.000]  看來好像我們個人得救
[00:00:13.000 --> 00:00:18.000]  但是在神的工作和神的體裡面
[00:00:18.000 --> 00:00:20.000]  其實我們是一個整體來的
[00:00:20.000 --> 00:00:24.000]  求主賜福讓我們今天早上來到神面前
[00:00:24.000 --> 00:00:27.000]  我看到我們蒙召到底會是什麼事情
[00:00:27.000 --> 00:00:30.000]  在今年開頭的時候和大家提到
[00:00:30.000 --> 00:00:33.000]  我們蒙召成為聖徒
[00:00:33.000 --> 00:00:38.000]  聖徒不是指那些不吃人家煙火
[00:00:38.000 --> 00:00:41.000]  經常捧著聖經Holy Holy去聖徒
[00:00:41.000 --> 00:00:46.000]  聖徒是指那些被上帝稱義的人
[00:00:46.000 --> 00:00:48.000]  不算為有罪的人
[00:00:48.000 --> 00:00:51.000]  這些是神的兒女 是信徒
[00:00:51.000 --> 00:00:56.000]  除此之外我們看到在蒙召的過程裡面
[00:00:56.000 --> 00:00:58.000]  有聖靈的工作
[00:00:58.000 --> 00:01:03.000]  聖靈使我們知道一個確實的應許和確具
[00:01:03.000 --> 00:01:05.000]  我們是屬於神的兒女
[00:01:05.000 --> 00:01:08.000]  蒙恩得救是聖靈的工作
[00:01:08.000 --> 00:01:11.000]  你願意悔改認罪是聖靈的工作
[00:01:11.000 --> 00:01:15.000]  你願不願意跟隨耶穌是聖靈的工作
[00:01:15.000 --> 00:01:18.000]  你今天回來教會聚會
[00:01:18.000 --> 00:01:22.000]  是你自己的感動還是聖靈的感動
[00:01:22.000 --> 00:01:23.000]  如果是聖靈的感動
[00:01:23.000 --> 00:01:26.000]  我相信你在神的面前一定蒙福
[00:01:26.000 --> 00:01:28.000]  因為祂感動你來的時候
[00:01:28.000 --> 00:01:30.000]  祂不會讓你空手走
[00:01:30.000 --> 00:01:32.000]  你自己來的話
[00:01:32.000 --> 00:01:34.000]  可能你沒什麼
[00:01:34.000 --> 00:01:37.000]  覺得今天教會好聽
[00:01:37.000 --> 00:01:40.000]  一般般而已 很悶而已
[00:01:40.000 --> 00:01:44.000]  所以聖靈不單單在我們蒙恩得救的時候
[00:01:44.000 --> 00:01:46.000]  我們靠聖靈得生
[00:01:46.000 --> 00:01:48.000]  我們一生行事為人
[00:01:48.000 --> 00:01:50.000]  都是被聖靈感動
[00:01:50.000 --> 00:01:52.000]  所以神的創造
[00:01:52.000 --> 00:01:53.000]  耶穌的救贖
[00:01:53.000 --> 00:01:55.000]  聖靈的感動
[00:01:55.000 --> 00:01:57.000]  是尚於我們同在的
[00:01:57.000 --> 00:01:59.000]  蒙召的人有永恆的盼望
[00:01:59.000 --> 00:02:01.000]  這是他們的指望
[00:02:01.000 --> 00:02:04.000]  這個世上活著每一個人
[00:02:04.000 --> 00:02:10.000]  如果單單目光放在地上的時候
[00:02:10.000 --> 00:02:14.000]  沒有一個人有盼望
[00:02:14.000 --> 00:02:16.000]  你越聰明
[00:02:16.000 --> 00:02:20.000]  你到晚年的時候越抑鬱
[00:02:20.000 --> 00:02:23.000]  你越有才幹的人
[00:02:23.000 --> 00:02:27.000]  到最後人生的道路上一定抑鬱
[00:02:27.000 --> 00:02:29.000]  看不到出路
[00:02:29.000 --> 00:02:34.000]  除非神的說話改變了你的觀點
[00:02:34.000 --> 00:02:36.000]  所以基督徒的指望
[00:02:36.000 --> 00:02:38.000]  是有盼望的人生
[00:02:38.000 --> 00:02:41.000]  因為我們的神本身是有盼望的神
[00:02:41.000 --> 00:02:44.000]  這個蒙召和我們的救恩有關
[00:02:44.000 --> 00:02:45.000]  為什麼?
[00:02:45.000 --> 00:02:48.000]  因為過去、現在、未來
[00:02:48.000 --> 00:02:51.000]  我們活在這個時空裏面
[00:02:51.000 --> 00:02:53.000]  有一天我們一定離開世界
[00:02:53.000 --> 00:02:56.000]  我們未出生之前已經存在
[00:02:56.000 --> 00:02:58.000]  這個是永恆
[00:02:58.000 --> 00:03:00.000]  沒有人可以知道永恆
[00:03:00.000 --> 00:03:03.000]  除非你認識耶穌
[00:03:03.000 --> 00:03:05.000]  最近《城中一個名人》
[00:03:05.000 --> 00:03:09.000]  最後一篇文章在報章上講到
[00:03:09.000 --> 00:03:12.000]  我認識永恆
[00:03:12.000 --> 00:03:14.000]  看來挺深奧的那篇文章
[00:03:14.000 --> 00:03:16.000]  不是很多人看得明白
[00:03:16.000 --> 00:03:18.000]  但他講不到一點
[00:03:18.000 --> 00:03:24.000]  永恆是你和我今天活著的人
[00:03:24.000 --> 00:03:26.000]  因信認識耶穌
[00:03:26.000 --> 00:03:29.000]  可以體會的
[00:03:29.000 --> 00:03:30.000]  這個體會就是
[00:03:30.000 --> 00:03:33.000]  在創造之先他已經存在
[00:03:33.000 --> 00:03:35.000]  到他道成肉身的時候
[00:03:35.000 --> 00:03:37.000]  我們認識他是救主
[00:03:37.000 --> 00:03:39.000]  到他還要再來的時候
[00:03:39.000 --> 00:03:42.000]  我今天活著又盼望
[00:03:42.000 --> 00:03:43.000]  在這個時空裏面
[00:03:43.000 --> 00:03:46.000]  過去、現在、未來的那個時空裏面
[00:03:46.000 --> 00:03:47.000]  弟兄姊妹
[00:03:47.000 --> 00:03:52.000]  你有沒有在生活中間經歷過
[00:03:52.000 --> 00:03:55.000]  當你徬徨的時候
[00:03:55.000 --> 00:03:57.000]  不是有些渣男
[00:03:57.000 --> 00:03:58.000]  叫你拿著安心
[00:03:58.000 --> 00:04:01.000]  是一句神的話令你安心
[00:04:01.000 --> 00:04:04.000]  當你很沮喪的時候
[00:04:04.000 --> 00:04:08.000]  一句聖經叫你重新振作
[00:04:08.000 --> 00:04:11.000]  又或者當你很恐懼的時候
[00:04:11.000 --> 00:04:13.000]  膽怯的時候
[00:04:13.000 --> 00:04:14.000]  腳震的時候
[00:04:14.000 --> 00:04:16.000]  不知道為什麼
[00:04:16.000 --> 00:04:18.000]  這一個永恆的主
[00:04:18.000 --> 00:04:21.000]  叫你重新站起來
[00:04:21.000 --> 00:04:23.000]  今天求主讓我們看到
[00:04:23.000 --> 00:04:26.000]  我們的夢照和救恩有關
[00:04:26.000 --> 00:04:29.000]  夢照是我們身份的確認
