
[00:00:00.000 --> 00:00:01.840]  有一個笑話
[00:00:01.840 --> 00:00:04.960]  有一個巴士司機和一個牧師
[00:00:04.960 --> 00:00:07.600]  同一天離開了世界
[00:00:07.600 --> 00:00:08.960]  上到天堂
[00:00:08.960 --> 00:00:13.520]  牧師看到巴士司機給他多很多的獎賞
[00:00:13.520 --> 00:00:15.120]  牧師非常之不滿
[00:00:15.120 --> 00:00:16.880]  舉手抗議說
[00:00:16.880 --> 00:00:19.840]  「上帝啊,祢是不是糊塗了一點啊?」
[00:00:19.840 --> 00:00:22.640]  「我每天都為祢傳道」
[00:00:22.640 --> 00:00:24.800]  「帶領會眾向祢祈禱」
[00:00:24.800 --> 00:00:26.160]  「而那個司機呢」
[00:00:26.160 --> 00:00:28.560]  「每天在每一個車程裏面」
[00:00:28.560 --> 00:00:32.400]  「他只是掛著飛車」
[00:00:32.400 --> 00:00:35.280]  上帝輕輕的回答說
[00:00:35.280 --> 00:00:40.240]  「牧師,祢雖然每天都很認真傳道祈禱」
[00:00:40.240 --> 00:00:46.560]  「但是,全部會眾在下面睡覺」
[00:00:46.560 --> 00:00:47.760]  「而司機呢」
[00:00:47.760 --> 00:00:49.840]  「雖然他每天飛車」
[00:00:49.840 --> 00:00:54.160]  「但是所有的乘客都在祈禱」
[00:00:54.160 --> 00:00:56.320]  這是一則笑話
[00:00:56.320 --> 00:01:02.400]  但是說明了禱告是一件很奇妙的事
[00:01:02.400 --> 00:01:05.600]  有一個信徒種了一棵橄欖樹
[00:01:05.600 --> 00:01:07.360]  他就禱告說
[00:01:07.360 --> 00:01:10.080]  「神啊,我的樹需要水分」
[00:01:10.080 --> 00:01:14.000]  「就求祢降下甘霖之潤」
[00:01:14.000 --> 00:01:16.480]  神就降下雨泥
[00:01:16.480 --> 00:01:17.840]  他又祈禱說
[00:01:17.840 --> 00:01:20.640]  「神啊,我的樹需要日光」
[00:01:20.640 --> 00:01:22.960]  「求祢給它日光」
[00:01:22.960 --> 00:01:25.360]  於是雲散雨止
[00:01:25.360 --> 00:01:28.480]  神就給他日光
[00:01:28.480 --> 00:01:29.840]  他再禱告說
[00:01:29.840 --> 00:01:32.800]  「神啊,我現在需要一些雪箱」
[00:01:32.800 --> 00:01:35.840]  「來兼顧祂的組織」
[00:01:35.840 --> 00:01:38.800]  果然那棵幼小的植物
[00:01:38.800 --> 00:01:43.200]  就加多了一層的薄霜
[00:01:43.200 --> 00:01:45.600]  但是這個人估計不到的
[00:01:45.600 --> 00:01:47.520]  就是到了傍晚
[00:01:47.520 --> 00:01:52.480]  他那棵小樹竟然死了
[00:01:52.480 --> 00:01:54.880]  於是他就去見另一個信徒
[00:01:54.880 --> 00:01:58.080]  告訴他他這個奇異的經歷
[00:01:58.080 --> 00:02:00.240]  那位信徒回答說
[00:02:00.240 --> 00:02:03.360]  「我都種了一棵小樹」
[00:02:03.360 --> 00:02:07.040]  「現在長得十分之茂盛」
[00:02:07.040 --> 00:02:10.880]  「我並沒有為我的樹操心」
[00:02:10.880 --> 00:02:13.360]  「我只是將它交給神」
[00:02:13.360 --> 00:02:16.000]  「做祂的神知道祂的需要」
[00:02:16.000 --> 00:02:19.200]  「遠勝過我這個無知的人」
[00:02:19.200 --> 00:02:23.600]  「所以我並沒有向神開出什麼條件」
