
[00:00:00.000 --> 00:00:05.400]  我們今天說到摩西,最後一次提到摩西
[00:00:05.400 --> 00:00:10.160]  上星期Pastor Johnny也是說摩西的
[00:00:10.160 --> 00:00:15.600]  在他的商文中提到我們有幾樣東西
[00:00:15.600 --> 00:00:19.800]  叫我們眼睛要怎樣做,耳朵要怎樣做
[00:00:19.800 --> 00:00:23.300]  當我們在不清楚所有事情的時候
[00:00:23.300 --> 00:00:24.800]  很混亂的時候
[00:00:24.800 --> 00:00:28.500]  我們應該要從眼睛、耳朵、嘴巴
[00:00:28.500 --> 00:00:34.300]  以及我們的靈性上怎樣去做
[00:00:34.300 --> 00:00:40.300]  今天已經來到摩西生命的最後階段
[00:00:40.300 --> 00:00:43.700]  在摩西最後的生命階段裡面
[00:00:43.700 --> 00:00:46.600]  到底發生了什麼事情呢?
[00:00:46.600 --> 00:00:50.700]  我們今天有幾段經文告訴我們
[00:00:50.700 --> 00:00:53.300]  有沒有人知道摩西
[00:00:53.300 --> 00:00:59.500]  多少歲離開世界,回到天家,多少歲?
[00:00:59.500 --> 00:01:03.600]  之前經常都說長命
[00:01:03.600 --> 00:01:07.900]  120歲,對,摩西就是120歲
[00:01:07.900 --> 00:01:13.500]  摩西是120歲,他現在已經是接近120歲的時間
[00:01:13.500 --> 00:01:16.400]  到底他發生了什麼事情呢?
[00:01:16.400 --> 00:01:22.200]  我們先看看以下的經文
[00:01:22.200 --> 00:01:27.100]  在《文數記》二十章二到十三節這樣說
[00:01:27.100 --> 00:01:32.100]  「會眾沒有水喝,就聚集攻擊摩西阿倫」
[00:01:32.100 --> 00:01:34.500]  「百姓向摩西曾鬧說」
[00:01:34.500 --> 00:01:38.100]  「我們的弟兄曾死在耶和華面前」
[00:01:38.100 --> 00:01:41.400]  「我們恨不得與他們同死」
[00:01:41.400 --> 00:01:46.200]  「你們為何把耶和華的會眾領導者抗野」
[00:01:46.200 --> 00:01:49.700]  「使我們和畜生都死在那裡」
[00:01:49.700 --> 00:01:54.100]  「你們為何逼著我們出埃及」
[00:01:54.100 --> 00:01:56.800]  「令我們到這壞地方呢?」
[00:01:56.800 --> 00:01:59.400]  「這地方不好殺種」
[00:01:59.400 --> 00:02:03.700]  「也沒有無花果樹、葡萄樹、石榴樹」
[00:02:03.700 --> 00:02:05.400]  「又沒有水喝」
[00:02:05.400 --> 00:02:08.300]  「摩西阿倫離開會眾」
[00:02:08.300 --> 00:02:11.300]  「到會幕門口,撫服在地」
[00:02:11.300 --> 00:02:15.400]  「耶和華的榮光向他們顯現」
[00:02:15.400 --> 00:02:18.000]  「耶和華曉遇摩西說」
[00:02:18.000 --> 00:02:20.400]  「你拿著帳去」
[00:02:20.400 --> 00:02:23.800]  「和你的哥哥阿倫招聚會眾」
[00:02:23.800 --> 00:02:25.700]  「在他們眼前」
[00:02:25.700 --> 00:02:28.600]  「吩咐盆石發出水來」
[00:02:28.600 --> 00:02:31.000]  「水就從盆石流出」
[00:02:31.000 --> 00:02:34.100]  「給會眾和他們的畜生喝」
