
[00:00:00.000 --> 00:00:03.600]  今天給我的主題是合乎神心意的教會
[00:00:03.600 --> 00:00:06.800]  今天的主題是合乎神心意的教會
[00:00:06.800 --> 00:00:11.400]  我想講的是合乎神心意的信主的信徒
[00:00:11.400 --> 00:00:15.200]  我想講的是合乎神心意的信主的信徒
[00:00:15.200 --> 00:00:17.200]  你是廣東人嗎?
[00:00:17.200 --> 00:00:19.800]  不是,我是台灣人
[00:00:19.800 --> 00:00:21.600]  為什麼你會懂得廣東話?
[00:00:21.600 --> 00:00:25.200]  全部都是我老師
[00:00:25.200 --> 00:00:30.200]  很厲害,難怪你的國語講得這麼好
[00:00:30.200 --> 00:00:33.200]  有機會我講
[00:00:33.200 --> 00:00:39.200]  今天其實很多人
[00:00:39.200 --> 00:00:45.600]  我們中國人很喜歡有福氣
[00:00:45.600 --> 00:00:48.400]  今天很多中國人喜歡有福氣
[00:00:48.400 --> 00:00:50.600]  當然回來教會最有福氣
[00:00:50.600 --> 00:00:52.600]  當然來教會是最有福氣
[00:00:52.600 --> 00:00:57.800]  跟隨耶穌最有福氣
[00:00:57.800 --> 00:00:59.800]  所以我們經常跟別人說
[00:00:59.800 --> 00:01:02.200]  跟耶穌很有福氣
[00:01:02.200 --> 00:01:05.200]  所以我們經常講跟耶穌很有福氣
[00:01:05.200 --> 00:01:07.200]  我們求福
[00:01:07.200 --> 00:01:11.600]  香港也有一個地方專門求福
[00:01:11.600 --> 00:01:13.600]  香港也有些地方專門求福
[00:01:13.600 --> 00:01:18.600]  中國人其實還沒信耶穌已經在求福
[00:01:18.600 --> 00:01:20.800]  中國人還沒信耶穌就已經在求福
[00:01:20.800 --> 00:01:22.800]  不過我們去廟裡求福
[00:01:22.800 --> 00:01:24.800]  只不過我們是去廟裡
[00:01:24.800 --> 00:01:25.800]  我們求福
[00:01:25.800 --> 00:01:30.800]  菩薩給我福氣吧
[00:01:30.800 --> 00:01:33.800]  我的女兒已經四十歲了還沒嫁出去
[00:01:33.800 --> 00:01:36.800]  我的女兒已經四十歲了還沒嫁出去
[00:01:36.800 --> 00:01:37.800]  讓她嫁出去吧
