
[00:00:00.000 --> 00:00:04.540]  我們低頭禱告
[00:00:04.540 --> 00:00:07.760]  現在天父願意孩子口中的言語
[00:00:07.760 --> 00:00:11.440]  心裏的意念在你面前蒙悅納
[00:00:11.440 --> 00:00:14.400]  也願意上帝你透過孩子
[00:00:14.400 --> 00:00:17.440]  所要宣講你自己的聖言
[00:00:17.440 --> 00:00:20.760]  能夠震動弟兄姐妹的心
[00:00:20.760 --> 00:00:23.080]  加強我們的信心
[00:00:23.080 --> 00:00:25.800]  讓我們走在你的面前
[00:00:25.800 --> 00:00:27.680]  陶祖的喜悅
[00:00:27.680 --> 00:00:30.280]  禱告奉祖耶穌名求
[00:00:30.280 --> 00:00:33.080]  Amen
[00:00:33.080 --> 00:00:35.800]  我們人一天活着的時候
[00:00:35.800 --> 00:00:39.920]  一天還是想做下一步是怎麼樣
[00:00:39.920 --> 00:00:43.000]  我的孩子長大怎麼樣
[00:00:43.000 --> 00:00:45.080]  好像我有三個兒子
[00:00:45.080 --> 00:00:47.960]  我的師母
[00:00:47.960 --> 00:00:52.480]  她們都爲三個兒子的配偶禱告
[00:00:52.480 --> 00:00:55.560]  將來是什麼人做她們的配偶
[00:00:55.560 --> 00:00:58.120]  爲她們禱告
[00:00:58.120 --> 00:01:00.560]  我們年紀慢慢大的人
[00:01:00.560 --> 00:01:05.280]  開始想到退休之後又怎麼樣
[00:01:05.280 --> 00:01:08.440]  所以每一個階段過得很快
[00:01:08.440 --> 00:01:11.760]  你不能夠說我不想
[00:01:11.760 --> 00:01:15.800]  我願意那個時間凍結
[00:01:15.800 --> 00:01:17.480]  現在是最好的
[00:01:17.480 --> 00:01:19.280]  我希望就是這樣
[00:01:19.280 --> 00:01:21.920]  也不可能
[00:01:21.920 --> 00:01:25.600]  但是當我們人來來去去
[00:01:25.600 --> 00:01:28.440]  匆匆忙忙的時候
[00:01:28.440 --> 00:01:31.000]  我們都是盼望
[00:01:31.000 --> 00:01:34.520]  盼望能夠多見一點前面一段路
[00:01:34.520 --> 00:01:38.040]  多知道多一點前面一段路
[00:01:38.040 --> 00:01:39.800]  但是說實話
[00:01:39.800 --> 00:01:43.440]  沒有一個人能夠知道明天
[00:01:43.440 --> 00:01:47.200]  但是每一個人都可以
[00:01:47.200 --> 00:01:51.200]  相信上帝掌管我們的明天
[00:01:51.200 --> 00:01:54.440]  今天我想跟大家分享這個信息
[00:01:54.440 --> 00:01:57.960]  是從詩篇139篇
[00:01:57.960 --> 00:02:01.360]  非常寶貴的一個詩篇
[00:02:01.360 --> 00:02:03.800]  所以願意大家好好的
[00:02:03.800 --> 00:02:07.120]  聆聽上帝要對你所講什麼話
[00:02:07.120 --> 00:02:10.080]  要對你的家庭講什麼話
[00:02:10.080 --> 00:02:14.160]  要對教會講什麼話
[00:02:14.160 --> 00:02:16.480]  好 我們再念第一節
[00:02:16.480 --> 00:02:18.160]  第二節 請念
[00:02:18.160 --> 00:02:22.800]  你已經見察我 認識我
[00:02:22.800 --> 00:02:26.720]  我坐下 我起來 你都曉得
[00:02:26.720 --> 00:02:29.760]  你從遠處知道我的意念
[00:02:29.760 --> 00:02:33.880]  我行 我躺我 你都思想
[00:02:33.880 --> 00:02:35.720]  很好
[00:02:35.720 --> 00:02:37.840]  不知道爲什麼今天我感覺到
[00:02:37.840 --> 00:02:42.480]  大家唱詩唱得很有勁 是不是
[00:02:42.480 --> 00:02:43.960]  哇 很有勁
[00:02:43.960 --> 00:02:45.360]  讀經也讀得很有勁
[00:02:45.360 --> 00:02:49.920]  但願上帝都這樣祝福我們 福興我們
[00:02:49.920 --> 00:02:51.040]  詩人說 他說
[00:02:51.040 --> 00:02:55.320]  耶和華 你已經見察我 認識我
[00:02:55.320 --> 00:02:56.920]  你已經見察我
[00:02:56.920 --> 00:03:00.000]  You have examined me
[00:03:00.000 --> 00:03:05.880]  上帝是位有行動的上帝
[00:03:05.880 --> 00:03:08.320]  這裏不單只是講到張來
[00:03:08.320 --> 00:03:11.800]  這裏講到他已經認識我們
[00:03:11.800 --> 00:03:14.800]  已經見察我們
[00:03:14.800 --> 00:03:17.400]  我們是個怎麼樣的人
[00:03:17.400 --> 00:03:20.040]  我們的性情怎麼樣
[00:03:20.040 --> 00:03:23.200]  我們有些人比較感性一點
[00:03:23.200 --> 00:03:26.200]  有些人比較理性一點
[00:03:26.200 --> 00:03:32.360]  有些人比較能夠看前面遠一點
[00:03:32.360 --> 00:03:35.200]  有些很保守 就站在現在
[00:03:35.200 --> 00:03:39.840]  有些比較急 有些比較慢一點
[00:03:39.840 --> 00:03:45.000]  但是無論如何 上帝見察我
[00:03:45.000 --> 00:03:46.960]  見察我的意思
[00:03:46.960 --> 00:03:50.560]  其實有一個更深的意思就是說
[00:03:50.560 --> 00:03:55.920]  上帝你已經深入我的裏面
[00:03:55.920 --> 00:03:58.800]  深處的意思
[00:03:58.800 --> 00:04:05.480]  在現在psychology的表達是subconscious
[00:04:05.480 --> 00:04:11.160]  subconscious 神瞭解你我的潛意識
[00:04:11.160 --> 00:04:13.480]  甚至我們的意識他了解
[00:04:13.480 --> 00:04:17.640]  我們的潛意識他也瞭解
[00:04:17.640 --> 00:04:23.160]  雖然以前沒有現代的心理學的名詞
[00:04:23.160 --> 00:04:28.800]  但是人一直以來都有我們的conscious mind
[00:04:28.800 --> 00:04:33.520]  有我們的意識 有我們的潛意識
[00:04:33.520 --> 00:04:37.360]  但是上帝一早都認識我們
[00:04:37.360 --> 00:04:41.760]  他已經見察我
[00:04:41.760 --> 00:04:45.360]  跟着他說 他已經認識我
[00:04:45.360 --> 00:04:50.920]  這個認識這個字在西班牙文是很有意思
[00:04:50.920 --> 00:04:54.080]  不單只是說我認識你的名字
[00:04:54.080 --> 00:04:57.600]  你從哪裏來 你老家在哪兒
[00:04:57.600 --> 00:05:02.320]  你住在什麼地方 你有幾個孩子
[00:05:02.320 --> 00:05:06.000]  不 這個的認識很多時候用作
[00:05:06.000 --> 00:05:11.160]  我們這是丈夫跟太太的認識
[00:05:11.160 --> 00:05:14.920]  丈夫跟太太那種的親密的關係
[00:05:14.920 --> 00:05:19.600]  是外人不能夠隨便插進來的
[00:05:19.600 --> 00:05:23.800]  這種的認識是講到好像
[00:05:23.800 --> 00:05:26.920]  一個結了婚的一對的夫妻
[00:05:26.920 --> 00:05:31.200]  他們在上帝面前好像完全的赤裸
[00:05:31.200 --> 00:05:34.800]  因爲他們不單止是成爲夫妻
[00:05:34.800 --> 00:05:38.560]  他們也彼此的認識對方
[00:05:38.560 --> 00:05:41.120]  他們不能夠再說
