
[00:00:00.000 --> 00:00:02.000]  各位親愛的領事們你們好
[00:00:02.000 --> 00:00:04.500]  不知道大家知不知道我們是什麼身份
[00:00:04.500 --> 00:00:08.000]  我們是神的兒女 大家都很清晰
[00:00:08.000 --> 00:00:11.000]  我們是主的門徒 我們是基督徒
[00:00:11.000 --> 00:00:14.000]  但是不要忘記 原來我們是君尊的祭司
[00:00:14.000 --> 00:00:17.500]  今天我們會看國之四維
[00:00:17.500 --> 00:00:21.000]  禮義廉恥
[00:00:21.000 --> 00:00:24.500]  但是還有四種重要的人物
[00:00:24.500 --> 00:00:28.000]  我們今天就會看最後兩種
[00:00:28.000 --> 00:00:33.000]  第一種就是法官 第二是君王
[00:00:33.000 --> 00:00:37.500]  今天我們會看祭司和先知
[00:00:37.500 --> 00:00:39.500]  好像跟我們沒有什麼關係
[00:00:39.500 --> 00:00:42.000]  我們可以用這個信息
[00:00:42.000 --> 00:00:46.500]  來看今天服侍我們的 養我們的牧者是怎麼樣
[00:00:46.500 --> 00:00:49.000]  但是不要只看人 我們要看我們自己
[00:00:49.000 --> 00:00:52.000]  因為我們都是君尊的祭司
[00:00:52.000 --> 00:00:55.500]  今天我們就會繼續去看
[00:00:55.500 --> 00:00:58.500]  四個很重要的人物
[00:00:58.500 --> 00:01:01.000]  如果我們記得的時候
[00:01:01.000 --> 00:01:05.000]  正正提醒我們有幾個人物是很重要的
[00:01:05.000 --> 00:01:12.000]  我們曾經說過中國修身 齊家 治國 平天下
[00:01:12.000 --> 00:01:15.500]  這裡就是先去修身 然後齊家
[00:01:15.500 --> 00:01:17.500]  才可以治國平天下
[00:01:17.500 --> 00:01:21.000]  但是很多的領袖 包括傳道人
[00:01:21.000 --> 00:01:25.000]  很可能自己的家是一塌糊塗的
[00:01:25.000 --> 00:01:27.000]  但是在生命記裡面
[00:01:27.000 --> 00:01:30.000]  我們探討這四個重要的人物
[00:01:30.000 --> 00:01:31.500]  我們先將他們調換為D1
[00:01:31.500 --> 00:01:33.500]  這四個人物是什麼呢
[00:01:33.500 --> 00:01:38.500]  我們已經看過 就是法官 君王 祭司 和先知
[00:01:38.500 --> 00:01:42.500]  上次我們看到就是審判官的重要
[00:01:42.500 --> 00:01:45.500]  一定要公正 君王 記不記得
[00:01:45.500 --> 00:01:47.500]  是有七個的筆
[00:01:47.500 --> 00:01:49.500]  如果大家沒有聽過
[00:01:49.500 --> 00:01:54.000]  可以上YouTube 去看看治國君王
[00:01:54.000 --> 00:01:56.500]  《聖經》裡面對君王有七個的要求
[00:01:56.500 --> 00:01:59.000]  就是不准怎樣怎樣
[00:01:59.000 --> 00:02:03.500]  好了 接著我們就會看這一個
[00:02:03.500 --> 00:02:05.500]  如果我們去看的時候
[00:02:05.500 --> 00:02:06.500]  這個就是治國
[00:02:06.500 --> 00:02:09.500]  接著我們看這個教訓是怎樣去齊家
[00:02:09.500 --> 00:02:11.500]  治國 我們已經看到了
[00:02:11.500 --> 00:02:14.000]  就是這四個重要的人物
[00:02:14.000 --> 00:02:17.000]  他們分權 分職
[00:02:17.000 --> 00:02:20.500]  也免得權力互相帶進去濫用
[00:02:20.500 --> 00:02:23.500]  有兩個很重要的人物都是宗教人物
[00:02:23.500 --> 00:02:26.500]  就是祭司和先知
[00:02:26.500 --> 00:02:28.500]  如果我們留意經文的結構
[00:02:28.500 --> 00:02:32.500]  生命記十八章 第一到第八節
[00:02:32.500 --> 00:02:39.500]  就是講到祭司應該要受到怎樣的對待
[00:02:39.500 --> 00:02:43.500]  然後呢 第十八章十五到廿二節
[00:02:43.500 --> 00:02:45.500]  就是講先知的事
[00:02:45.500 --> 00:02:49.500]  第八節和第十五節 中間有一段
[00:02:49.500 --> 00:02:51.500]  中間那一段是什麼呢
[00:02:51.500 --> 00:02:55.500]  就好像無關痛癢的事情分隔了
[00:02:55.500 --> 00:02:58.500]  原來第十八章九到十四節
[00:02:58.500 --> 00:03:02.500]  那段經文是警告子民不要拜偶像
[00:03:02.500 --> 00:03:06.500]  其實這段經文絕對不是沒有關係的
[00:03:06.500 --> 00:03:12.500]  就顯示了祭司是有責任去教導
[00:03:12.500 --> 00:03:17.500]  提醒 警告子民不要偏離神的道
[00:03:17.500 --> 00:03:19.500]  但是很可惜
[00:03:19.500 --> 00:03:24.500]  我們稍後會看到有些祭司自己都偏離了神的道
[00:03:24.500 --> 00:03:28.500]  所以我們會先研讀祭司的責任
[00:03:28.500 --> 00:03:30.500]  然後祭司的工作
[00:03:30.500 --> 00:03:33.500]  再看看子民應該怎樣對待祭司
[00:03:33.500 --> 00:03:38.500]  然後反思今天我們怎樣面對我們的牧者
[00:03:38.500 --> 00:03:42.500]  或者怎樣去平衡
[00:03:42.500 --> 00:03:45.500]  或者怎樣去看我們牧者的侍奉
[00:03:45.500 --> 00:03:47.500]  當然也要看我們自己
[00:03:47.500 --> 00:03:50.500]  因為我們自己都是軍專的祭司
[00:03:50.500 --> 00:03:54.500]  我們先了解祭司的責任是什麼
[00:03:54.500 --> 00:03:56.500]  因為他們進入加南地
