
[00:00:00.000 --> 00:00:05.480]  各位議員好,我們一齊先做一個禱告
[00:00:05.480 --> 00:00:07.640]  天父我們感謝你讓我們一起學習
[00:00:07.640 --> 00:00:11.480]  願意聖靈去開啟我們的心,一起學習
[00:00:11.480 --> 00:00:15.200]  我們怎樣在我們患難的人生裏面
[00:00:15.200 --> 00:00:17.760]  我們常有一個喜樂的心
[00:00:17.760 --> 00:00:20.840]  這個是很需要學習,求主你保守我們
[00:00:20.840 --> 00:00:25.080]  帶領我們祈禱奉主耶穌基督的名,阿門
[00:00:25.080 --> 00:00:26.680]  這個要看大家的年紀
[00:00:26.680 --> 00:00:29.800]  所以我說一個人物,大家應該都會知道的
[00:00:29.800 --> 00:00:32.280]  查理卓別靈
[00:00:32.280 --> 00:00:34.520]  大家都知道,但我有時跟年輕人
[00:00:34.520 --> 00:00:38.520]  再年輕一點,他不太知道是誰
[00:00:38.520 --> 00:00:42.640]  我們知道查理卓別靈是一代少將
[00:00:42.640 --> 00:00:45.880]  他的電影很特別,我們一定會知道
[00:00:45.880 --> 00:00:50.920]  很有人情味,笑中有淚,淚中有笑
[00:00:50.920 --> 00:00:55.040]  我想大家有沒有看過摩登時代
[00:00:55.040 --> 00:00:57.680]  看過你舉手
[00:00:57.680 --> 00:01:02.040]  有沒有看過《大獨裁者》
[00:01:02.040 --> 00:01:06.160]  不要緊,你沒看過你再看
[00:01:06.160 --> 00:01:09.680]  這些我覺得是很有意思的電影
[00:01:09.680 --> 00:01:13.000]  但我們發覺查理沒有錯
[00:01:13.000 --> 00:01:16.120]  製作很多很好笑的電影
[00:01:16.120 --> 00:01:20.480]  但他的生命其實都是很坎坷的
[00:01:20.480 --> 00:01:23.200]  他說的話你明白他什麼意思
[00:01:23.200 --> 00:01:29.480]  他說其實如果一個人看一些事情
[00:01:29.480 --> 00:01:33.520]  如果是近攝鏡,他用電影的術語
[00:01:33.520 --> 00:01:36.400]  如果是近攝鏡,這是一個悲劇
[00:01:36.400 --> 00:01:42.960]  但如果是一個廣角鏡頭,是一個喜劇
[00:01:42.960 --> 00:01:44.640]  什麼意思?
[00:01:44.640 --> 00:01:47.400]  其實現實的生活真的很殘酷
[00:01:47.400 --> 00:01:49.640]  但我們將它用另一個角度去看
[00:01:49.640 --> 00:01:53.640]  或者沒有那麼真實,我們將它用一些技巧
[00:01:53.640 --> 00:01:57.880]  或者一些創意可以使它成為一個喜劇
[00:01:57.880 --> 00:02:01.680]  我不知道你們的人生是喜劇還是悲劇
[00:02:01.680 --> 00:02:03.360]  但我們會看到
[00:02:03.360 --> 00:02:08.320]  查理的確經歷了很多人生的坎坷
[00:02:08.320 --> 00:02:11.040]  在他五歲的時候
[00:02:11.040 --> 00:02:16.880]  其實他媽媽是一個單親的母親去撫養他
[00:02:16.880 --> 00:02:19.520]  其實家境很窮困
[00:02:19.520 --> 00:02:26.080]  媽媽當時是在歌廳裡唱歌為生
[00:02:26.080 --> 00:02:30.960]  查理有時跟媽媽一起去歌廳
[00:02:30.960 --> 00:02:32.240]  唱完歌之後
[00:02:32.240 --> 00:02:34.760]  有些人會打賞他們
[00:02:34.760 --> 00:02:36.600]  扔錢在地上
[00:02:36.600 --> 00:02:38.360]  查理就去撿
[00:02:38.360 --> 00:02:40.680]  有些人覺得這個小孩很奇怪
[00:02:40.680 --> 00:02:42.760]  所以就嘻嘻哈哈好笑
[00:02:42.760 --> 00:02:50.280]  就是這樣查理覺得自己有一種幽默的特質
[00:02:50.280 --> 00:02:52.200]  所以有一次在他五歲的時候
[00:02:52.200 --> 00:02:55.280]  媽媽因為突然身體的緣故失聲了
[00:02:55.280 --> 00:02:58.000]  他要代母唱歌
[00:02:58.000 --> 00:02:59.800]  五歲的時候就要唱歌
[00:02:59.800 --> 00:03:01.920]  六歲的時候媽媽身體很差
[00:03:01.920 --> 00:03:04.720]  就要在孤兒院裡過生活
[00:03:04.720 --> 00:03:09.680]  我們會看到為什麼查理對人生是這樣的演繹
[00:03:09.680 --> 00:03:11.600]  他要去笑
[00:03:11.600 --> 00:03:13.320]  查理面對人的疾苦
[00:03:13.320 --> 00:03:18.600]  他是用了他的才華去製造一個查理的世界
[00:03:18.600 --> 00:03:20.880]  以致引起人很多的歡笑
[00:03:20.880 --> 00:03:23.360]  這就是查理的方法
[00:03:23.360 --> 00:03:27.600]  但事實上我們再看查理的媽媽更坎坷
[00:03:27.600 --> 00:03:30.640]  十六歲開始唱歌
[00:03:30.640 --> 00:03:32.040]  她是一個演員
