
[00:00:00.000 --> 00:00:02.000]  向我們同心祈禱
[00:00:02.000 --> 00:00:06.000]  主我們感謝祢 因為祢是慈愛的主
[00:00:06.000 --> 00:00:11.000]  祢恩待我們 讓我們能夠來到祢的面前去敬拜祢
[00:00:11.000 --> 00:00:14.000]  求主將渴慕的心給我們
[00:00:14.000 --> 00:00:20.000]  讓我們渴慕祢的話語 渴慕祢的慈愛 渴慕祢的恩典
[00:00:20.000 --> 00:00:22.000]  求主因應我們以下的時間
[00:00:22.000 --> 00:00:26.000]  讓祢的聖靈親自向我們眾人說話
[00:00:26.000 --> 00:00:28.000]  禱告奉耶穌基督的名字
[00:00:28.000 --> 00:00:39.000]  讓我們有機會和第四堂弟兄姊妹去分享神的說話
[00:00:39.000 --> 00:00:41.000]  今天是崇拜教育主日
[00:00:41.000 --> 00:00:46.000]  我們會藉著兩段經文去思想我們崇拜的方向
[00:00:46.000 --> 00:00:50.000]  好像我們今季一樣 有舊約 有新約
[00:00:50.000 --> 00:00:53.000]  而且都是耶穌引用的說話
[00:00:53.000 --> 00:00:56.000]  我們專家所說的崇拜的理念
[00:00:56.000 --> 00:00:59.000]  其中一個很重要就是崇拜的意義
[00:00:59.000 --> 00:01:04.000]  就是一個向神奉獻的一個過程
[00:01:04.000 --> 00:01:07.000]  我們將自己奉獻給神 好像獻祭一樣
[00:01:07.000 --> 00:01:11.000]  在舊約裏面開始其實又有獻祭
[00:01:11.000 --> 00:01:16.000]  獻祭在新約來說我們會覺得好像已經過去了
[00:01:16.000 --> 00:01:20.000]  我們不再獻上牛羊 我們沒有那種獻祭的儀式
[00:01:20.000 --> 00:01:25.000]  不過在舊約裏面怎樣去講關於獻祭的事情
[00:01:25.000 --> 00:01:29.000]  仍然是我們今天需要留心的方向
[00:01:29.000 --> 00:01:36.000]  今天我們的講題是 上主喜愛憐憫 不喜愛祭祀
[00:01:36.000 --> 00:01:40.000]  初初聽的時候會覺得 哇 獻祭不單止已經過去
[00:01:40.000 --> 00:01:43.000]  上帝甚至說不喜歡獻祭
[00:01:43.000 --> 00:01:47.000]  即是說不喜歡人的敬拜 是不是真的呢
[00:01:47.000 --> 00:01:51.000]  如果是真的的話 為甚麼上帝在舊約裏面
[00:01:51.000 --> 00:01:56.000]  又設立那麼多那麼詳細的獻祭的安排的制度呢
[00:01:56.000 --> 00:02:00.000]  又講那麼多關於獻祭的事情和指引呢
[00:02:00.000 --> 00:02:04.000]  是不是想跟我們玩一下就算了呢
[00:02:04.000 --> 00:02:07.000]  最近有一個節目真的是玩的節目
[00:02:07.000 --> 00:02:11.000]  一個遊戲的節目當中有一個主持人
[00:02:11.000 --> 00:02:16.000]  他就講他喜歡甚麼 不喜歡甚麼 是不斷講的
