
[00:00:00.000 --> 00:00:03.000]  地兄姐妹們平安
[00:00:03.000 --> 00:00:08.000]  非常高興又回到我們月語堂和地兄姐妹們一起分享神的話語
[00:00:08.000 --> 00:00:12.000]  我很高興來到月語堂能夠和大英姐妹們分享神的話語
[00:00:12.000 --> 00:00:17.000]  我覺得上次我們分享的話語的時候是比較長時間了
[00:00:17.000 --> 00:00:24.000]  但是我們今天要繼續講今年的主題的其中一部分
[00:00:24.000 --> 00:00:27.000]  我們上次來的時候其實已經很久之前的時候了
[00:00:27.000 --> 00:00:32.000]  今天我所講的仍然是接著上次所講的教會的主題之一
[00:00:32.000 --> 00:00:37.000]  我們今天是牧師我們幾個月語堂的牧師我們交換信息
[00:00:37.000 --> 00:00:43.000]  我們今天的時候在不同部的牧師們在交會不同地方去講道
[00:00:43.000 --> 00:00:52.000]  大家如果有印象的話我們上個季度我們今年的主題的信息是給我們的主導文
[00:00:52.000 --> 00:00:57.000]  我們如果大家記得的時候上個季度我們的主題就是教導我們的主導文
[00:00:57.000 --> 00:01:02.000]  主導文我們都會背
[00:01:02.000 --> 00:01:09.000]  我們最主要的學習就是主的祂在天上的旨意能夠行在我們自己身上
[00:01:09.000 --> 00:01:13.000]  就是神的天上的旨意能夠在我們身上的成就
[00:01:13.000 --> 00:01:17.000]  願神的國降臨也在我們中間能夠展開
[00:01:17.000 --> 00:01:20.000]  神的國也在我們當中被展開
[00:01:20.000 --> 00:01:27.000]  今天我們通過主耶穌祂自己的榜樣
[00:01:27.000 --> 00:01:30.000]  我們要思考一個非常和我們很實際的一個問題
[00:01:30.000 --> 00:01:36.000]  我們會考慮一個和我們本身實際非常接近的一個學法
[00:01:36.000 --> 00:01:41.000]  就是遵行天父的旨意
[00:01:41.000 --> 00:01:45.000]  我們在要付代價的時候
[00:01:45.000 --> 00:01:47.000]  我們到底怎樣來做
[00:01:47.000 --> 00:01:53.000]  我們是不是能夠從這段經文裡面我們能看到基督祂自己的榜樣
[00:01:53.000 --> 00:01:56.000]  我們是不是能夠從經文當中看到基督耶穌的榜樣
[00:01:56.000 --> 00:02:00.000]  因為我們今天已經讀經文所以我們把經文跳過
[00:02:00.000 --> 00:02:03.000]  因為我剛才已經讀了經文所以我們跳過了經文
[00:02:03.000 --> 00:02:08.000]  所以說今天我希望弟兄姐妹們來我們中間的福音朋友也一樣
[00:02:08.000 --> 00:02:10.000]  來看我們思考一個問題
[00:02:10.000 --> 00:02:15.000]  所以今天我們來到當中的時候我們思考一個題目
[00:02:15.000 --> 00:02:19.000]  就是主為拯救世人為拯救我們
[00:02:19.000 --> 00:02:22.000]  就是主為拯救世人為拯救我們
[00:02:22.000 --> 00:02:24.000]  祂要決定順服神
[00:02:24.000 --> 00:02:26.000]  祂決定去順服神
[00:02:26.000 --> 00:02:29.000]  祂甘心上十字架之前所受的痛苦
[00:02:29.000 --> 00:02:32.000]  而甘心上十字架之前所受的痛苦
[00:02:32.000 --> 00:02:35.000]  和祂在十字架上所受的痛苦
[00:02:35.000 --> 00:02:37.000]  和祂在十字架上面所受的痛苦
[00:02:37.000 --> 00:02:38.000]  為了你我
[00:02:38.000 --> 00:02:39.000]  為了你和我
[00:02:39.000 --> 00:02:41.000]  我們想過多少
[00:02:41.000 --> 00:02:43.000]  我們有沒有想過有多少呢
[00:02:43.000 --> 00:02:45.000]  更重要的是
[00:02:45.000 --> 00:02:46.000]  更重要的是
[00:02:46.000 --> 00:02:47.000]  我們感受多少
[00:02:47.000 --> 00:02:49.000]  我們能夠感受多少呢
[00:02:49.000 --> 00:02:52.000]  對我們遵行天父的旨意到底有什麼幫助
[00:02:52.000 --> 00:02:55.000]  這個對我們遵行天父的旨意又有什麼幫助呢
[00:02:55.000 --> 00:02:58.000]  好 那我們就看一下相信今天經文
[00:02:58.000 --> 00:03:01.000]  我們再看一看我們今天讀了的經文
[00:03:01.000 --> 00:03:07.000]  在開始這個經文裡面就是主耶穌他們來到一個地方名叫克西瑪尼
[00:03:07.000 --> 00:03:12.000]  當時他們和耶穌和蒙面圖來到的地方就叫帕西瑪尼
[00:03:12.000 --> 00:03:15.000]  這個地方是門徒們都很熟悉的地方
[00:03:15.000 --> 00:03:18.000]  這個是一個門徒們都很熟悉的地方
[00:03:18.000 --> 00:03:20.000]  因為在《路加福音》裡面也這樣講過
[00:03:20.000 --> 00:03:22.000]  因為在《路加福音》裡面也提到
[00:03:22.000 --> 00:03:25.000]  他們到一個叫橄欖山住宿
[00:03:25.000 --> 00:03:29.000]  他們去到一座山叫橄欖山他們要去那裡住宿
