
[00:00:00.000 --> 00:00:03.640]  在很多年前歐洲發生戰事
[00:00:03.640 --> 00:00:08.360]  當時意大利和奧地利是敵對國家
[00:00:08.360 --> 00:00:13.000]  當日意大利邊境有戰場
[00:00:13.000 --> 00:00:16.200]  炮火暫時停止
[00:00:16.200 --> 00:00:24.200]  意大利救傷隊很匆忙搶救戰場上的傷兵
[00:00:24.200 --> 00:00:30.520]  將他們送到附近的禮拜堂醫治
[00:00:30.520 --> 00:00:36.840]  當傷兵躺在地上流血痛楚很深淵時
[00:00:36.840 --> 00:00:46.280]  意大利人發現傷兵中竟然有四個奧地利人
[00:00:46.280 --> 00:00:49.040]  看到他們是敵人
[00:00:49.040 --> 00:00:54.640]  於是想到他們是敵軍殺死意大利軍的人
[00:00:54.640 --> 00:01:02.360]  於是一班人衝到前面將他們拋出去
[00:01:02.360 --> 00:01:05.240]  當他們打算這樣做時
[00:01:05.240 --> 00:01:08.560]  突然一個身穿白袍的人
[00:01:08.560 --> 00:01:15.160]  一個陌生人很大聲說出來制止他們
[00:01:15.160 --> 00:01:22.600]  「大家停手,這些都是弟兄來的」
[00:01:22.600 --> 00:01:26.040]  一時之間大家都靜下來了
[00:01:26.040 --> 00:01:29.680]  因為這一句「我們都是弟兄來的」
[00:01:29.680 --> 00:01:38.520]  這句說話就平復了剛才那種緊張的氣氛
[00:01:38.520 --> 00:01:47.880]  後來意大利人連忙將奧地利傷兵抬回教堂
[00:01:47.880 --> 00:01:50.200]  繼續為他們醫治
[00:01:50.200 --> 00:01:55.440]  當日有一個德國醫生帶著三個意大利學生
[00:01:55.440 --> 00:01:57.840]  有法國新聞採訪員
[00:01:57.840 --> 00:02:00.320]  有兩個英國青年人
[00:02:00.320 --> 00:02:11.600]  由早到晚都在幫助白衣人齊心協力救傷兵
[00:02:11.600 --> 00:02:15.920]  再沒有人問究竟這些人來自哪個國家
[00:02:15.920 --> 00:02:18.280]  究竟哪些是朋友哪些是敵人
[00:02:18.280 --> 00:02:20.920]  因為我們都是弟兄
[00:02:20.920 --> 00:02:24.680]  於是就這樣拯救了他們
[00:02:24.680 --> 00:02:26.440]  這個陌生人是誰呢?
[00:02:26.440 --> 00:02:28.200]  這個白袍的人是誰呢?
[00:02:28.200 --> 00:02:32.520]  這個叫做亨利敦人
[00:02:32.520 --> 00:02:37.640]  這個人後來建立了很偉大的紅十字會
[00:02:37.640 --> 00:02:42.000]  是一個創辦人
[00:02:42.000 --> 00:02:47.240]  剛才這個故事讓我想起我們是弟兄
[00:02:47.240 --> 00:02:53.280]  就令我想起剛才我們讀的詩篇133篇
[00:02:53.280 --> 00:02:59.800]  好嗎?我們再讀一次,一個我們很美麗的詩篇
[00:02:59.800 --> 00:03:03.800]  裏面只有三節經文,請我們同讀
[00:03:03.800 --> 00:03:09.400]  看那弟兄和睦同住時何等的善,何等的美
[00:03:09.400 --> 00:03:13.400]  且好比那貴重的油,曉在阿倫的頭上
[00:03:13.400 --> 00:03:16.720]  留到胡蘇,又留在他的衣襟
[00:03:16.720 --> 00:03:21.000]  又好比黑門的山中路,在石安山
[00:03:21.000 --> 00:03:24.520]  因為在那裏有耶和華所命的福
[00:03:24.520 --> 00:03:27.640]  就是永遠的生命
[00:03:27.640 --> 00:03:31.640]  這個詩篇相信大家都很熟悉,很美麗
[00:03:31.640 --> 00:03:35.200]  《和學本》修訂版只改了一個字
[00:03:35.200 --> 00:03:44.640]  看那弟兄和睦同住時何等的善,何等的美
[00:03:44.640 --> 00:03:49.680]  這篇是一篇上行之詩
[00:03:49.680 --> 00:03:55.080]  我記得在今年上半年都講了好幾篇上行之詩
[00:03:55.080 --> 00:03:56.760]  上行之詩大家都記得
[00:03:56.760 --> 00:04:05.680]  就是一班以色列人一到節慶,一到愉節的時候
[00:04:05.680 --> 00:04:08.800]  他們預先安排一段路程
[00:04:08.800 --> 00:04:14.960]  從四方八面聚集不同的人一起上路
[00:04:14.960 --> 00:04:21.080]  在愉悅節前到耶路撒冷這個地方過節
[00:04:21.080 --> 00:04:25.800]  一同到聖殿裡敬拜
[00:04:25.800 --> 00:04:32.040]  是他們一生人中很重要的旅程
[00:04:32.040 --> 00:04:38.960]  這個旅程來自不同的地方,要有不同的日子
[00:04:38.960 --> 00:04:45.320]  有些要很多個月,超過半年的時間,甚至更長的時間
[00:04:45.320 --> 00:04:53.080]  去準備慢慢由北面到南面,來到耶路撒冷的地方
[00:04:53.080 --> 00:04:58.240]  但你想想,如果一個人走這條路就會很孤單
[00:04:58.240 --> 00:05:01.640]  一個人孤單地長途跋涉
[00:05:01.640 --> 00:05:09.320]  攀山越嶺來到耶路撒冷,實在是一個很艱難的時候
[00:05:09.320 --> 00:05:11.960]  一個旅途很孤獨
[00:05:11.960 --> 00:05:16.800]  所以通常是連群結隊
[00:05:16.800 --> 00:05:24.240]  一班以色列人或同鄉聚集一起走這段路
[00:05:24.240 --> 00:05:26.040]  雖然可能會走得慢一點
[00:05:26.040 --> 00:05:32.000]  但因為大家彼此的照應,彼此的生活
[00:05:32.000 --> 00:05:37.640]  卻很有支持,有力量在裡面
[00:05:37.640 --> 00:05:40.800]  所以當他們走這條路的時候
[00:05:40.800 --> 00:05:43.720]  他們會唱一些常行之詩
[00:05:43.720 --> 00:05:48.000]  其中133篇,剛才我們讀的詩篇
[00:05:48.000 --> 00:05:50.440]  就是他們會唱的詩篇
[00:05:50.440 --> 00:05:57.520]  其實他們唱的時候是很應景的,在路上很應景
[00:05:57.520 --> 00:06:02.520]  因為在耶路撒冷的聖經,翻譯大概是這樣說
[00:06:02.520 --> 00:06:08.120]  大家住在一起,好像弟兄一樣,是何等的善,何等的美
[00:06:08.120 --> 00:06:14.360]  因為他們在路途裡,經過日間和夜晚
[00:06:14.360 --> 00:06:18.600]  他們真的要住在一起,或者在攀山越嶺的地方紮營
[00:06:18.600 --> 00:06:20.120]  他們會住在一起
[00:06:20.120 --> 00:06:22.240]  所以耶路撒冷的聖經說
[00:06:22.240 --> 00:06:28.360]  大家住在一起,好像弟兄一樣,是何等的善,何等的美
[00:06:28.360 --> 00:06:31.080]  所以我們一起看這段經文的時候
[00:06:31.080 --> 00:06:34.120]  我們發覺這是很美麗的經文
[00:06:34.120 --> 00:06:36.520]  是我們應該嚮往的經文
[00:06:36.520 --> 00:06:40.960]  首先,第一方面我想跟大家分享的是
[00:06:40.960 --> 00:06:46.160]  弟兄同住的必須性
[00:06:46.160 --> 00:06:49.000]  弟兄姐妹同住的必須性
[00:06:49.000 --> 00:06:50.360]  第一節說
[00:06:50.360 --> 00:06:54.480]  弟兄和睦同住,是何等的善,何等的美
[00:06:54.480 --> 00:06:59.440]  開始就要說明,我們要去一同
[00:06:59.440 --> 00:07:02.040]  弟兄要和睦同住
[00:07:02.040 --> 00:07:05.160]  和不和睦,一會兒再說
[00:07:05.160 --> 00:07:08.080]  但是一起的時候,是必定的
[00:07:08.080 --> 00:07:13.400]  因為在以色列的眼光,或者在神的角度裡說
[00:07:13.400 --> 00:07:15.320]  什麼叫弟兄呢?
[00:07:15.320 --> 00:07:18.720]  弟兄不單單是家裡的兄弟姐妹
[00:07:18.720 --> 00:07:23.920]  或者不單單是我們附近的隔離鄰舍,叫弟兄
[00:07:23.920 --> 00:07:27.080]  整個的以色列民族都叫弟兄
[00:07:27.080 --> 00:07:33.480]  甚至他們覺得裡面的人會包括了一些欠債的人
[00:07:33.480 --> 00:07:38.080]  一些是奴隸,一些甚至是罪人等等
[00:07:38.080 --> 00:07:42.400]  但是他們是以色列人,他們都稱為弟兄
[00:07:42.400 --> 00:07:47.480]  所以這個弟兄是必須走在一起
[00:07:47.480 --> 00:07:51.240]  這個弟兄是
[00:07:51.240 --> 00:07:54.880]  弟兄同住,所謂的必須性在裡面
[00:07:54.880 --> 00:07:58.560]  因為這個是神的定義
[00:07:58.560 --> 00:08:03.040]  裡面就說,其實有個意思
[00:08:03.040 --> 00:08:06.360]  和睦同住,是在一起的意思
[00:08:06.360 --> 00:08:10.720]  因為你說同在一起,同住一定是在一起
[00:08:10.720 --> 00:08:12.640]  不過今天可能有些家裡都會這樣
[00:08:12.640 --> 00:08:16.040]  雖然同在一起住,但是可能幾天都見不到面
[00:08:16.040 --> 00:08:18.040]  大家上下班的時間不一樣
[00:08:18.040 --> 00:08:21.160]  可能你出廳,我入房等等
[00:08:21.160 --> 00:08:23.640]  沒有什麼可以在一起的時間
[00:08:23.640 --> 00:08:28.240]  但是同住,必定是在一起
[00:08:28.240 --> 00:08:32.680]  所以在一起的時候,是一個必然的事情
[00:08:32.680 --> 00:08:36.920]  就是說,我們好像每個人生出來
[00:08:36.920 --> 00:08:39.440]  必定是屬於一個家庭的裡面
[00:08:39.440 --> 00:08:42.120]  你不會孤單一個
[00:08:42.120 --> 00:08:48.680]  同樣的,一個基督徒成為主的門徒
[00:08:48.680 --> 00:08:53.000]  成為主的兒女,一定有弟兄姊妹
[00:08:53.000 --> 00:08:54.720]  你不會只有一個
[00:08:54.720 --> 00:08:58.720]  因為你會在一個教會的群體裡面
[00:08:58.720 --> 00:09:01.440]  在一個信仰的群體裡面
[00:09:01.440 --> 00:09:03.400]  當然的確有些基督徒
[00:09:03.400 --> 00:09:04.920]  可能上了耶穌
[00:09:04.920 --> 00:09:10.440]  他從來沒有將自己的名字放入教會的會籍冊裡面
[00:09:10.440 --> 00:09:13.680]  他沒有打算加入一間地方的教會
