
[00:00:00.000 --> 00:00:03.320]  今晚我們還有幾天是聖誕節
[00:00:03.320 --> 00:00:07.680]  所以有一個很好的機會大家聚在一起
[00:00:07.680 --> 00:00:10.680]  無論你是信徒或不是信教的都不要緊
[00:00:10.680 --> 00:00:14.440]  我們聖誕節總是一個很快樂很歡樂的時間
[00:00:14.440 --> 00:00:20.840]  有時間和大家講一下人生和信仰
[00:00:20.840 --> 00:00:23.360]  我覺得都是我自己很期待的
[00:00:23.360 --> 00:00:30.120]  我定了一個題目就是剛才陳牧師所講的題目
[00:00:30.120 --> 00:00:35.280]  在愛裡就沒有懼怕
[00:00:35.280 --> 00:00:42.920]  如果是基督徒你其實知道這句說話是來自聖經的
[00:00:42.920 --> 00:00:45.720]  有沒有人知道是來自哪一代
[00:00:45.720 --> 00:00:47.200]  記得嗎
[00:00:47.200 --> 00:00:56.480]  因為一書第四章十八節那裡說愛裡沒有懼怕
[00:00:56.480 --> 00:01:02.120]  愛機完全就把懼怕除去
[00:01:02.120 --> 00:01:08.440]  懼怕的人在愛裡面未得完全
[00:01:08.440 --> 00:01:13.160]  愛裡沒有懼怕中文很難譯到
[00:01:13.160 --> 00:01:14.160]  好像很大回音
[00:01:14.160 --> 00:01:16.360]  不要緊我會越講越大聲
[00:01:16.360 --> 00:01:17.880]  小聲一點就可以了
[00:01:17.880 --> 00:01:25.600]  愛裡沒有懼怕這個中文很難翻到原來希臘文的力量
[00:01:25.600 --> 00:01:31.040]  其實希臘文第一它把懼怕放在第一個字
[00:01:31.040 --> 00:01:35.080]  直譯的時候就說不用怕
[00:01:35.080 --> 00:01:39.240]  fear not
[00:01:39.240 --> 00:01:43.600]  所以接著就是in love
[00:01:43.600 --> 00:01:45.240]  就是這麼簡單
[00:01:45.240 --> 00:01:46.920]  就是說不用怕
[00:01:46.920 --> 00:01:48.160]  不需要懼怕
[00:01:48.160 --> 00:01:52.240]  懼怕這個字你知道在希臘文就是phobos
[00:01:52.240 --> 00:01:54.040]  就是英文那個字的來源
[00:01:54.040 --> 00:01:56.560]  就是phobia
[00:01:56.560 --> 00:01:59.040]  怕很怕
[00:01:59.040 --> 00:02:03.200]  為什麼我在聖誕節會從這個字開始講呢
[00:02:03.200 --> 00:02:05.440]  今天我想跟大家看一下
[00:02:05.440 --> 00:02:08.040]  這一方面我自己人生的體會
[00:02:08.040 --> 00:02:10.800]  我相信你也會有共鳴的
[00:02:10.800 --> 00:02:13.240]  為什麼愛裡沒有懼怕
[00:02:13.240 --> 00:02:16.120]  我們首先講我們為什麼會懼怕
[00:02:16.120 --> 00:02:19.440]  懼怕其實真是在我們現在人生裡面
[00:02:19.440 --> 00:02:21.680]  事實上都會碰見的
[00:02:21.680 --> 00:02:25.040]  我們不想承認
[00:02:25.040 --> 00:02:29.320]  但是我們不可以逃避
[00:02:29.320 --> 00:02:35.720]  我相信經過了20年以上的
[00:02:35.720 --> 00:02:40.480]  全球化globalization的夢想
[00:02:40.480 --> 00:02:44.440]  我們希望第一你知道90年代上一個世紀
[00:02:44.440 --> 00:02:47.640]  電腦把全世界的資訊
[00:02:47.640 --> 00:02:51.520]  經濟文化連在一起
[00:02:51.520 --> 00:02:53.600]  到今天這麼大的發展
[00:02:53.600 --> 00:02:56.960]  人類一直嚮往就是當這個與整個地球
[00:02:56.960 --> 00:02:59.600]  大家互相能夠不斷的溝通
[00:02:59.600 --> 00:03:01.560]  即時的溝通的時候
[00:03:01.560 --> 00:03:03.280]  可不可以再細心一點
[00:03:03.280 --> 00:03:04.760]  這樣很難講的
[00:03:04.760 --> 00:03:06.040]  謝謝你
[00:03:06.040 --> 00:03:07.920]  即時的溝通的時候
[00:03:07.920 --> 00:03:12.920]  我們可以到一個更加美麗的世界
[00:03:12.920 --> 00:03:15.000]  大家更加和合的世界
[00:03:15.000 --> 00:03:16.880]  但是經過了20多年的實驗
[00:03:16.880 --> 00:03:22.160]  我相信大家是夢幻有些的破滅
[00:03:22.160 --> 00:03:25.240]  特朗普做美國總統
[00:03:25.240 --> 00:03:27.440]  很多人跌眼鏡
[00:03:27.440 --> 00:03:29.920]  整地眼鏡掃都掃不完
[00:03:29.920 --> 00:03:32.400]  很多人出來解釋
[00:03:32.400 --> 00:03:33.960]  我相信現在大家都知道
[00:03:33.960 --> 00:03:37.200]  可能最明顯的解釋
[00:03:37.200 --> 00:03:40.520]  就是其實他的統計為什麼錯了
[00:03:40.520 --> 00:03:43.880]  是因為很多人的心裏面其實很喜歡特朗普
[00:03:43.880 --> 00:03:46.800]  因為他講的那些東西
[00:03:46.800 --> 00:03:50.720]  即是那些人自己不敢講
[00:03:50.720 --> 00:03:53.000]  不過特朗普就講了出來
[00:03:53.000 --> 00:03:55.800]  所以他就求他一票
[00:03:55.800 --> 00:03:59.040]  我記得中大同學問我怎樣反應的時候
[00:03:59.040 --> 00:04:01.240]  我就說我又不是時事評論
[00:04:01.240 --> 00:04:02.120]  我不想講那麼多
