
[00:00:00.000 --> 00:00:03.400]  5月第二個星期
[00:00:03.400 --> 00:00:05.760]  在香港來說是母親節
[00:00:05.760 --> 00:00:08.500]  雖然英國是在3月第二個星期
[00:00:08.500 --> 00:00:11.640]  但是我們很多是香港的弟兄姊妹
[00:00:11.640 --> 00:00:13.640]  來到英國的時候
[00:00:13.640 --> 00:00:15.640]  他們會入鄉隨俗
[00:00:15.640 --> 00:00:19.740]  要求子女或者丈夫跟他慶祝3月的母親節
[00:00:19.740 --> 00:00:21.260]  但是5月的時候
[00:00:21.260 --> 00:00:24.940]  又說不可以忽略了香港的傳統
[00:00:24.940 --> 00:00:27.980]  一樣有兩次母親節的慶祝
[00:00:27.980 --> 00:00:29.500]  這是一個祝福
[00:00:29.500 --> 00:00:31.620]  但是有些可悲的就是
[00:00:31.620 --> 00:00:35.300]  父親節往往只有一次
[00:00:35.300 --> 00:00:36.360]  無論如何
[00:00:36.360 --> 00:00:39.300]  事實上母親對兒女的影響
[00:00:39.300 --> 00:00:41.800]  普遍來說是大過父親的
[00:00:41.800 --> 00:00:45.080]  所以母親節更加被重視
[00:00:45.080 --> 00:00:47.080]  為什麼呢?
[00:00:47.080 --> 00:00:49.380]  我想有幾個原因
[00:00:49.380 --> 00:00:51.380]  在20-30年前
[00:00:51.380 --> 00:00:53.380]  那些父母
[00:00:53.380 --> 00:00:55.380]  母親多數是怎樣呢?
[00:00:55.380 --> 00:00:57.800]  在家裡照顧孩子
[00:00:57.800 --> 00:00:59.800]  父親就要出去工作
[00:00:59.800 --> 00:01:02.660]  所謂男主愛女主內
[00:01:02.660 --> 00:01:07.700]  所以父母往往特別比兒女
[00:01:07.700 --> 00:01:09.240]  誰重視得多一些?
[00:01:09.240 --> 00:01:10.740]  是母親
[00:01:10.740 --> 00:01:12.740]  特別是父親
[00:01:12.740 --> 00:01:15.740]  往往有時候是較為內斂
[00:01:15.740 --> 00:01:19.500]  男性很少去表達那份愛
[00:01:19.500 --> 00:01:24.540]  所以有時候兒女感受不到父親那份愛
[00:01:24.540 --> 00:01:26.540]  我想問大家
[00:01:26.540 --> 00:01:29.620]  想想你爸爸有沒有經常跟你說
[00:01:29.620 --> 00:01:30.860]  我很疼你
[00:01:30.860 --> 00:01:32.140]  我很想念你
[00:01:32.140 --> 00:01:33.660]  很愛你
[00:01:33.660 --> 00:01:34.660]  沒有的
[00:01:34.660 --> 00:01:37.140]  雖然媽媽也不是經常說這些話
[00:01:37.140 --> 00:01:39.140]  但是你會感受得多
[00:01:39.140 --> 00:01:43.800]  所以母親給兒女的影響是較為大一些
[00:01:43.800 --> 00:01:47.020]  但是有一種情況是怎樣呢?
[00:01:47.020 --> 00:01:49.020]  有時候小朋友
[00:01:49.020 --> 00:01:51.020]  小時候很喜歡父親
[00:01:51.020 --> 00:01:53.020]  如果父親不是很兇的話
[00:01:53.020 --> 00:01:56.620]  父親就會說你很聰明、很高大威猛
[00:01:56.620 --> 00:01:58.620]  什麼都懂的
[00:01:58.620 --> 00:02:00.620]  特別以寒為貴
[00:02:00.620 --> 00:02:01.820]  因為少見爸爸
[00:02:01.820 --> 00:02:03.820]  如果爸爸又肯疼愛他、擁抱他
[00:02:03.820 --> 00:02:05.820]  就會更加疼愛爸爸
[00:02:05.820 --> 00:02:07.820]  因為媽媽經常對著兒女
[00:02:07.820 --> 00:02:09.820]  有時候要讀他做功課
[00:02:09.820 --> 00:02:13.020]  於是就會去罵他、罵他
[00:02:13.020 --> 00:02:15.020]  那個做孩子的
[00:02:15.020 --> 00:02:17.020]  就未必這麼喜歡
[00:02:17.020 --> 00:02:19.020]  我小時候母親媽媽
[00:02:19.020 --> 00:02:21.020]  是很疼愛我
[00:02:21.020 --> 00:02:23.020]  但是媽媽打我最多
[00:02:23.020 --> 00:02:25.020]  是我氣得媽媽很緊要
[00:02:25.020 --> 00:02:27.020]  爸爸反而少理這些
[00:02:27.020 --> 00:02:29.020]  所以覺得爸爸好一點
[00:02:29.020 --> 00:02:31.020]  但是當長大成長的時候
[00:02:31.020 --> 00:02:33.020]  記住
[00:02:33.020 --> 00:02:35.020]  這種情況往往又會逆轉
