
[00:00:00.000 --> 00:00:03.040]  「竭力追求」
[00:00:03.040 --> 00:00:05.920]  今天你們「竭力追求」甚麼呢?
[00:00:05.920 --> 00:00:13.520]  你的「竭力」願意付出多大的力度和代價呢?
[00:00:13.520 --> 00:00:18.480]  最近伊斯蘭國恐怖組織
[00:00:18.480 --> 00:00:24.000]  剛剛處決了一位日本的記者
[00:00:24.000 --> 00:00:26.600]  後藤健二
[00:00:26.600 --> 00:00:33.400]  不知道大家認不認識這位日本記者
[00:00:33.400 --> 00:00:35.360]  他是一位基督徒
[00:00:35.360 --> 00:00:36.400]  如果我沒有記錯的話
[00:00:36.400 --> 00:00:41.400]  他大概在1977或1979年受診
[00:00:41.400 --> 00:00:43.120]  加入教會
[00:00:43.120 --> 00:00:46.080]  他經常到戰亂地區報道新聞
[00:00:46.080 --> 00:00:49.200]  但他不是一個普通的戰地記者
[00:00:49.200 --> 00:00:50.680]  他的重點是
[00:00:50.680 --> 00:00:54.120]  將這些在戰亂裏面弱勢的
[00:00:54.120 --> 00:00:57.880]  受苦的民眾的生活和渴求
[00:00:57.880 --> 00:01:01.440]  傳遞出來
[00:01:01.440 --> 00:01:05.520]  他帶著牧師送給他的十多年的聖經
[00:01:05.520 --> 00:01:07.480]  經常放在身上
[00:01:07.480 --> 00:01:09.920]  他知道他去這些地方
[00:01:09.920 --> 00:01:12.840]  真是天天無死
[00:01:12.840 --> 00:01:17.640]  他這次喪失他的生命
[00:01:17.640 --> 00:01:21.440]  其實某個程度都算是一種殉道
[00:01:21.440 --> 00:01:25.400]  就是他相信他要將神的愛
[00:01:25.400 --> 00:01:27.040]  用自己的生命
[00:01:27.040 --> 00:01:30.920]  竭力地去表達出來
[00:01:30.920 --> 00:01:33.280]  他為了救他另一位夥伴
[00:01:33.280 --> 00:01:34.680]  即是另一位日本人
[00:01:34.680 --> 00:01:37.280]  早前已經被處決了
[00:01:37.280 --> 00:01:40.720]  他是冒著死亡的可能性
[00:01:40.720 --> 00:01:43.360]  一個很高的可能性
[00:01:43.360 --> 00:01:47.400]  去到伊斯蘭國控制地區裏面
[00:01:47.400 --> 00:01:51.240]  希望可以幫到這個朋友 救到他
[00:01:51.240 --> 00:01:53.880]  所以他曾經這樣說自己的工作
[00:01:53.880 --> 00:01:57.840]  我想擁抱人群
[00:01:57.840 --> 00:02:00.240]  但是我表示親近的最好方式
[00:02:00.240 --> 00:02:01.640]  藉由擁抱
[00:02:01.640 --> 00:02:03.840]  我可以與人們談話
[00:02:03.840 --> 00:02:05.880]  可以傾聽他們的想法
[00:02:05.880 --> 00:02:08.640]  痛苦和希望
[00:02:08.640 --> 00:02:10.760]  不知道大家知不知道
