
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹,早晨,和大家一齊再有分一晨的話語
[00:00:06.000 --> 00:00:09.000]  總結我們今個月的月題是什麼?
[00:00:09.000 --> 00:00:14.000]  愛主,心愛主耶穌
[00:00:14.000 --> 00:00:17.000]  我們都是食住愛主這件事
[00:00:17.000 --> 00:00:20.000]  當我們有一個心愛主耶穌的心的時候
[00:00:20.000 --> 00:00:24.000]  我相信教會都會有一個合一的心在裏面
[00:00:24.000 --> 00:00:26.000]  所以都想透過今天的題目
[00:00:26.000 --> 00:00:29.000]  同舟共濟,愛主合一
[00:00:29.000 --> 00:00:33.000]  給我們思想彼此同心合一的功課
[00:00:33.000 --> 00:00:37.000]  在肥立比書的二章一至五節裏面
[00:00:37.000 --> 00:00:39.000]  本來有這樣的教導
[00:00:39.000 --> 00:00:41.000]  我們一起讀出今天的主題經文
[00:00:41.000 --> 00:00:42.000]  準備,一二三
[00:00:42.000 --> 00:00:46.000]  所以在基督裏若有什麼勸勉
[00:00:46.000 --> 00:00:48.000]  愛心有什麼安慰
[00:00:48.000 --> 00:00:50.000]  聖靈有什麼交通
[00:00:50.000 --> 00:00:53.000]  心中有什麼慈悲憐憫
[00:00:53.000 --> 00:00:57.000]  你們就要意念相同,愛心相同
[00:00:57.000 --> 00:01:00.000]  有一樣的心思,有一樣的意念
[00:01:00.000 --> 00:01:03.000]  使我的喜樂可以滿足
[00:01:03.000 --> 00:01:08.000]  凡事不可結黨,不可貪圖虛浮的榮耀
[00:01:08.000 --> 00:01:13.000]  只要存心謙卑,個人看別人比自己強
[00:01:13.000 --> 00:01:17.000]  個人不要單顧自己的事,也要顧別人的事
[00:01:17.000 --> 00:01:21.000]  你們當以基督耶穌的心為心
[00:01:21.000 --> 00:01:23.000]  這段經文大家都非常熟悉
[00:01:23.000 --> 00:01:25.000]  我會集中講一至四節
[00:01:25.000 --> 00:01:29.000]  第五節應該是接下去第六至十一節
[00:01:29.000 --> 00:01:31.000]  一會兒我們都會有機會去看一看
[00:01:31.000 --> 00:01:36.000]  要認識這段經文,我們都要先去看看上文
[00:01:36.000 --> 00:01:39.000]  上文在一章二十七至三十節
[00:01:39.000 --> 00:01:42.000]  特別我會將字眼粗看
[00:01:42.000 --> 00:01:47.000]  上文提到保羅提醒肥納比教會有同一個心志
[00:01:47.000 --> 00:01:49.000]  為福音齊心努力
[00:01:49.000 --> 00:01:53.000]  凡事不怕敵人的驚嚇和你們的真善
[00:01:53.000 --> 00:01:55.000]  可想而知當時肥納比教會
[00:01:55.000 --> 00:01:59.000]  可能都是外面面對一些真善和敵人
[00:01:59.000 --> 00:02:02.000]  所以保羅提醒他們要齊心
[00:02:02.000 --> 00:02:06.000]  為著福音去努力去真善,抵抗外敵
[00:02:06.000 --> 00:02:09.000]  其實我們都要知道背景
[00:02:09.000 --> 00:02:13.000]  保羅寫肥納比書這卷書信的時候
[00:02:13.000 --> 00:02:15.000]  大家知道保羅是什麼狀態
[00:02:15.000 --> 00:02:20.000]  正在坐牢,所以肥納比書被稱為監獄書信
[00:02:20.000 --> 00:02:24.000]  你坐牢的時候會怎樣?可能都會不開心
[00:02:24.000 --> 00:02:27.000]  在醫院一個月都可能已經愁眉苦臉
[00:02:27.000 --> 00:02:31.000]  還要坐牢,可能會抑鬱,情緒低落
[00:02:31.000 --> 00:02:35.000]  但你會發覺肥納比書是充滿著喜樂的書信
[00:02:35.000 --> 00:02:38.000]  雖然保羅因為科學緣故而坐牢
[00:02:38.000 --> 00:02:42.000]  但他是因為福音的緣故而充滿著喜樂
[00:02:42.000 --> 00:02:43.000]  他更加因為坐牢的緣故
[00:02:43.000 --> 00:02:47.000]  能夠接觸到更多羅馬兵丁,如林軍那樣傳福音
[00:02:47.000 --> 00:02:50.000]  而保羅寫肥納比書信的時候
[00:02:50.000 --> 00:02:54.000]  他的對象是誰?就是肥納比教會
[00:02:54.000 --> 00:03:00.000]  肥納比當時是馬其頓駐防城的軍事重鎮
[00:03:00.000 --> 00:03:06.000]  所以集軍事、政治和羅馬制度於一身的重要城市
[00:03:06.000 --> 00:03:14.000]  所以當地的肥納比人都很重視自己羅馬人的公民意識
[00:03:14.000 --> 00:03:20.000]  而肥納比教會亦是保羅到歐洲第一個建立的基地
[00:03:20.000 --> 00:03:24.000]  所以有人說肥納比就是基督教歐洲的誕生地
[00:03:24.000 --> 00:03:26.000]  是一個福音的戰略要地
[00:03:26.000 --> 00:03:31.000]  在這個背景下,我們見到特別保羅在第二章
[00:03:31.000 --> 00:03:39.000]  所以這裡剛剛將上文和下文做一個連結
[00:03:39.000 --> 00:03:45.000]  上文就是說肥納比教會面對外敵,面對一些問題
[00:03:45.000 --> 00:03:49.000]  而內部可能都會有一些分化或者不合一的表現
[00:03:49.000 --> 00:03:55.000]  所以保羅要透過肥納比書的第二章提醒信徒我們要合一
[00:03:55.000 --> 00:03:58.000]  我們要追求合一,不要被外敵影響
[00:03:58.000 --> 00:04:03.000]  相反我們要一起同心,同舟共濟去面對外敵
[00:04:03.000 --> 00:04:06.000]  這也是今天我想表達的主題
[00:04:06.000 --> 00:04:12.000]  特別在肥納比書一章五節,保羅提醒肥納比教會有一個使命
[00:04:12.000 --> 00:04:18.000]  就是因為從頭一天直到如今,你們是同心合二的興旺福音
[00:04:18.000 --> 00:04:20.000]  同心合二的興旺福音
[00:04:20.000 --> 00:04:24.000]  原來同心合二的興旺福音就是肥納比教會的共同使命
[00:04:24.000 --> 00:04:27.000]  亦都是我們浸信會聯會的共同使命
[00:04:27.000 --> 00:04:29.000]  如果有人知道我們浸信會聯會
[00:04:29.000 --> 00:04:31.000]  即是我們土國人浸信會,九龍城浸信會
[00:04:31.000 --> 00:04:33.000]  我們有百多間浸信會
[00:04:33.000 --> 00:04:37.000]  我們有一個同一的使命就是要同心合二,興旺福音
[00:04:37.000 --> 00:04:39.000]  就是我們浸信會聯會
[00:04:39.000 --> 00:04:42.000]  當我研究肥納比書的背景的時候
[00:04:42.000 --> 00:04:46.000]  我發覺和我們今天的香港社會有一些相似
[00:04:46.000 --> 00:04:48.000]  特別我們今天的香港社會
[00:04:48.000 --> 00:04:51.000]  有些人就說要佔中,有些人就說要反佔中
[00:04:51.000 --> 00:04:55.000]  有些人就說我要贊成新界東北撥款
[00:04:55.000 --> 00:04:58.000]  要開發多一些地,我們不夠樓主
[00:04:58.000 --> 00:05:02.000]  有些人就說不是,新界東北我們要保留原居民
[00:05:02.000 --> 00:05:06.000]  他們有他們的利益,他們有他們的村要住
[00:05:06.000 --> 00:05:08.000]  有些人就說我們要開放自由行
[00:05:08.000 --> 00:05:11.000]  多一些內地人來香港,香港經濟繁榮
[00:05:11.000 --> 00:05:13.000]  有些人就說不是,越來越多自由行下來
[00:05:13.000 --> 00:05:15.000]  搞到我們香港人沒有地方站了
[00:05:15.000 --> 00:05:17.000]  我們的資源被他們拿走了
[00:05:17.000 --> 00:05:19.000]  有些人就說不是,我們要三堆一奴
[00:05:19.000 --> 00:05:21.000]  香港的廢物怎樣處理
[00:05:21.000 --> 00:05:26.000]  不是,我說我住新界,我住屯門,將軍澳
[00:05:26.000 --> 00:05:29.000]  經常都很臭,你住那一份
[00:05:29.000 --> 00:05:34.000]  香港正在一個撕裂,一個兩端極端的聲音裏面
[00:05:34.000 --> 00:05:36.000]  有些人就贊成這邊,有些人就反對這邊
[00:05:36.000 --> 00:05:42.000]  兩邊都好像水火不容,互相指罵,毫不留情,南轅北轍
[00:05:42.000 --> 00:05:46.000]  這個就是我們香港可能面對的環境
[00:05:46.000 --> 00:05:49.000]  我看到一本書叫佔領中環與教會政治
[00:05:49.000 --> 00:05:52.000]  趙淑媛博士在這本書裏面這樣描述
[00:05:52.000 --> 00:05:54.000]  今日香港的環境,她說
[00:05:54.000 --> 00:05:58.000]  近年香港社會內部深層次的矛盾越演越烈
[00:05:58.000 --> 00:06:01.000]  互不信任的氣氛越來越嚴重
[00:06:01.000 --> 00:06:03.000]  遇到不滿的情緒事情
[00:06:03.000 --> 00:06:08.000]  動輒就會互相的揶揄對方,攻擊對方,謾罵對方
[00:06:08.000 --> 00:06:12.000]  盡情地去發洩情緒,甚至乎人身攻擊
[00:06:12.000 --> 00:06:14.000]  無論是建制派或者民主派
[00:06:14.000 --> 00:06:16.000]  無論是成年人或者年青人
[00:06:16.000 --> 00:06:19.000]  都陸續走上了一條激進的路線
[00:06:19.000 --> 00:06:25.000]  越來越多非理性,民粹式的鬧爆文化在香港出現
[00:06:25.000 --> 00:06:30.000]  但是趙淑媛博士不希望這些事情會在香港生根
[00:06:30.000 --> 00:06:35.000]  其實香港社會有不同的政見,有不同的立場
[00:06:35.000 --> 00:06:37.000]  是很正常的現象
[00:06:37.000 --> 00:06:41.000]  但是彼此之間在當中應該有討論
[00:06:41.000 --> 00:06:44.000]  不是在當中互相的謾罵
[00:06:44.000 --> 00:06:47.000]  但願香港人在這個公共空間裏面
[00:06:47.000 --> 00:06:52.000]  能夠學習到真正的虛心聆聽,理性溝通,包容意見
[00:06:52.000 --> 00:06:58.000]  最後趙博士說,虛心聆聽,理性溝通,包容意見
[00:06:58.000 --> 00:07:00.000]  都是可能我們每一個香港市民
[00:07:00.000 --> 00:07:03.000]  要去思想,要去學習,要去想的一個地步
