
[00:00:00.000 --> 00:00:05.000]  (主持人:大英節目早安,今次我們繼續這個敬拜的系列)
[00:00:05.000 --> 00:00:10.000]  (我們繼續思想到聖經裡面怎樣去教導我們做一個敬拜的社群)
[00:00:10.000 --> 00:00:17.000]  (上一次我們提過有詩篇第八篇和創世的第二章)
[00:00:17.000 --> 00:00:21.000]  (我們說創世的第二章裡面所描述的Garden of Eden)
[00:00:21.000 --> 00:00:28.000]  (伊甸園,伊甸園是向東的)
[00:00:28.000 --> 00:00:34.000]  (還有基路柏到守衛等等不同的術語等等)
[00:00:34.000 --> 00:00:37.000]  (告訴我們伊甸園不是一個花園)
[00:00:37.000 --> 00:00:40.000]  (而是一個聖所,是一個敬拜的聖所)
[00:00:40.000 --> 00:00:43.000]  (所以所有的人被創造的時候)
[00:00:43.000 --> 00:00:46.000]  (其實他們有一個天職,一個身份,一個identity)
[00:00:46.000 --> 00:00:50.000]  (我們就是worshipper,就是去敬拜上帝的)
[00:00:50.000 --> 00:00:54.000]  (如果你想留意一下,我記得上次說過好像看地圖一樣)
[00:00:54.000 --> 00:00:57.000]  (裡面有一些symbols,這個創世的第二章)
[00:00:57.000 --> 00:01:00.000]  (說到向東有基路柏,然後有生命樹)
[00:01:00.000 --> 00:01:04.000]  (河水從伊甸流出來)
[00:01:04.000 --> 00:01:07.000]  (意思就是說這個伊甸園是在哪裡?)
[00:01:07.000 --> 00:01:10.000]  (不會反地心俱來吧?)
[00:01:10.000 --> 00:01:13.000]  (正常應該是山頂,在聖山之上)
[00:01:13.000 --> 00:01:19.000]  (或者有一些術語說到行走,神行走在當中)
[00:01:19.000 --> 00:01:23.000]  (譬如世紀第三章在這裡印叛逆犯罪之後)
[00:01:23.000 --> 00:01:26.000]  (天起了涼風,那人和他的妻子聽見耀華)
[00:01:26.000 --> 00:01:31.000]  (在園中行走的聲音,walking,行走)
[00:01:31.000 --> 00:01:35.000]  (其實是和上帝的關係,和上帝一起同行的意思)
[00:01:35.000 --> 00:01:39.000]  (但是因為他們是犯罪,所以他們就躲起來了)
[00:01:39.000 --> 00:01:41.000]  (然後他們被趕出伊甸園)
[00:01:41.000 --> 00:01:45.000]  (第四章十六節,你也看到該人又離開了)
[00:01:45.000 --> 00:01:51.000]  (耀華的面,the presence,或者the face)
[00:01:51.000 --> 00:01:55.000]  (所以伊甸園本身是一個敬拜和上帝建立關係的地方)
[00:01:55.000 --> 00:02:01.000]  (如果這樣看的話,聖經從頭到尾都是講敬拜的)
[00:02:01.000 --> 00:02:04.000]  (開頭講敬拜當然,第一章第二章)
[00:02:04.000 --> 00:02:11.000]  (到最後啟示錄,啟示錄說看見新天新地)
[00:02:11.000 --> 00:02:15.000]  (先前的天,先前的地已經過去了)
[00:02:15.000 --> 00:02:19.000]  (海也沒有了,海因為邪惡,代表邪惡)
[00:02:19.000 --> 00:02:24.000]  (看見聖城新耶路撒冷,從上帝那裡從天降臨)
[00:02:24.000 --> 00:02:29.000]  (預備好了,好像新娘打扮整齊等候丈夫一樣)
[00:02:29.000 --> 00:02:31.000]  (聽見大聲音在寶座出來)
[00:02:31.000 --> 00:02:34.000]  (他說看上帝的帳幕在人間)
[00:02:34.000 --> 00:02:40.000]  (他要和人同住,walking together,living together)
[00:02:40.000 --> 00:02:45.000]  (要作他的子民,上帝要親自與他們同在the presence)
[00:02:45.000 --> 00:02:48.000]  (上帝要察覺他們眼淚不再有死亡不再有痛苦)
[00:02:48.000 --> 00:02:50.000]  (先前的事已經過去了)
[00:02:50.000 --> 00:02:55.000]  所以你想想聖經從頭到尾其實就好像書架
[00:02:55.000 --> 00:02:58.000]  書架的書是不是有bookend?
[00:02:58.000 --> 00:03:02.000]  我知道你不明白了,因為你家裡沒有書
[00:03:02.000 --> 00:03:04.000]  就是很少人有書在家裡
[00:03:04.000 --> 00:03:09.000]  但是有那些bookend的書架裡面的腳
[00:03:09.000 --> 00:03:13.000]  頂住,從頭到尾都是在說敬拜的,由敬拜至敬拜
[00:03:13.000 --> 00:03:15.000]  或者是聽聽一些偉大的樂章
[00:03:15.000 --> 00:03:20.000]  從開始的聚曲到最後的Coda
[00:03:20.000 --> 00:03:25.000]  都是差不多這樣的聲音,差不多這樣的旋律
[00:03:25.000 --> 00:03:27.000]  由敬拜至敬拜
[00:03:27.000 --> 00:03:32.000]  整本聖經都是在說敬拜,上帝值得我們去敬拜
[00:03:32.000 --> 00:03:39.000]  雖然我們人犯罪,我們是流亡於伊甸園之外
[00:03:39.000 --> 00:03:42.000]  我們沒有了上帝的同在
[00:03:42.000 --> 00:03:48.000]  但是仍然是藉著上帝的恩典,可以跟上帝同行
[00:03:48.000 --> 00:03:52.000]  所以所有敬拜的人,從創世的第三章《人薄》之後
[00:03:52.000 --> 00:03:54.000]  怎樣形容他們呢?
[00:03:54.000 --> 00:03:57.000]  敬拜主的人,跟上帝仍然有關係的人
[00:03:57.000 --> 00:04:00.000]  就是那些與上帝同行的人
[00:04:00.000 --> 00:04:06.000]  譬如第五章二十三節,以諾共活了三百六十五年
