
[00:00:00.000 --> 00:00:02.640]  各位弟兄姊妹,我們今天歡喜快樂
[00:00:02.640 --> 00:00:06.600]  因為我們今天原本在青年廣場
[00:00:06.600 --> 00:00:08.600]  我們在幻想,在青年廣場
[00:00:08.600 --> 00:00:11.240]  不過沒得幻想,我們現在在家裏
[00:00:11.240 --> 00:00:16.520]  但是無論如何,我們都是今天慶祝我們教會成立32週年
[00:00:16.520 --> 00:00:21.680]  我們的心智仍然沒有改變,我們仍然是感恩的
[00:00:21.680 --> 00:00:27.120]  因為神擺我們在這個地方,此時此刻在這裏
[00:00:27.120 --> 00:00:31.920]  特別這一年裏,我們一直在思考教會的意象使命
[00:00:31.920 --> 00:00:35.200]  我們的意象是要建立一間生生不息的教會
[00:00:35.200 --> 00:00:37.760]  所以我今天要選這段經文
[00:00:37.760 --> 00:00:40.120]  在詩篇的第一篇裏面
[00:00:40.120 --> 00:00:44.200]  亦都是我們一班執事同工一起思考的時候
[00:00:44.200 --> 00:00:46.600]  去想起這一幅圖畫
[00:00:46.600 --> 00:00:50.120]  所以今天就和弟兄姊妹一起呈現在你面前
[00:00:50.120 --> 00:00:51.760]  我們一起去思考
[00:00:51.760 --> 00:00:54.520]  如何建立一間生生不息的教會
[00:00:54.520 --> 00:00:58.960]  我們看這段經文,先在看之前要講解一下
[00:00:58.960 --> 00:01:02.160]  詩篇第一篇是一個很獨特的詩篇
[00:01:02.160 --> 00:01:03.000]  為甚麼呢?
[00:01:03.000 --> 00:01:05.480]  詩篇很明顯是有編輯的過程
[00:01:05.480 --> 00:01:10.720]  因為分開做五卷,或者五個collection
[00:01:10.720 --> 00:01:11.680]  我們可以這樣想
[00:01:11.680 --> 00:01:16.720]  《青年聖歌》有三大本,紅青藍青綠青
[00:01:16.720 --> 00:01:22.520]  詩篇都有五個選輯,有五集
[00:01:22.520 --> 00:01:26.200]  第一集的第一輯,所以很多聖經學者估計
[00:01:26.200 --> 00:01:32.720]  第一篇是編輯特意要選來成為詩篇的第一篇
[00:01:32.720 --> 00:01:37.600]  好像總括著詩篇的神學,要帶給我們的信念
[00:01:37.600 --> 00:01:39.120]  這篇詩篇講到甚麼呢?
[00:01:39.120 --> 00:01:44.320]  講到「不從惡人的計謀,不站罪人的道路,不助褻瀣萬人的作為」
[00:01:44.320 --> 00:01:45.880]  有三種人
[00:01:45.880 --> 00:01:49.800]  惡人、罪人、褻瀣萬人,我們都不會做的,是嗎?
[00:01:49.800 --> 00:01:51.800]  那些究竟是甚麼人呢?
