
[00:00:00.000 --> 00:00:03.780]  帖木伯伯您引導我們的心靈
[00:00:03.780 --> 00:00:07.300]  進到主祢的屬靈的至聖所裏面
[00:00:07.300 --> 00:00:10.880]  就是來到主祢的聖殿的當中
[00:00:10.880 --> 00:00:12.480]  主祢的殿的當中
[00:00:12.480 --> 00:00:14.020]  主祢的聖所裏面
[00:00:14.020 --> 00:00:16.320]  好像活水的光海一樣
[00:00:16.320 --> 00:00:17.680]  讓我們在祢的面前
[00:00:17.680 --> 00:00:19.220]  單單做一樣東西
[00:00:19.220 --> 00:00:21.380]  將我們全心的奉獻給祢
[00:00:21.380 --> 00:00:23.380]  將我們心裏面一切的
[00:00:23.380 --> 00:00:25.160]  都被祢拿走
[00:00:25.160 --> 00:00:27.560]  在這個時間只有祢與我們相遇
[00:00:27.560 --> 00:00:30.500]  我們多謝祢在這個時間
[00:00:30.500 --> 00:00:32.300]  祢親自臨到我們當中
[00:00:32.300 --> 00:00:34.160]  是因為祢先擺上
[00:00:34.160 --> 00:00:36.300]  多謝主給我們有敬拜
[00:00:36.300 --> 00:00:38.000]  多謝主給我們有禱告
[00:00:38.000 --> 00:00:40.440]  多謝主給我們有從祢來的訊息
[00:00:40.440 --> 00:00:41.980]  求主不單止使用
[00:00:41.980 --> 00:00:43.880]  叫我們更加去使用
[00:00:43.880 --> 00:00:44.680]  活用出來
[00:00:44.680 --> 00:00:46.740]  因為祢的話是我們腳前的燈
[00:00:46.740 --> 00:00:48.120]  路上的光
[00:00:48.120 --> 00:00:51.620]  禱告奉耶穌得勝的明智祈求
[00:00:51.620 --> 00:00:52.460]  阿們
[00:00:52.460 --> 00:00:53.460]  請坐
[00:00:58.520 --> 00:00:59.520]  大家好
[00:00:59.520 --> 00:01:02.360]  我剛才陳牧師說四月廿九
[00:01:02.360 --> 00:01:03.860]  我就 啊
[00:01:03.860 --> 00:01:05.360]  二月廿九
[00:01:05.360 --> 00:01:07.560]  其實我和他有一個很特別的日子
[00:01:07.560 --> 00:01:08.300]  二月廿九
[00:01:08.300 --> 00:01:09.800]  如果大家心水清
[00:01:09.800 --> 00:01:12.240]  我們那時按目是二零零四年
[00:01:12.240 --> 00:01:13.080]  二月廿九
[00:01:13.080 --> 00:01:14.900]  所以我們說那時選了一個日子
[00:01:14.900 --> 00:01:17.140]  我們四年才可以慶祝一次
[00:01:17.140 --> 00:01:20.080]  所以今天我們是十二週年的按目日子
[00:01:20.080 --> 00:01:20.820]  都很偉大
[00:01:20.820 --> 00:01:21.820]  多謝主
[00:01:21.820 --> 00:01:24.380]  雖然隨間離開了
[00:01:24.380 --> 00:01:26.080]  但都一路同工了很久
[00:01:26.080 --> 00:01:28.080]  也是我屬靈的師姐
[00:01:28.080 --> 00:01:29.080]  多謝她
[00:01:29.080 --> 00:01:30.580]  我們今天裏面
[00:01:30.580 --> 00:01:32.320]  大家還是新晶頭
[00:01:32.320 --> 00:01:34.320]  所以我想做一個題目
[00:01:34.320 --> 00:01:37.420]  就是又新又活的路
[00:01:37.420 --> 00:01:40.160]  所以希望在新的一年裏面
[00:01:40.160 --> 00:01:42.600]  我們重新去修正
[00:01:42.600 --> 00:01:43.900]  可能舊的路
[00:01:43.900 --> 00:01:45.900]  正在走不過掃乾淨
[00:01:45.900 --> 00:01:49.040]  下一張powerpoint提醒我們一樣東西
[00:01:49.040 --> 00:01:51.040]  我以下只說
[00:01:51.040 --> 00:01:54.040]  是在陸路的運輸
[00:01:54.040 --> 00:01:56.180]  你不要說飛機船
[00:01:56.180 --> 00:01:57.180]  陸路的運輸
[00:01:57.180 --> 00:01:58.480]  即是你上去
[00:01:58.480 --> 00:02:02.520]  即是說你如果由香港去北京才算
[00:02:02.520 --> 00:02:05.020]  大概二百年前
[00:02:05.020 --> 00:02:07.420]  除了行路你只有坐馬車
[00:02:07.420 --> 00:02:09.420]  要不然找人抬你
[00:02:09.420 --> 00:02:10.920]  如果坐馬車
[00:02:10.920 --> 00:02:13.220]  以當時的崎嶇
[00:02:13.220 --> 00:02:15.100]  這樣的路還要休息
[00:02:15.100 --> 00:02:18.000]  以二十公里三十公里已經很快了
[00:02:18.000 --> 00:02:20.360]  大概半個月到一個小時
[00:02:20.360 --> 00:02:21.500]  即一個月左右
