
[00:00:00.000 --> 00:00:02.000]  親愛的主,我們感謝讚美您
[00:00:02.000 --> 00:00:07.080]  感謝您今天讓我們在這裡聆聽您的話語
[00:00:07.080 --> 00:00:10.760]  主聖靈,願祢開啟我們的心
[00:00:10.760 --> 00:00:15.480]  願祢藉著上帝的道向我們每一個人心裡說話
[00:00:15.480 --> 00:00:18.420]  讓我們不僅聽了祢的話語
[00:00:18.420 --> 00:00:21.800]  讓我們更加堅守祢的話語
[00:00:21.800 --> 00:00:27.240]  讓我們的生命走出主祢在我們生命裡的道
[00:00:27.240 --> 00:00:31.860]  所以主幫助我們,讓我們既以堅持的心去走
[00:00:31.860 --> 00:00:34.560]  也以溫柔的心去相待
[00:00:34.560 --> 00:00:36.860]  多謝主,我們同心合意的禱告
[00:00:36.860 --> 00:00:40.900]  是奉靠主耶穌基督的聖名自祈求,阿們
[00:00:40.900 --> 00:00:43.400]  各位弟兄姊妹,平安
[00:00:43.400 --> 00:00:45.400]  有個故事是這樣的
[00:00:45.400 --> 00:00:49.140]  有三個男人一起去到火車站
[00:00:49.140 --> 00:00:51.840]  但當他們到達車站的時候
[00:00:51.840 --> 00:00:54.600]  發現那架火車已經開出了
[00:00:54.600 --> 00:00:57.100]  心裡就覺得,唉,真是不值了
[00:00:57.100 --> 00:01:00.700]  但沒辦法了,我們唯有等下一班火車了
[00:01:00.700 --> 00:01:05.240]  於是三個人就去到火車站的餐廳吃東西聊天
[00:01:05.240 --> 00:01:08.140]  一說就聊到不停了
[00:01:08.140 --> 00:01:10.640]  竟然忘記了時間
[00:01:10.640 --> 00:01:15.160]  突然間想起,唉呀,下一班火車就快要開出了
[00:01:15.160 --> 00:01:19.940]  於是他們馬上拿著行李,9秒9地衝向月台了
[00:01:19.940 --> 00:01:24.720]  就在這個時候,嘩,真的看到那架火車慢慢地開出了
[00:01:24.720 --> 00:01:27.800]  於是三個人就急忙沿著月台
[00:01:27.800 --> 00:01:31.100]  追趕那一班開始加速的火車
[00:01:31.100 --> 00:01:32.600]  大家留意一下
[00:01:32.600 --> 00:01:35.300]  以前的火車,可能我們在座都經歷過
[00:01:35.300 --> 00:01:39.500]  以前的火車就不是現在那些火車,關上門就關上門的
