
[00:00:00.000 --> 00:00:06.100]  我們在這次題目裏頭呢 叫做"伊甸之約"
[00:00:06.100 --> 00:00:12.300]  就是講到聖經中間 神個人有立約的
[00:00:12.300 --> 00:00:19.600]  那約是什麼呢?就是雙方當事的人在中間有一個約定
[00:00:19.600 --> 00:00:22.700]  定了約 雙方有個約定
[00:00:22.700 --> 00:00:27.900]  然後呢 在約裏頭就有些條款
[00:00:27.900 --> 00:00:32.600]  這條款裏頭包括神要給人的賞賜
[00:00:32.600 --> 00:00:39.600]  也包括人就是違約的話要受的刑罰
[00:00:39.600 --> 00:00:45.700]  這就是聖經中神和人立的約
[00:00:45.700 --> 00:00:52.700]  聖經中間至少神和人立的約主要的有七個
[00:00:52.700 --> 00:00:58.500]  我們今天講的是第一個 就伊甸元 伊甸之約
[00:00:58.500 --> 00:01:01.500]  然後下面我們再讀到《創世紀》呢
[00:01:01.500 --> 00:01:07.500]  就會看到有諾亞之約 神跟諾亞還有立約
[00:01:07.500 --> 00:01:11.300]  那麼再下來呢 就看到亞伯拉罕的約
[00:01:11.300 --> 00:01:13.900]  神跟亞伯拉罕立的約
[00:01:13.900 --> 00:01:16.700]  再到後面到《出埃及記》呢
[00:01:16.700 --> 00:01:19.900]  就有神跟以色列人立的約
[00:01:19.900 --> 00:01:23.900]  叫西乃山之約 西乃之約
[00:01:23.900 --> 00:01:26.900]  那麼到快要進迦南以前
[00:01:26.900 --> 00:01:35.900]  神在這個摩亞平原又跟以色列人重新訂這個約
[00:01:35.900 --> 00:01:41.900]  叫做巴拉斯坦之約 也可以叫做摩亞之約
[00:01:41.900 --> 00:01:47.900]  那後面呢就到大魏了 神跟大魏立約
[00:01:47.900 --> 00:01:51.900]  那麼最後呢就是星約
[00:01:51.900 --> 00:01:56.900]  所以聖經中間至少主要的有七個
[00:01:56.900 --> 00:02:00.900]  那麼就我們如果把它記起來
[00:02:00.900 --> 00:02:05.900]  我們對學習舊約聖經有很大的幫助的
[00:02:05.900 --> 00:02:12.900]  一個就是伊甸的約 諾亞的約 亞伯拉罕的約
[00:02:12.900 --> 00:02:19.900]  西乃的約 巴拉斯坦的約 大魏的約 最後是星約
[00:02:19.900 --> 00:02:26.900]  那神這個對人約也是神跟人中間的關係
[00:02:26.900 --> 00:02:30.900]  可以從這七個約裏頭看到
[00:02:30.900 --> 00:02:34.900]  從創世以來神跟人的關係
[00:02:34.900 --> 00:02:38.900]  可以藉着這個約能夠表現出來
[00:02:38.900 --> 00:02:42.900]  約實際上就是神跟人的關係
[00:02:42.900 --> 00:02:47.900]  那麼約呢也包含了神要賜給人的福
[00:02:47.900 --> 00:02:51.900]  爲什麼神喜歡跟人立約呢
[00:02:51.900 --> 00:02:54.900]  因爲神很愛人 愛世上的人
[00:02:54.900 --> 00:02:57.900]  很願意把福氣賜給他們
[00:02:57.900 --> 00:03:02.900]  所以就藉着約的形式能夠定下來
[00:03:02.900 --> 00:03:07.900]  而且神呢有一個特點在舊約裏頭我們常看到
[00:03:07.900 --> 00:03:11.900]  就是祂是守約施此愛的神
[00:03:11.900 --> 00:03:14.900]  守約施此愛
[00:03:14.900 --> 00:03:17.900]  但是人呢我們看見在這些約裏頭呢
[00:03:17.900 --> 00:03:21.900]  常常看到人的失敗 人的軟弱
[00:03:21.900 --> 00:03:27.900]  那我們想如果主允許的話
[00:03:27.900 --> 00:03:31.900]  我們想在這裏把七個約按照次序
[00:03:31.900 --> 00:03:37.900]  一個一個的來思想 叫我們從中可以得到一些教訓
[00:03:37.900 --> 00:03:39.900]  求主幫助我們
[00:03:39.900 --> 00:03:47.900]  但願我們能夠有這樣的機會一同來思想主的話
[00:03:47.900 --> 00:03:50.900]  當神造了亞當夏娃以後
[00:03:50.900 --> 00:03:54.900]  就把他們安置在伊甸園
[00:03:54.900 --> 00:03:58.900]  我們看見人是最後一天
[00:03:58.900 --> 00:04:00.900]  最後一個小時被創造出來了
[00:04:00.900 --> 00:04:04.900]  在人出來以前人創造天地
[00:04:04.900 --> 00:04:09.900]  創造各種的生物 各種的樹 各種的環境
[00:04:09.900 --> 00:04:15.900]  所以人呢是進來的話就一切都是預備好了
[00:04:15.900 --> 00:04:18.900]  就神使他們安居在伊甸園
[00:04:18.900 --> 00:04:21.900]  這個伊甸園在聖經裏頭呢
[00:04:21.900 --> 00:04:25.900]  說到呢有幾道河
[00:04:25.900 --> 00:04:29.900]  所以伊甸園不是一個幻想
[00:04:29.900 --> 00:04:31.900]  不是一個烏托邦
[00:04:31.900 --> 00:04:34.900]  那是一個具體的一個地方
[00:04:34.900 --> 00:04:36.900]  裏面講到有四條河
[00:04:36.900 --> 00:04:38.900]  有地理的位置
[00:04:38.900 --> 00:04:41.900]  有的河是在哈貝拉這個地方
[00:04:41.900 --> 00:04:44.900]  有的河是在古石這個地方
[00:04:44.900 --> 00:04:48.900]  還有一條呢在亞蘇的地方
[00:04:48.900 --> 00:04:52.900]  還有一條呢是在這個優伐拉比河
[00:04:52.900 --> 00:04:55.900]  也就現在的中東伊拉克地方
[00:04:55.900 --> 00:04:58.900]  所以伊甸園並不是一個人的幻想
[00:04:58.900 --> 00:05:00.900]  一個地理的位置
[00:05:00.900 --> 00:05:02.900]  那是一個具體的
[00:05:02.900 --> 00:05:05.900]  是在中東這個地方
[00:05:05.900 --> 00:05:07.900]  那麼這個伊甸園
[00:05:07.900 --> 00:05:12.900]  這個神呢就跟亞當立約
[00:05:12.900 --> 00:05:14.900]  所以他們爲什麼立約呢
[00:05:14.900 --> 00:05:17.900]  他們在伊甸園裏頭怎麼生活
[00:05:17.900 --> 00:05:20.900]  神有吩咐他們要看守
[00:05:20.900 --> 00:05:23.900]  要治理這權惡地
[00:05:23.900 --> 00:05:27.900]  也要他們能夠生養衆多
[00:05:27.900 --> 00:05:30.900]  所以神對他們的生活呢
[00:05:30.900 --> 00:05:32.900]  有一定的意義的
[00:05:32.900 --> 00:05:34.900]  他們活在伊甸園裏頭
[00:05:34.900 --> 00:05:38.900]  並不是好像什麼事情也不幹
[00:05:38.900 --> 00:05:40.900]  他們有他們的工作
[00:05:40.900 --> 00:05:42.900]  他們有跟神的關係
[00:05:42.900 --> 00:05:46.900]  如果他們跟神的關係正常的話
[00:05:46.900 --> 00:05:49.900]  那麼他們的生活就有意義
[00:05:49.900 --> 00:05:52.900]  他們就能夠做神要他們做的
