
[00:00:00.000 --> 00:00:02.800]  但當我們回顧整個以色列人
[00:00:02.800 --> 00:00:06.440]  他們被上帝呼召離開埃及遺奴之家
[00:00:06.440 --> 00:00:07.760]  本來是奴隸的身份
[00:00:07.760 --> 00:00:09.400]  一群烏合之眾
[00:00:09.400 --> 00:00:11.920]  上帝呼召他們到要應許之地
[00:00:11.920 --> 00:00:13.320]  中間有一個曠野
[00:00:13.320 --> 00:00:15.480]  在曠野四十年的期間
[00:00:15.480 --> 00:00:19.640]  他們要被上帝去揀選
[00:00:19.640 --> 00:00:21.920]  經歷上帝的恩典
[00:00:21.920 --> 00:00:25.080]  去建立成為一個屬神的群體
[00:00:25.080 --> 00:00:27.080]  這個群體就要學習
[00:00:27.080 --> 00:00:28.880]  原本不認識這個神
[00:00:28.880 --> 00:00:30.760]  如何與上帝建立關係呢?
[00:00:30.760 --> 00:00:34.480]  就透過一個祭司的制度去獻祭
[00:00:34.480 --> 00:00:37.240]  透過律法書的教導去認識神
[00:00:37.240 --> 00:00:39.600]  所以上帝就在利美記
[00:00:39.600 --> 00:00:41.840]  有些人說這是一個祭司的手冊
[00:00:41.840 --> 00:00:45.320]  去教導以色列人如何與上帝溝通
[00:00:45.320 --> 00:00:48.240]  上帝要成為這群子民的上帝
[00:00:48.240 --> 00:00:49.760]  去祝福他們
[00:00:49.760 --> 00:00:51.000]  去賜恩給他們
[00:00:51.000 --> 00:00:53.920]  而這群子民就是要去回應上帝
[00:00:53.920 --> 00:00:55.560]  去信服神的心意
[00:00:55.560 --> 00:00:57.320]  去成為上帝的百姓
[00:00:57.320 --> 00:00:59.120]  以致將上帝的福氣
[00:00:59.120 --> 00:01:00.640]  傳揚列邦
[00:01:00.640 --> 00:01:02.680]  讓列國都因耶和華而得福
[00:01:02.680 --> 00:01:05.280]  這就是整個的舊約
[00:01:05.280 --> 00:01:07.280]  可以說是核心的思想
[00:01:07.280 --> 00:01:12.200]  當我們回到利美記的時候
[00:01:12.200 --> 00:01:13.600]  我們會看到
[00:01:13.600 --> 00:01:17.120]  利美記就是上帝要透過利美記
[00:01:17.120 --> 00:01:19.720]  向以色列人啟示
[00:01:19.720 --> 00:01:21.280]  讓以色列人的群體
[00:01:21.280 --> 00:01:23.840]  知道上帝要建立一個屬神的社會
[00:01:23.840 --> 00:01:24.880]  屬神的國度
[00:01:24.880 --> 00:01:27.200]  神設立獻祭制度
[00:01:27.200 --> 00:01:29.800]  就是要讓人學習如何與神交往
[00:01:29.800 --> 00:01:32.480]  神願意與以色列人建立關係
[00:01:32.480 --> 00:01:34.320]  住在以色列人的群體當中
[00:01:34.320 --> 00:01:35.680]  住在會幕當中
[00:01:35.680 --> 00:01:36.760]  而以色列人
[00:01:36.760 --> 00:01:39.160]  就要透過在會幕上的獻祭
[00:01:39.160 --> 00:01:42.480]  逐步地去親近神
[00:01:42.480 --> 00:01:44.000]  去認識神
[00:01:44.000 --> 00:01:45.560]  去侍奉神
[00:01:45.560 --> 00:01:47.000]  去榮耀神
[00:01:47.000 --> 00:01:50.200]  對我們今天來說有什麼意義呢?
[00:01:50.200 --> 00:01:52.360]  今天我們進入了新約的時代
[00:01:52.360 --> 00:01:56.560]  我們有耶穌基督作為我們的大祭司
[00:01:56.560 --> 00:01:58.680]  祂更加一次過的獻祭
[00:01:58.680 --> 00:02:01.040]  讓我們能夠透過耶穌基督
[00:02:01.040 --> 00:02:02.560]  去到上帝的面前
[00:02:02.560 --> 00:02:05.520]  而在彼得前書二章九節也說
[00:02:05.520 --> 00:02:07.240]  我們是君尊的祭司
[00:02:07.240 --> 00:02:08.520]  所以我們每一個
[00:02:08.520 --> 00:02:10.040]  都是一個祭司
[00:02:10.040 --> 00:02:11.680]  能夠去到上帝的面前
[00:02:11.680 --> 00:02:13.400]  就是要去宣揚那
[00:02:13.400 --> 00:02:16.400]  「出黑暗及奇妙者光明的美德」
