
[00:00:00.000 --> 00:00:01.920]  各位頂祖母親,早晨
[00:00:01.920 --> 00:00:06.940]  很多謝神給我們有機會在這裡相遇
[00:00:06.940 --> 00:00:11.160]  以及跟大家分享聖經
[00:00:11.160 --> 00:00:16.200]  昨天下午的一堂聚會完結了
[00:00:16.200 --> 00:00:21.720]  我就走過去搭地鐵
[00:00:21.720 --> 00:00:25.160]  迎面過馬路的有一個女士
[00:00:25.160 --> 00:00:27.760]  我想她應該是信了耶穌
[00:00:27.760 --> 00:00:32.480]  她走過來說:「你是否李牧師?」
[00:00:32.480 --> 00:00:36.960]  我看著她說:「不認識的」
[00:00:36.960 --> 00:00:39.280]  她說:「李牧師,我一直有為你們家庭
[00:00:39.280 --> 00:00:43.880]  一直有為阿母祈禱,加油!」
[00:00:43.880 --> 00:00:52.560]  我很感謝頂祖母在同福堂的特別有一大班頂祖母
[00:00:52.560 --> 00:00:57.520]  是為我們家庭,特別為阿母祈禱
[00:00:57.520 --> 00:01:02.600]  很感謝神,你的同行和你的代討
[00:01:02.600 --> 00:01:08.600]  我們更加看到神在阿母身上的工作
[00:01:08.600 --> 00:01:13.800]  她今天是度過82週
[00:01:13.800 --> 00:01:16.600]  就是我由第一週她出事
[00:01:16.600 --> 00:01:20.120]  我就開始寫一個代討信
[00:01:20.120 --> 00:01:24.040]  每一封代討信其實是她過目的
[00:01:24.040 --> 00:01:28.560]  跟她一起砌,有甚麼加,有甚麼減
[00:01:28.560 --> 00:01:30.840]  有甚麼不要這樣表達
[00:01:30.840 --> 00:01:33.720]  我幾次想出,她都想了
[00:01:33.720 --> 00:01:43.200]  她說:「爸爸,不要,讓我能夠活起來,我會自己出」
[00:01:43.200 --> 00:01:45.000]  「你不用幫我出」
[00:01:45.000 --> 00:01:52.040]  所以我也很期待有一天她自己去出
[00:01:52.040 --> 00:01:57.760]  今天跟大家分享的一個很熟悉的比喻
[00:01:57.760 --> 00:02:00.280]  朗誌的比喻
[00:02:00.280 --> 00:02:06.520]  我們要了解到比喻本身不是虛構的
[00:02:06.520 --> 00:02:09.040]  聖經裏面的比喻
[00:02:09.040 --> 00:02:12.720]  耶穌特別在福音書裏面所用的是
[00:02:12.720 --> 00:02:19.120]  當時眾所周知是有這樣的事情
[00:02:19.120 --> 00:02:23.680]  以及有這樣的現象出來
[00:02:23.680 --> 00:02:28.520]  所以耶穌用朗誌這個家庭的比喻
[00:02:28.520 --> 00:02:34.040]  換句話來說,在當代的確是有這樣的情況出現的
[00:02:34.040 --> 00:02:39.320]  這個家庭,他們大家所謂各懷鬼胎
[00:02:39.320 --> 00:02:42.800]  他們自己有自己的盤算
[00:02:42.800 --> 00:02:48.400]  他們是完全沒有建立在一個關係之下
