
[00:00:00.000 --> 00:00:06.200]  上星期我們開始講了內廳神級宗教會的信系列
[00:00:06.200 --> 00:00:09.700]  八字信傳道已經跟我們講了第一間教會
[00:00:09.700 --> 00:00:11.300]  就是以弗所教會
[00:00:11.300 --> 00:00:14.300]  在啟示錄的二章一到七節
[00:00:14.300 --> 00:00:18.100]  今天我們會繼續來看二章的八到十一節
[00:00:18.100 --> 00:00:20.600]  是一所叫做士美娜教會
[00:00:20.600 --> 00:00:23.600]  可能對大家來說這個名字都不是很熟悉
[00:00:23.600 --> 00:00:28.500]  但是這個剛才所提就是一間神所稱讚的教會
[00:00:28.500 --> 00:00:31.800]  所以我們很盼望能夠一齊在這間教會裡面學習
[00:00:31.800 --> 00:00:35.000]  我們很想邀請大家一齊來讀這幾節的經文
[00:00:35.000 --> 00:00:36.200]  很短的經文
[00:00:36.200 --> 00:00:38.200]  但很想大家投入下去
[00:00:38.200 --> 00:00:39.900]  可以投入下去讀這段經文
[00:00:39.900 --> 00:00:42.500]  讓我們更加體會到這段經文的訊息
[00:00:42.500 --> 00:00:44.500]  我們一齊來讀這幾節的經文
[00:00:44.500 --> 00:00:47.600]  看到的無論是你的手上聖經或者是螢光幕
[00:00:47.600 --> 00:00:49.200]  我們一齊來讀完這幾節經文
[00:00:49.200 --> 00:00:50.400]  預備起
[00:00:50.400 --> 00:00:55.000]  你要寫信給士美娜教會的使者說
[00:00:55.000 --> 00:01:00.200]  那首先的、末後的、死過又活的說
[00:01:00.200 --> 00:01:03.800]  我知道你的患難、你的貧窮
[00:01:03.800 --> 00:01:06.100]  你卻是富足的
[00:01:06.100 --> 00:01:11.300]  也知道那自稱是猶太人所說的偉望華
[00:01:11.300 --> 00:01:14.200]  其實他們不是猶太人
[00:01:14.200 --> 00:01:16.900]  乃是撒旦一回的人
[00:01:16.900 --> 00:01:20.700]  你將要受的苦你不用怕
[00:01:20.700 --> 00:01:26.000]  魔鬼要把你們中間幾個人下在牢裡
[00:01:26.000 --> 00:01:28.300]  叫你們被試煉
[00:01:28.300 --> 00:01:31.200]  你們必受患難十日
[00:01:31.200 --> 00:01:34.100]  你不要至死忠心
[00:01:34.100 --> 00:01:38.100]  我就賜給你那生命的冠冕
[00:01:38.100 --> 00:01:41.700]  聖靈向宗教會所說的話
[00:01:41.700 --> 00:01:45.000]  凡有疑的就應當平
[00:01:45.000 --> 00:01:50.000]  得勝的必不受第二次死的害
[00:01:50.000 --> 00:01:57.000]  我想今天先跟大家介紹一個叫聽啟示錄的秘訣
[00:01:57.000 --> 00:02:02.000]  因為我們的題目叫來聽神級宗教會的信
[00:02:02.000 --> 00:02:04.800]  所以我也想幫我們一起來看看
[00:02:04.800 --> 00:02:09.200]  有沒有一些可以聽得更好的啟示錄的秘訣
[00:02:09.200 --> 00:02:11.000]  大家還記不記得上個星期
[00:02:11.000 --> 00:02:14.600]  白Sir跟我們去講以弗所教會的時候
[00:02:14.600 --> 00:02:18.500]  最後一張的投影片是說什麼的
[00:02:18.500 --> 00:02:21.200]  有沒有人有印象
[00:02:21.200 --> 00:02:24.400]  他就用以弗所教會
[00:02:24.400 --> 00:02:28.400]  不過他用了另外一個現代中文聖經的版本
[00:02:28.400 --> 00:02:33.100]  然後就將以弗所教會的名字代入了誰的名字
[00:02:33.100 --> 00:02:36.900]  成朕家或者是我們自己的弟兄姊妹
[00:02:36.900 --> 00:02:38.600]  這個我覺得是很有意思的
[00:02:38.600 --> 00:02:40.700]  我們讀啟示錄七教會
[00:02:40.700 --> 00:02:43.600]  或者讀整個啟示錄都可以試一下
[00:02:43.600 --> 00:02:44.800]  我就將這個叫做什麼呢
[00:02:44.800 --> 00:02:46.800]  叫對號入座
[00:02:46.800 --> 00:02:50.500]  大家讀啟示錄或者聽啟示錄的時候
[00:02:50.500 --> 00:02:52.700]  要學一下對號入座
[00:02:52.700 --> 00:02:54.200]  上次就是其中一個方式
[00:02:54.200 --> 00:02:57.100]  將我們自己放進去以弗所教會
[00:02:57.100 --> 00:02:59.400]  讓我們都想一下
[00:02:59.400 --> 00:03:01.800]  我們是不是好像以弗所
[00:03:01.800 --> 00:03:04.600]  起初的愛心失去了呢
[00:03:04.600 --> 00:03:08.300]  我們有沒有像以弗所當中那幫信徒的行為呢
[00:03:08.300 --> 00:03:10.900]  所以我想這個是叫對號入座
[00:03:10.900 --> 00:03:14.000]  當然大家對號入座有一點點的負面
[00:03:14.000 --> 00:03:17.100]  英文就叫做不要這麼personal(個人性)
[00:03:17.100 --> 00:03:18.500]  說了你就有誤會了
