
[00:00:00.000 --> 00:00:04.800]  首先在此預祝大家新年快樂
[00:00:04.800 --> 00:00:11.720]  在新的一年當中蒙恩
[00:00:11.720 --> 00:00:15.920]  根據實際的經驗
[00:00:15.920 --> 00:00:18.500]  我們每一個基督徒
[00:00:18.500 --> 00:00:22.200]  在他信仰的歷程當中
[00:00:22.200 --> 00:00:25.600]  都曾經動搖過
[00:00:25.600 --> 00:00:30.520]  或者想過或者用實際行動離開信仰
[00:00:30.520 --> 00:00:34.160]  或是曾經想過甚至用實際行動去旅行
[00:00:34.160 --> 00:00:37.000]  去離開信仰
[00:00:37.000 --> 00:00:42.920]  我自己都經歷過這個信仰動搖的過程
[00:00:42.920 --> 00:00:46.440]  和神中的關係
[00:00:46.440 --> 00:00:49.120]  不想再去教會
[00:00:49.120 --> 00:00:50.920]  不想祈禱
[00:00:50.920 --> 00:00:52.400]  不想讀經
[00:00:52.400 --> 00:00:59.080]  可能大家會問是不是你剛剛信主的時候呢?
[00:00:59.080 --> 00:01:05.680]  其實不是,我是已經侍奉了十幾二十年
[00:01:05.680 --> 00:01:10.000]  那時在研究院讀書
[00:01:10.000 --> 00:01:17.200]  我由教會轉到一個社會服務機構工作
[00:01:17.200 --> 00:01:21.240]  輔導一些問題的青少年
[00:01:21.240 --> 00:01:25.640]  當時我整個信仰差不多崩潰
[00:01:25.640 --> 00:01:36.600]  我消化不到的只是一群只有十三歲的少年已經開始吸毒
[00:01:36.600 --> 00:01:44.600]  我沒辦法接受一個十六歲的少女已經有三次墮胎的經歷
[00:01:44.600 --> 00:01:47.880]  其中有一次還是我陪另一個社工陪她去墮胎
[00:01:47.880 --> 00:01:51.320]  其中有一次還是我陪另一個社工陪她去墮胎
[00:01:51.320 --> 00:01:55.960]  我沒辦法消化一個二十多歲的年輕人因為吸毒已經鋸了他的左腳
[00:01:55.960 --> 00:02:01.000]  我沒辦法接受一個二十幾歲的年輕人因為吸毒要把他的腳去掉
[00:02:01.000 --> 00:02:06.880]  我沒辦法消化一場足球比賽最後已經變成幾十人在球場集體打鬥
[00:02:06.880 --> 00:02:11.880]  我沒辦法接受一個足球賽居然變成幾十個人一起打鬥的場合
[00:02:11.880 --> 00:02:15.640]  我沒辦法消化一個十六歲的少女
