
[00:00:00.000 --> 00:00:03.760]  雖然可能在祖堂裏面多些老人家,
[00:00:03.760 --> 00:00:06.080]  但今天是青少年聚會,我想講,
[00:00:06.080 --> 00:00:09.780]  不是僅是青少年來,但去把持着教會,
[00:00:09.780 --> 00:00:13.000]  我試過去過一間教會,他們很自豪,
[00:00:13.000 --> 00:00:15.620]  我們全部都是年輕人,我們有幹勁的,
[00:00:15.620 --> 00:00:18.000]  我們無老人家,
[00:00:18.000 --> 00:00:19.320]  我不覺得你似教工,
[00:00:19.320 --> 00:00:21.740]  我覺得你是保糧局的人,
[00:00:21.740 --> 00:00:23.400]  保糧局很多孤兒,
[00:00:23.400 --> 00:00:25.580]  你們無父無母,無爺無奶奶,
[00:00:25.580 --> 00:00:27.180]  我們全部都是青少年,
[00:00:27.180 --> 00:00:30.480]  但我覺得你們全部都是孤兒,
[00:00:30.480 --> 00:00:32.080]  教會是神的家,
[00:00:32.080 --> 00:00:36.180]  所以今天在我當中一班長者老人家,
[00:00:36.180 --> 00:00:37.920]  其實你們很寶貴,
[00:00:37.920 --> 00:00:40.580]  有些事可能我們已做不到,
[00:00:40.580 --> 00:00:44.260]  譬如我教會這邊剛打完封后都很感恩,
[00:00:44.260 --> 00:00:49.440]  有班青少年自發地去清理街道,
[00:00:49.440 --> 00:00:52.160]  怎知被明報記者經過見到拍了,
[00:00:52.160 --> 00:00:56.820]  然後放上明報網報道,
[00:00:56.820 --> 00:00:58.700]  可能我們老人家做不到這事,
[00:00:58.700 --> 00:01:01.520]  但不要忘記老人家其實很重要,
[00:01:01.520 --> 00:01:03.500]  身體有很多很明顯的東西,
[00:01:03.500 --> 00:01:05.280]  手腳會動,
[00:01:05.280 --> 00:01:10.820]  但知不知最重要的功能是什麼,
[00:01:10.820 --> 00:01:12.060]  就是心,
[00:01:12.060 --> 00:01:14.340]  心是廿四小時都不停,
[00:01:14.340 --> 00:01:17.020]  睡覺心都繼續泵血,
[00:01:17.020 --> 00:01:18.960]  如果心說我都累了,休息一下,
[00:01:18.960 --> 00:01:21.340]  可以整日休息,
[00:01:21.340 --> 00:01:24.180]  全部人都不用動,以爲會死,
[00:01:24.180 --> 00:01:25.980]  老人家其實你們很寶貴,
[00:01:25.980 --> 00:01:28.860]  你們要做一件事是守望教會,
[00:01:28.860 --> 00:01:31.460]  守望教會的牧者是年輕人,
[00:01:31.460 --> 00:01:34.200]  你們多爲教會祈禱,這是最寶貴,
[00:01:34.200 --> 00:01:37.240]  這是隱藏工作但很重要,
[00:01:37.240 --> 00:01:40.060]  正如心一路泵血但你看不到,
[00:01:40.060 --> 00:01:43.040]  手腳的東西很明顯但睡覺它就不動,
[00:01:43.040 --> 00:01:44.600]  或者動得很少,
[00:01:44.600 --> 00:01:46.500]  但你們不要介意這樣說,
[00:01:46.500 --> 00:01:50.060]  更加睡得少,又不太會上網,
[00:01:50.060 --> 00:01:53.580]  那時候看完攻略多些時間,
[00:01:53.580 --> 00:01:56.700]  你多些爲教會祈禱這就差很遠,
[00:02:23.580 --> 00:02:25.900]  剛纔介紹我是基督教美人堂牧師,
[00:02:25.900 --> 00:02:30.500]  其實我在2016年已離開美人堂,
[00:02:30.500 --> 00:02:33.000]  但我仍跟他們關係非常好,
[00:02:33.000 --> 00:02:35.720]  我不是叫退休,我未夠年齡退休,
[00:02:35.720 --> 00:02:39.380]  如果我年齡退休下一年纔夠年齡退休,
[00:02:39.380 --> 00:02:46.580]  我叫轉型,我喜歡港島但仍跟他們有好關係,
[00:02:46.580 --> 00:02:50.260]  我昨日負責了一個安息,其實很難受,
[00:02:50.260 --> 00:02:53.680]  不知今日報紙有無賣,有個32歲的督察,
[00:02:53.680 --> 00:02:57.540]  在新西蘭自駕遊車爸爸死了,
[00:02:57.540 --> 00:03:01.660]  他很孝順,他太太現在五個月身孕,
[00:03:01.660 --> 00:03:04.780]  他有個妹妹很不幸其實都有癌症,
[00:03:04.780 --> 00:03:07.600]  妹妹25歲,她是我粉絲堂的會友,
[00:03:07.600 --> 00:03:09.300]  中學時回我教會,
[00:03:09.300 --> 00:03:12.620]  昨日及前晚都是我跟她負責雙禮,
[00:03:12.620 --> 00:03:16.860]  昨日下午五時我有個婚禮,
[00:03:16.860 --> 00:03:19.860]  今日下午都有個婚禮開始旺,
[00:03:19.860 --> 00:03:23.920]  都是他們叫我回去,我很樂意服侍他們,
[00:03:23.920 --> 00:03:27.580]  但我離開了美恩堂可以周圍去港島,
[00:03:27.580 --> 00:03:30.200]  否則我今日不會站在大家當中,
