
[00:00:00.000 --> 00:00:01.340]  大家好 早安
[00:00:01.340 --> 00:00:03.820]  我們今天可以一齊去敬拜神
[00:00:03.820 --> 00:00:05.680]  我們去感恩
[00:00:05.680 --> 00:00:08.240]  請我們一齊去禱告
[00:00:08.240 --> 00:00:09.600]  求主去帶領
[00:00:09.600 --> 00:00:13.240]  天父 我們感謝祢讓我們今天一齊去敬拜
[00:00:13.240 --> 00:00:16.000]  我們願意今天學的課題
[00:00:16.000 --> 00:00:17.640]  我們父主的額
[00:00:17.640 --> 00:00:19.280]  求主祢去幫助
[00:00:19.280 --> 00:00:21.280]  讓我們去思考
[00:00:21.280 --> 00:00:23.640]  人生 我們作為一個信徒
[00:00:23.640 --> 00:00:25.880]  我們怎樣繼續走人生的路
[00:00:25.880 --> 00:00:27.380]  作為一個信徒
[00:00:27.380 --> 00:00:28.660]  求主祢幫助
[00:00:28.660 --> 00:00:30.660]  祈禱奉主耶穌基督的名
[00:00:30.660 --> 00:00:31.680]  阿們
[00:00:31.680 --> 00:00:33.540]  我們教會有一個主題
[00:00:33.540 --> 00:00:35.880]  叫做「尋主道 作門徒」
[00:00:35.880 --> 00:00:38.440]  我想這是一個很大的題目
[00:00:38.440 --> 00:00:41.500]  我想我們今天也藉著一段經文
[00:00:41.500 --> 00:00:43.240]  大家一起學習一下
[00:00:43.240 --> 00:00:45.380]  「做門徒」的意義
[00:00:45.380 --> 00:00:50.860]  或者我一開始講的文章裏面
[00:00:50.860 --> 00:00:53.000]  有一個人描寫了一段話
[00:00:53.000 --> 00:00:54.480]  跟大家去分享一下
[00:00:54.480 --> 00:00:57.460]  美國一位信徒
[00:00:57.460 --> 00:00:59.380]  他是一個演說家
[00:00:59.380 --> 00:01:01.020]  又是一個作家
[00:01:01.020 --> 00:01:06.680]  他叫做 Tim Hansel
[00:01:06.680 --> 00:01:11.040]  這個人是很活潑的
[00:01:11.040 --> 00:01:13.760]  他發覺美國年輕人
[00:01:13.760 --> 00:01:16.980]  什麼都沒有興趣
[00:01:16.980 --> 00:01:18.660]  好像很沉寂
[00:01:18.660 --> 00:01:20.900]  於是他就有一些事工
[00:01:20.900 --> 00:01:23.060]  有些事工他就看到
[00:01:23.060 --> 00:01:25.780]  其實人生可以讓神去做
[00:01:25.780 --> 00:01:28.400]  跟著神走可以很美麗
[00:01:28.400 --> 00:01:32.060]  但是很多年輕人就很頹喪
[00:01:32.060 --> 00:01:34.600]  所以他就搞了一些
[00:01:34.600 --> 00:01:37.500]  去荒野 郊野
[00:01:37.500 --> 00:01:39.560]  或者爬山的一些活動
[00:01:39.560 --> 00:01:43.500]  激發起團隊精神等等這些工作
[00:01:43.500 --> 00:01:48.200]  他寫了一些很有名的書
[00:01:48.200 --> 00:01:51.380]  其中有一本他提到一件事情
[00:01:51.380 --> 00:01:56.700]  他說耶穌基督那12個門徒都挺特別的
[00:01:56.700 --> 00:02:01.460]  他就用了一個很有創意的描寫
[00:02:01.460 --> 00:02:04.720]  他好像一個完全虛構的事情
[00:02:04.720 --> 00:02:06.920]  就將現代人的眼光
[00:02:06.920 --> 00:02:11.380]  去看看耶穌基督召集12個門徒的情況是怎樣
[00:02:11.380 --> 00:02:13.880]  他就用一個比喻
[00:02:13.880 --> 00:02:19.240]  好像當時耶穌基督開始要建立天國的事業
[00:02:19.240 --> 00:02:22.380]  現在現代的人好像去看看祂
[00:02:22.380 --> 00:02:26.100]  究竟祂的門徒有沒有這樣的能力幫祂呢?
[00:02:26.100 --> 00:02:27.580]  於是他就這樣的
[00:02:27.580 --> 00:02:31.220]  他這個虛構的一段事情就是這樣
[00:02:31.220 --> 00:02:34.720]  主耶穌就將這12位
[00:02:34.720 --> 00:02:38.500]  他認為可以跟他一起去努力在天國的事工裏面
[00:02:38.500 --> 00:02:41.300]  那些的履歷就交給一間叫做
[00:02:41.300 --> 00:02:45.340]  約旦人事管理公司的諮詢的公司
[00:02:45.340 --> 00:02:51.220]  就讓他們看看究竟這個天國的事業能夠可不可以成就
[00:02:51.220 --> 00:02:54.060]  這個公司就看看
[00:02:54.060 --> 00:02:57.820]  接著就是回覆主耶穌
[00:02:57.820 --> 00:02:59.700]  他就說 耶穌先生
[00:02:59.700 --> 00:03:04.180]  我們這間公司經過電腦的分析
[00:03:04.180 --> 00:03:12.260]  和一班的心理學家和一些很資深的職業顧問
[00:03:12.260 --> 00:03:17.840]  就是逐個問過你那12位的門徒那些人
[00:03:17.840 --> 00:03:20.140]  我們就有這樣的建議
[00:03:20.140 --> 00:03:25.320]  就建議說 根據這些資料我們了解
[00:03:25.320 --> 00:03:31.280]  其實大部份你的門徒無論在背景、學歷、能力
[00:03:31.280 --> 00:03:35.400]  都不足夠幫你去建立這麼宏偉的事業的
[00:03:35.400 --> 00:03:39.000]  還有他們好像沒有團隊的意識
[00:03:39.000 --> 00:03:45.600]  所以我建議你不如你再去做一些調查
[00:03:45.600 --> 00:03:50.700]  找一些有資歷高一些的、能力強一些的人去幫你
