
[00:00:00.000 --> 00:00:05.500]  昨天剛剛是馬丁奴德宗教改革的五百週年的時間
[00:00:05.500 --> 00:00:06.500]  可能大家都知道
[00:00:06.500 --> 00:00:10.000]  在15、17年10月31號
[00:00:10.000 --> 00:00:11.500]  不是萬聖節
[00:00:11.500 --> 00:00:13.000]  在那個日子裏面
[00:00:13.000 --> 00:00:15.000]  馬丁奴德將95條
[00:00:15.000 --> 00:00:20.000]  貼出來開展了改革的運動
[00:00:20.000 --> 00:00:22.000]  我不知道大家知不知道
[00:00:22.000 --> 00:00:25.500]  在改革運動裏面
[00:00:25.500 --> 00:00:29.500]  羅馬書是起了一個非常關鍵的作用
[00:00:29.500 --> 00:00:32.000]  在改革運動之前一段時間
[00:00:32.000 --> 00:00:37.000]  亦都影響為了改革運動鋪路的一位先賢
[00:00:37.000 --> 00:00:44.000]  叫做William Tindall
[00:00:44.000 --> 00:00:47.000]  他是一個英國的改革的先鋒
[00:00:47.000 --> 00:00:49.000]  他說羅馬書好像什麼呢
[00:00:49.000 --> 00:00:54.000]  羅馬書就好像是最好的屬靈的原則
[00:00:54.000 --> 00:00:56.000]  和整個新約聖經裏面
[00:00:56.000 --> 00:00:58.000]  他認為最重要的一部分
[00:00:58.000 --> 00:01:01.000]  馬丁奴德自己都這樣說
[00:01:01.000 --> 00:01:05.000]  他說羅馬書是值得每一個基督徒
[00:01:05.000 --> 00:01:08.000]  認真的每一個字去重讀
[00:01:08.000 --> 00:01:11.000]  和能夠時時的溫習
[00:01:11.000 --> 00:01:16.000]  好像我們為靈魂需要的麵包一樣
[00:01:16.000 --> 00:01:20.000]  你永遠不會覺得讀得太多羅馬書
[00:01:20.000 --> 00:01:23.000]  因為當你讀得越多的時間
[00:01:23.000 --> 00:01:25.000]  你越得到裏面的寶藏
[00:01:25.000 --> 00:01:30.000]  和越領受到那種的滋味
[00:01:30.000 --> 00:01:32.000]  羅馬書可以說
[00:01:32.000 --> 00:01:33.000]  因信稱義
[00:01:33.000 --> 00:01:36.000]  這個信息是聖經裏面最清楚捲的書
[00:01:36.000 --> 00:01:37.000]  亦都因為這個緣故
[00:01:37.000 --> 00:01:41.000]  所以馬丁奴德開始了整個改革運動
[00:01:41.000 --> 00:01:43.000]  我在這七晚裏面
[00:01:43.000 --> 00:01:46.000]  我希望透過羅馬書第五到第八章
[00:01:46.000 --> 00:01:47.000]  當然我們的時間關係
[00:01:47.000 --> 00:01:48.000]  我們不能夠所有都說
[00:01:48.000 --> 00:01:50.000]  我們由第五到第八章
[00:01:50.000 --> 00:01:53.000]  和大家一齊來思想羅馬書的信息
[00:01:53.000 --> 00:01:56.000]  羅馬書的信五到第八章
[00:01:56.000 --> 00:01:59.000]  是說基督徒因信稱義之後
[00:01:59.000 --> 00:02:01.000]  跟著我們怎樣成長呢
[00:02:01.000 --> 00:02:03.000]  我們仍然在這個世界上
[00:02:03.000 --> 00:02:05.000]  等候著主榮耀的再來
[00:02:05.000 --> 00:02:07.000]  在這幾章聖經裏面
