
[00:00:00.000 --> 00:00:03.200]  他形容一個寡婦
[00:00:03.200 --> 00:00:06.700]  寡婦和官有一個很大的對比
[00:00:06.700 --> 00:00:08.960]  當時的寡婦是什麼
[00:00:08.960 --> 00:00:12.140]  弱勢社群的很弱勢的
[00:00:12.140 --> 00:00:14.880]  沒有面子、沒有錢、沒有地位
[00:00:14.880 --> 00:00:18.660]  而且是很辛苦的工作
[00:00:18.660 --> 00:00:22.220]  都沒有工作,可能還要求黑
[00:00:22.220 --> 00:00:23.820]  然後就去生活
[00:00:23.820 --> 00:00:25.340]  所以有一個很大的對比
[00:00:25.340 --> 00:00:27.080]  一個人有權有勢
[00:00:27.080 --> 00:00:29.240]  但一個是很弱勢的人
[00:00:29.240 --> 00:00:30.800]  而且是女士
[00:00:30.800 --> 00:00:34.320]  然後他就和這個官說
[00:00:34.320 --> 00:00:37.160]  時常去找這個官說
[00:00:37.160 --> 00:00:40.720]  這個時常是一日三餐
[00:00:40.720 --> 00:00:42.760]  還是三日一次,不知道
[00:00:42.760 --> 00:00:44.940]  總之經常這樣去做
[00:00:44.940 --> 00:00:47.280]  去求他一件事是什麼
[00:00:47.280 --> 00:00:49.000]  我有一個對頭
[00:00:49.000 --> 00:00:51.520]  你跟我伸冤
[00:00:51.520 --> 00:00:53.920]  這個對頭就是得罪他
[00:00:53.920 --> 00:00:55.920]  或者是有些事情對他不好
[00:00:55.920 --> 00:00:58.240]  伸冤不是要他報復
[00:00:58.240 --> 00:01:00.240]  而是要伸張公義
[00:01:00.240 --> 00:01:03.080]  就是他覺得有些事情被不公平對待
[00:01:03.080 --> 00:01:05.520]  所以找這個官審判
[00:01:05.520 --> 00:01:08.280]  來處置公道
[00:01:08.280 --> 00:01:11.960]  聖經就說這個官多日不理他
[00:01:11.960 --> 00:01:13.760]  多日我們不知道是幾日
[00:01:13.760 --> 00:01:14.960]  其實是很久了
[00:01:14.960 --> 00:01:16.960]  不理他
[00:01:16.960 --> 00:01:18.720]  不理他很久了
[00:01:18.720 --> 00:01:20.800]  但這個官心裡面都
[00:01:20.800 --> 00:01:22.080]  怎麼想
[00:01:22.080 --> 00:01:24.080]  接著一句聖經說什麼
[00:01:24.080 --> 00:01:27.000]  我雖然完全不怕上帝
[00:01:27.000 --> 00:01:29.600]  根本不理,又沒有什麼報應
[00:01:29.600 --> 00:01:32.480]  我又對世人完全不尊重
[00:01:32.480 --> 00:01:35.440]  我都不用理人,我有權有勢
[00:01:35.440 --> 00:01:38.080]  不過這個寡婦
[00:01:38.080 --> 00:01:41.680]  時常來煩擾我
[00:01:41.680 --> 00:01:44.920]  而且還鉗磨我
[00:01:44.920 --> 00:01:46.920]  他這麼說的
[00:01:46.920 --> 00:01:48.920]  所以這個官怕煩擾
