
[00:00:00.000 --> 00:00:09.000]  請各位再一次翻開聖經羅馬書第八章
[00:00:09.000 --> 00:00:13.000]  剛剛所讀的是當代的聖經的譯本
[00:00:13.000 --> 00:00:20.000]  由我們翻開我們手上的聖經羅馬書第八章
[00:00:20.000 --> 00:00:23.000]  我們有一個簡短的祈禱
[00:00:23.000 --> 00:00:26.000]  天父上帝每一次我們來到你的面前
[00:00:26.000 --> 00:00:29.000]  就是在每一次我們去敬拜、侍奉的時候
[00:00:29.000 --> 00:00:33.000]  神祢會向我們顯露祢自己的心意
[00:00:33.000 --> 00:00:37.000]  藉著祢自己的話語去光照我們的內心
[00:00:37.000 --> 00:00:40.000]  讓我們知道我們要怎樣去走
[00:00:40.000 --> 00:00:43.000]  能夠滿足神祢自己的心意
[00:00:43.000 --> 00:00:46.000]  求主賜福以下的時間
[00:00:46.000 --> 00:00:52.000]  讓我們說的和聽的都有一個受教的心
[00:00:52.000 --> 00:00:57.000]  祈禱奉聖父、聖子、聖靈的名
[00:00:57.000 --> 00:01:00.000]  Amen
[00:01:00.000 --> 00:01:03.000]  在美國有一單這樣的新聞
[00:01:03.000 --> 00:01:08.000]  大概在1995年的時間
[00:01:08.000 --> 00:01:16.000]  有一個女士突然間接到一封信
[00:01:16.000 --> 00:01:21.000]  那封信是一名男子寄給她的
[00:01:21.000 --> 00:01:27.000]  向她認錯
[00:01:27.000 --> 00:01:29.000]  是何時做錯事呢?
[00:01:29.000 --> 00:01:34.000]  是在21年前
[00:01:34.000 --> 00:01:37.000]  他寫了一封信給這位女士叫Lisa
[00:01:37.000 --> 00:01:41.000]  向她認錯
[00:01:41.000 --> 00:01:46.000]  原來就是在21年前
[00:01:46.000 --> 00:01:51.000]  當在維珍尼亞州的這位少女
[00:01:51.000 --> 00:01:54.000]  她剛剛讀大學的時候
[00:01:54.000 --> 00:02:00.000]  在迎新的派對結束了之後
[00:02:00.000 --> 00:02:06.000]  她可能被人下了迷藥或者灌醉了
[00:02:06.000 --> 00:02:09.000]  到了第二天早上起床的時候
[00:02:09.000 --> 00:02:14.000]  她就發覺被人強姦了
[00:02:14.000 --> 00:02:17.000]  都不知道被誰強姦了
[00:02:17.000 --> 00:02:20.000]  都不知道被多少人強姦了
[00:02:20.000 --> 00:02:23.000]  就是發生了一件這樣的事
[00:02:23.000 --> 00:02:25.000]  而這樣的事情
[00:02:25.000 --> 00:02:28.000]  在校園裡面迎新日
[00:02:28.000 --> 00:02:31.000]  而有新生被人強姦這些事
[00:02:31.000 --> 00:02:34.000]  在美國70年代、80年代
[00:02:34.000 --> 00:02:39.000]  我不可以說是很普遍會發生
[00:02:39.000 --> 00:02:41.000]  過了21年
[00:02:41.000 --> 00:02:46.000]  突然間這位已經三十多歲的女士
[00:02:46.000 --> 00:02:51.000]  就收到一封這樣的信
[00:02:51.000 --> 00:02:53.000]  這封信是這樣寫的
[00:02:53.000 --> 00:02:57.000]  她說我傷害了你
[00:02:57.000 --> 00:03:01.000]  我過去做錯了
[00:03:01.000 --> 00:03:08.000]  我希望現在可以做一些對的事
[00:03:08.000 --> 00:03:12.000]  沒有人知道是誰做錯事
[00:03:12.000 --> 00:03:14.000]  是她自己知道
[00:03:14.000 --> 00:03:17.000]  原來這21年來
[00:03:17.000 --> 00:03:22.000]  這位男士為了自己所做的那件錯事
[00:03:22.000 --> 00:03:24.000]  是僅僅於懷
[00:03:24.000 --> 00:03:28.000]  成為了她自己的一件包袱
[00:03:28.000 --> 00:03:31.000]  有可能捆綁了她自己的內心
[00:03:31.000 --> 00:03:34.000]  一段很長的時間
[00:03:34.000 --> 00:03:37.000]  永遠都放不下
[00:03:37.000 --> 00:03:39.000]  她要做一些事
[00:03:39.000 --> 00:03:43.000]  令她能夠重獲自由
[00:03:43.000 --> 00:03:49.000]  不被罪捆綁的自由
[00:03:49.000 --> 00:03:51.000]  我們生活在香港
[00:03:51.000 --> 00:03:55.000]  一個高度自由的城市
[00:03:55.000 --> 00:03:59.000]  雖然我們的自由慢慢被蠶食
[00:03:59.000 --> 00:04:07.000]  但是我們仍然是在一個很自由的城市當中
[00:04:07.000 --> 00:04:10.000]  我們還在爭取更多的自由
[00:04:10.000 --> 00:04:12.000]  言論的自由
[00:04:12.000 --> 00:04:14.000]  經濟政治的自由
[00:04:14.000 --> 00:04:16.000]  普選特首的自由等等
[00:04:16.000 --> 00:04:21.000]  在我們這一班所謂的自由人
[00:04:21.000 --> 00:04:26.000]  其實我們是不是一個真真正正的自由的人呢
[00:04:26.000 --> 00:04:34.000]  有沒有去爭取我們的生命呢
[00:04:34.000 --> 00:04:42.000]  成為一個真正不會被一些罪惡捆綁
[00:04:42.000 --> 00:04:48.000]  被我們自己的一些罪惡約束著我們
[00:04:48.000 --> 00:04:51.000]  雖然我們是在一個自由的世界當中
[00:04:51.000 --> 00:04:55.000]  但是我們的內心又有沒有真正的自由呢
[00:04:55.000 --> 00:04:57.000]  好像不少的靈修神學家
[00:04:57.000 --> 00:04:59.000]  是這樣去形容
[00:04:59.000 --> 00:05:01.000]  說有很多人
[00:05:01.000 --> 00:05:09.000]  我們是在一個自由社會當中的一個失去自由的人
[00:05:09.000 --> 00:05:13.000]  我們可以自由去選擇我們做些什麼
[00:05:13.000 --> 00:05:15.000]  但是
[00:05:15.000 --> 00:05:17.000]  是不是真的有自由呢
[00:05:17.000 --> 00:05:21.000]  保羅他在他自己的經歷當中
[00:05:21.000 --> 00:05:25.000]  他都覺得他自己是失去了這種的自由
[00:05:25.000 --> 00:05:28.000]  我們很熟悉的在羅馬書第七章裏面
[00:05:28.000 --> 00:05:30.000]  保羅他自己的辯白
[00:05:30.000 --> 00:05:32.000]  七章十五節
[00:05:32.000 --> 00:05:33.000]  如果我用新的譯本呢
[00:05:33.000 --> 00:05:35.000]  就是這樣說的
[00:05:35.000 --> 00:05:38.000]  他說我不明白我自己的所作所為
[00:05:38.000 --> 00:05:42.000]  因為我一心想做的又做不到
[00:05:42.000 --> 00:05:44.000]  而我最討厭的惡事
[00:05:44.000 --> 00:05:47.000]  反而做了出來
[00:05:47.000 --> 00:05:50.000]  你有沒有試過
[00:05:50.000 --> 00:05:53.000]  在羅馬書七章二十三至二十四節
[00:05:53.000 --> 00:05:55.000]  保羅他自己的辯白
[00:05:55.000 --> 00:05:58.000]  他說我發覺在我的身體裏面
[00:05:58.000 --> 00:06:05.000]  有另外一個律和我的理智中的律在交戰
[00:06:05.000 --> 00:06:10.000]  這就是我身體裏面犯罪的律
[00:06:10.000 --> 00:06:13.000]  它將我俘虜了
[00:06:13.000 --> 00:06:15.000]  這是他自己的辯白
