
[00:00:00.000 --> 00:00:03.160]  我們其實那個年度去到尾聲
[00:00:03.160 --> 00:00:05.560]  快要一個新的年度的開始
[00:00:05.560 --> 00:00:09.200]  如果說教會的季題
[00:00:09.200 --> 00:00:12.680]  我想港台或者整個教會的進程
[00:00:12.680 --> 00:00:14.240]  其中一個我們的項目
[00:00:14.240 --> 00:00:17.840]  或者我們的焦點就是興起不同的人
[00:00:17.840 --> 00:00:19.240]  我就給了一個題目
[00:00:19.240 --> 00:00:24.440]  今天的經文叫幕後英雄
[00:00:24.440 --> 00:00:26.760]  不是很多人在幕前的
[00:00:26.760 --> 00:00:28.040]  如果你看一場戲
[00:00:28.040 --> 00:00:29.080]  看一齣話劇
[00:00:29.080 --> 00:00:30.640]  看一場音樂會
[00:00:30.640 --> 00:00:32.200]  看一個人的表演
[00:00:32.200 --> 00:00:34.680]  你看到幕前有人
[00:00:34.680 --> 00:00:37.800]  當然你都知道幕後有很多人
[00:00:37.800 --> 00:00:38.920]  如果沒有幕後的人
[00:00:38.920 --> 00:00:43.120]  幕前的人其實不可以這樣去展示
[00:00:43.120 --> 00:00:46.080]  可以去表達表演之類
[00:00:46.080 --> 00:00:49.040]  幕後有很多英雄
[00:00:49.040 --> 00:00:51.240]  想到這裡我就想起我們這個年紀
[00:00:51.240 --> 00:00:54.240]  可能我想起我們早一點的年代
[00:00:54.240 --> 00:00:55.240]  香港第一個
[00:00:55.240 --> 00:00:57.960]  不知道你記不記得拿過奧運金牌的
[00:00:57.960 --> 00:00:59.960]  是哪位
[00:00:59.960 --> 00:01:01.360]  珊珊
[00:01:01.360 --> 00:01:04.680]  當然不是在加拿大的Anita
[00:01:04.680 --> 00:01:07.520]  雖然我也很想她拿金牌
[00:01:07.520 --> 00:01:10.240]  但是李麗珊是香港幾個光榮
[00:01:10.240 --> 00:01:14.200]  當年我記得她拿風帆的金牌的時候
[00:01:14.200 --> 00:01:16.920]  報很多傳媒的報道
