
[00:00:00.000 --> 00:00:02.000]  先大家低頭 同心去禱告
[00:00:02.000 --> 00:00:04.000]  天會上帝 我們多謝祢的恩典
[00:00:04.000 --> 00:00:06.000]  祢的慈愛永遠長存
[00:00:06.000 --> 00:00:08.000]  願祢的聖靈就這樣來到與我們同在
[00:00:08.000 --> 00:00:10.000]  幫助我們 藉著祢的道
[00:00:10.000 --> 00:00:13.000]  明白得到祢對我們每一個的呼召和揀選
[00:00:13.000 --> 00:00:15.000]  並且這樣來到活出來
[00:00:15.000 --> 00:00:17.000]  聖靈啊 求祢與我們同在
[00:00:17.000 --> 00:00:20.000]  如此同心祈禱 奉耶穌名求
[00:00:20.000 --> 00:00:21.000]  阿們
[00:00:21.000 --> 00:00:23.000]  我不知道大家記不記得這宗新聞
[00:00:23.000 --> 00:00:26.000]  就是去年的時候 在深圳有一座大廈
[00:00:26.000 --> 00:00:29.000]  不知什麼原因 不停地來遙訪
[00:00:29.000 --> 00:00:32.000]  身處大廈裡面的人感覺到之餘
[00:00:32.000 --> 00:00:35.000]  身邊的市民肉眼都看到那座大廈搖搖晃晃
[00:00:35.000 --> 00:00:37.000]  其實應該很驚嚇才對
[00:00:37.000 --> 00:00:39.000]  誰知成為了城市奇景
[00:00:39.000 --> 00:00:42.000]  個個走去打卡 個個走去拍照
[00:00:42.000 --> 00:00:44.000]  拍視頻 看看那座大廈怎麼搖
[00:00:44.000 --> 00:00:46.000]  當然其實都危險的
[00:00:46.000 --> 00:00:48.000]  因為倒塌了就死傷眾多
[00:00:48.000 --> 00:00:50.000]  所以後來市政府都決定要疏散那些人
[00:00:50.000 --> 00:00:54.000]  不可以再在那裡圍聚
[00:00:54.000 --> 00:00:56.000]  這件事令我想到
[00:00:56.000 --> 00:01:01.000]  想不到今時今日 應該是很先進的建築專業
[00:01:01.000 --> 00:01:06.000]  原來大廈都可以有根基不穩的情況
[00:01:06.000 --> 00:01:09.000]  萬丈高樓 尾輪尾換都好
[00:01:09.000 --> 00:01:14.000]  原來你的基礎不好 隨時都有倒塌的危險
[00:01:14.000 --> 00:01:16.000]  提到建築物 我想起彼得
[00:01:16.000 --> 00:01:18.000]  都是用建築物來比喻教會
[00:01:18.000 --> 00:01:20.000]  一個零工
[00:01:20.000 --> 00:01:25.000]  來說明上帝這個群體應該怎樣活出上帝的心意
[00:01:25.000 --> 00:01:27.000]  今天我們看這段經文
[00:01:27.000 --> 00:01:30.000]  是節錄自彼得前書
[00:01:30.000 --> 00:01:33.000]  第二章我們很熟悉的
[00:01:33.000 --> 00:01:34.000]  四到八節
[00:01:34.000 --> 00:01:36.000]  他說主是活石
[00:01:36.000 --> 00:01:37.000]  雖然被人欺絕
[00:01:37.000 --> 00:01:39.000]  卻是神所揀選是珍貴的
[00:01:39.000 --> 00:01:41.000]  你們來到他面前都像活石
