
[00:00:00.000 --> 00:00:06.600]  大家知道這兩個星期我們開始了一個新的講道系列
[00:00:06.600 --> 00:00:09.600]  是講到珍惜眼前的人
[00:00:09.600 --> 00:00:11.100]  在我們眼前其實有很多人
[00:00:11.100 --> 00:00:12.800]  你不需要每個人都珍惜
[00:00:12.800 --> 00:00:17.900]  不過第一個我們講的是珍惜天父上帝
[00:00:17.900 --> 00:00:20.300]  因為沒有天父上帝我們甚麼都沒有
[00:00:20.300 --> 00:00:23.000]  如果你是基督徒你明白我的意思
[00:00:23.000 --> 00:00:27.000]  上個星期我們講的是珍惜你的配偶
[00:00:27.000 --> 00:00:32.400]  今個星期我們看看一個題目
[00:00:32.400 --> 00:00:34.600]  記憶中的小腳
[00:00:34.600 --> 00:00:36.400]  我第一次看的時候是甚麼來的
[00:00:36.400 --> 00:00:38.800]  我都要問一問我們這些設計的人
[00:00:38.800 --> 00:00:40.600]  原來是一首歌來的
[00:00:40.600 --> 00:00:42.600]  先聽一聽這首歌
[00:00:57.600 --> 00:01:02.800]  一生把愛交給他
[00:01:02.800 --> 00:01:08.400]  只為那一首歌
[00:01:08.400 --> 00:01:13.400]  時間到處徘徊
[00:01:13.400 --> 00:01:19.800]  還沒好好感受年輕就老了
[00:01:19.800 --> 00:01:25.400]  生兒養女一輩子
[00:01:25.400 --> 00:01:29.800]  男老虎都是孩子哭了笑了
[00:01:29.800 --> 00:01:34.800]  時間都去老了
[00:01:34.800 --> 00:01:38.800]  這首歌的名字其實是「時間都去那兒了」
[00:01:38.800 --> 00:01:42.200]  就是講到怎樣父母親看著他們的小孩
[00:01:42.200 --> 00:01:47.200]  由嬰兒開始慢慢成長的過程當中所經歷的一切
[00:01:47.200 --> 00:01:49.800]  大家知道其實就算你沒有小孩也好
[00:01:49.800 --> 00:01:54.200]  養兒育女不是一件很簡單的事
[00:01:54.200 --> 00:01:56.400]  一般來說
[00:01:56.400 --> 00:01:58.000]  我不敢說是絕對的
[00:01:58.000 --> 00:02:00.400]  一般來說我們做父母親的
[00:02:00.400 --> 00:02:04.200]  對自己的子女都是盡心盡力地去愛他們的
[00:02:04.200 --> 00:02:05.600]  是不是這樣
