
[00:00:00.000 --> 00:00:04.000]  各位親愛的弟兄姊妹,願你們平安。
[00:00:04.000 --> 00:00:09.000]  我們在聽到之前,我們同心的再次低頭祈禱。
[00:00:09.000 --> 00:00:13.000]  愛我們的天父,我們感謝你,
[00:00:13.000 --> 00:00:20.000]  因為你是那位很樂意,將你自己向我們啟示的信。
[00:00:20.000 --> 00:00:24.000]  如果不是你自己來揭示你自己,
[00:00:24.000 --> 00:00:28.000]  我們沒有辦法能夠真正的認識你。
[00:00:28.000 --> 00:00:30.000]  所以我們在這一刻,
[00:00:30.000 --> 00:00:35.000]  我們懇求你透過你自己的華語藉著聖靈,
[00:00:35.000 --> 00:00:40.000]  親自的向我們每一個人講說話。
[00:00:40.000 --> 00:00:42.000]  願我口裡的言語,
[00:00:42.000 --> 00:00:45.000]  願眾弟兄姊妹心裡的意念,
[00:00:45.000 --> 00:00:49.000]  在你的面前蒙你越南,
[00:00:49.000 --> 00:00:52.000]  也求你幫助我們無論說的、聽的,
[00:00:52.000 --> 00:00:56.000]  在你的面前同德造就。
[00:00:56.000 --> 00:00:58.000]  簡單的祈禱、交托、感恩,
[00:00:58.000 --> 00:01:00.000]  是奉耶穌基督的命。
[00:01:00.000 --> 00:01:02.000]  阿們。
[00:01:02.000 --> 00:01:04.000]  我們今天的講題是:
[00:01:04.000 --> 00:01:08.000]  活出生生命、生生活。
[00:01:08.000 --> 00:01:11.000]  各位弟兄姊妹,我們要知道,
[00:01:11.000 --> 00:01:17.000]  我們之所以有這個生生命、生生活,
[00:01:17.000 --> 00:01:21.000]  是神祂自己的賞賜。
[00:01:21.000 --> 00:01:25.000]  而祂將這個生生命賞賜給我們,
[00:01:25.000 --> 00:01:31.000]  完全是出於神祂對我們的大愛。
[00:01:31.000 --> 00:01:36.000]  而神祂是很想我們能夠是滿有信心的,
[00:01:36.000 --> 00:01:38.000]  是空有成足的,
[00:01:38.000 --> 00:01:40.000]  是很有把握的,
[00:01:40.000 --> 00:01:46.000]  來將祂自己親自保證給我們這個生生命、
[00:01:46.000 --> 00:01:50.000]  生生活來活出來。
[00:01:50.000 --> 00:01:53.000]  所以如果我們說我們要愛神,
[00:01:53.000 --> 00:01:56.000]  我們就要活出這個生命。
[00:01:56.000 --> 00:01:59.000]  而我們之所以有把握,
[00:01:59.000 --> 00:02:01.000]  能夠活出這個生命,
[00:02:01.000 --> 00:02:08.000]  是因為神祂自己親自對我們作出很多的保證。
[00:02:08.000 --> 00:02:11.000]  在今天我們所看的經文裏面,
[00:02:11.000 --> 00:02:15.000]  起碼有三個很重要的保證。
[00:02:15.000 --> 00:02:19.000]  第一,我們是有永生的保證,
[00:02:19.000 --> 00:02:23.000]  即是神祂親自的保證,
[00:02:23.000 --> 00:02:26.000]  我們是能夠活出新生命、新生活的。
[00:02:26.000 --> 00:02:31.000]  第二,我們的禱告是有夢、垂聽,
[00:02:31.000 --> 00:02:33.000]  以及夢神應運的保證。
[00:02:33.000 --> 00:02:41.000]  第三,我們的生命是有夢神來跟身改變,
[00:02:41.000 --> 00:02:45.000]  以及被祂保護的保證。
[00:02:45.000 --> 00:02:48.000]  我們先看第一個保證。
[00:02:48.000 --> 00:02:52.000]  約翰寫《約翰福音》的時候,
[00:02:52.000 --> 00:02:57.000]  他在結尾第二十章第三十一節裏面,
[00:02:57.000 --> 00:02:59.000]  清楚地說了,
[00:02:59.000 --> 00:03:02.000]  他寫《約翰福音》是有一個目的的。
[00:03:02.000 --> 00:03:04.000]  經文裏面是這樣說的,
[00:03:04.000 --> 00:03:06.000]  「但記者這些事,
[00:03:06.000 --> 00:03:11.000]  是要叫你們信耶穌是基督是神的兒子,
[00:03:11.000 --> 00:03:13.000]  並且叫你們信祂,
[00:03:13.000 --> 00:03:16.000]  就可以因祂得生命。」
[00:03:16.000 --> 00:03:19.000]  所以,約翰寫《約翰福音》的時候,
[00:03:19.000 --> 00:03:21.000]  他寫信的目的,
[00:03:21.000 --> 00:03:25.000]  是要叫我們信耶穌而得生命。
[00:03:25.000 --> 00:03:29.000]  至於他寫《約翰一書》的目的,
[00:03:29.000 --> 00:03:34.000]  就在第五章第十三節裏面說得很清楚。
[00:03:34.000 --> 00:03:38.000]  他說:「我將這些話寫給你們,
[00:03:38.000 --> 00:03:41.000]  信奉神兒子之名的人,
[00:03:41.000 --> 00:03:46.000]  是要叫你們知道自己有永生。」
[00:03:46.000 --> 00:03:48.000]  約翰在這段經文游誓,
[00:03:48.000 --> 00:03:51.000]  十三節一直到二十一節,
[00:03:51.000 --> 00:03:54.000]  總共用了六個「知道」,
[00:03:54.000 --> 00:03:57.000]  而十三節就是第一個「知道」。
[00:03:57.000 --> 00:03:59.000]  他說:「我寫信的目的,
[00:03:59.000 --> 00:04:04.000]  是要叫你們知道自己有永生,
[00:04:04.000 --> 00:04:07.000]  是要叫你們有確信自己有永生,
[00:04:07.000 --> 00:04:09.000]  是要叫你們有把握,
[00:04:09.000 --> 00:04:14.000]  能夠活出這個新生命,新生活。」
[00:04:14.000 --> 00:04:17.000]  我們之所以有這樣的把握,
[00:04:17.000 --> 00:04:21.000]  根據第十三節這一節的經文,
[00:04:21.000 --> 00:04:23.000]  原來告訴我們,
[00:04:23.000 --> 00:04:26.000]  有兩個基礎,
[00:04:26.000 --> 00:04:34.000]  我們這個保證是建基在兩個非常重要的基礎上。
[00:04:34.000 --> 00:04:35.000]  第一個基礎,
[00:04:35.000 --> 00:04:40.000]  就是被聖靈密事,然後被書寫下來的聖言,
[00:04:40.000 --> 00:04:43.000]  就是神祂自己的話語,
[00:04:43.000 --> 00:04:45.000]  也就是我們手裡的聖經。
[00:04:45.000 --> 00:04:47.000]  而第二個基礎,
[00:04:47.000 --> 00:04:52.000]  就是被聖靈感人而導誠肉身的聖子,
[00:04:52.000 --> 00:04:53.000]  主耶穌基督,
[00:04:53.000 --> 00:04:58.000]  以及祂所成就的工作。
[00:04:58.000 --> 00:05:04.000]  唯有透過神祂自己在這兩方面的啟示,
[00:05:04.000 --> 00:05:08.000]  以及聖靈在我們生命裡面的工作,
[00:05:08.000 --> 00:05:12.000]  我們才能夠真正的認識神,
[00:05:12.000 --> 00:05:14.000]  認識祂自己的真理,
[00:05:14.000 --> 00:05:17.000]  認識祂說過什麼話,
[00:05:17.000 --> 00:05:19.000]  認識祂的作為,
[00:05:19.000 --> 00:05:23.000]  認識祂對我們作出的每一個的應許,
[00:05:23.000 --> 00:05:27.000]  每一個的保證。
[00:05:27.000 --> 00:05:32.000]  約翰說:「我們既然領受人的見證,
[00:05:32.000 --> 00:05:38.000]  神的見證就更應該領受。」
[00:05:38.000 --> 00:05:43.000]  通常我們都會聽聽人的一些意見,
[00:05:43.000 --> 00:05:47.000]  或者對一些事情的評價。
[00:05:47.000 --> 00:05:51.000]  我們領不領受那個人的見證呢?
[00:05:51.000 --> 00:05:57.000]  就要視乎我們是否信得過那個人。
[00:05:57.000 --> 00:06:02.000]  那個人的資料來源是否可信可靠。
[00:06:02.000 --> 00:06:08.000]  尤其是我們身處在一個充斥著很多假新聞,
[00:06:08.000 --> 00:06:10.000]  以及假資訊的年代,
[00:06:10.000 --> 00:06:14.000]  我們需要去找那些信得過,
[00:06:14.000 --> 00:06:19.000]  有公信力的資訊、資料來源,
[00:06:19.000 --> 00:06:24.000]  以致我們能夠作出自己的判斷。
[00:06:24.000 --> 00:06:28.000]  例如,我們去找餐廳吃東西,
[00:06:28.000 --> 00:06:32.000]  或者我們上網做網購,
[00:06:32.000 --> 00:06:36.000]  甚至你去計劃你的旅行,
