
[00:00:00.000 --> 00:00:05.000]  合一是很難的,因為合一是違背人性的。
[00:00:05.000 --> 00:00:10.000]  最近有一個公圍劇,電視劇,剛剛才完結,
[00:00:10.000 --> 00:00:16.000]  裡面有一句對話,在這個以如我詐的人性關係當中,
[00:00:16.000 --> 00:00:19.000]  都不知道誰是真心的時候,
[00:00:19.000 --> 00:00:25.000]  皇后就說,我不是信這個人,我是信人性。
[00:00:25.000 --> 00:00:29.000]  人的表現可以騙到很多人,
[00:00:29.000 --> 00:00:32.000]  可以裝得好似好似,
[00:00:32.000 --> 00:00:36.000]  但是當人在某一個處境,人性就會出現。
[00:00:36.000 --> 00:00:40.000]  姑恥,皇后就是用人性,
[00:00:40.000 --> 00:00:44.000]  她想認識人性會是怎樣的,你去辨別,
[00:00:44.000 --> 00:00:47.000]  這個人所講的是不是真的。
[00:00:47.000 --> 00:00:55.000]  人性就是這樣的,分高低分你我,是人性來的。
[00:00:55.000 --> 00:01:03.000]  紛爭、結黨、競爭,就是常態。
[00:01:03.000 --> 00:01:07.000]  怎樣才可以離開人性呢?
[00:01:07.000 --> 00:01:11.000]  一定是有一個更高的理想,
[00:01:11.000 --> 00:01:14.000]  或者是更偉大的渴望,
[00:01:14.000 --> 00:01:17.000]  人的人性才能夠放得低。
[00:01:17.000 --> 00:01:22.000]  中華基督教會孕育在一個危機裡面,
[00:01:22.000 --> 00:01:27.000]  當時可以追溯到1918年,
[00:01:27.000 --> 00:01:30.000]  因為我們剛剛慶祝完創會100週年,
[00:01:30.000 --> 00:01:32.000]  當時有一個五四運動,
[00:01:32.000 --> 00:01:36.000]  在當中的青年人,他們的民族意識高漲,
[00:01:36.000 --> 00:01:40.000]  因為當時的中國是很弱,
[00:01:40.000 --> 00:01:43.000]  甚至有人去懷疑,
[00:01:43.000 --> 00:01:47.000]  基督教是帝國主義文化的侵略工具,
[00:01:47.000 --> 00:01:52.000]  是那些分割中國領土的一班洋人,
[00:01:52.000 --> 00:01:57.000]  他們以一個宗教的形式進入去,
[00:01:57.000 --> 00:02:00.000]  然後搶奪土地。
[00:02:00.000 --> 00:02:03.000]  教會裡面有遠見的教會領袖,
[00:02:03.000 --> 00:02:09.000]  他們很看見基督教信仰必須要本色化,
[00:02:09.000 --> 00:02:12.000]  由華人來管治,
[00:02:12.000 --> 00:02:14.000]  由華人來經營,
[00:02:14.000 --> 00:02:17.000]  也由華人來傳道。
[00:02:17.000 --> 00:02:20.000]  於是,
[00:02:20.000 --> 00:02:24.000]  好一班有遠見的信徒領袖就坐下來,
[00:02:24.000 --> 00:02:32.000]  一起締造了中華基督教會的模樣,
[00:02:32.000 --> 00:02:34.000]  起初的模式。
[00:02:34.000 --> 00:02:37.000]  走在一起的時候,
[00:02:37.000 --> 00:02:39.000]  可以怎樣談下去呢?
[00:02:39.000 --> 00:02:45.000]  唯有放棄那些不同的,
[00:02:45.000 --> 00:02:48.000]  去強調在當中同的地方。
[00:02:48.000 --> 00:02:51.000]  故此我們有三條信仰大綱,
[00:02:51.000 --> 00:02:53.000]  可能大家都識念,
[00:02:53.000 --> 00:02:55.000]  第一條信仰大綱是
[00:02:55.000 --> 00:02:57.000]  信仰基督耶穌為贖罪之救主,
[00:02:57.000 --> 00:02:59.000]  為教會的基礎,
[00:02:59.000 --> 00:03:00.000]  為基督之國,
[00:03:00.000 --> 00:03:01.000]  普見於世,
[00:03:01.000 --> 00:03:03.000]  為目的。
[00:03:03.000 --> 00:03:07.000]  第一條一起的就是信仰耶穌基督,
[00:03:07.000 --> 00:03:09.000]  第二條,
[00:03:09.000 --> 00:03:11.000]  接納舊生兩約的聖經,
[00:03:11.000 --> 00:03:13.000]  為上主之言,
[00:03:13.000 --> 00:03:14.000]  因靈感而成,
[00:03:14.000 --> 00:03:18.000]  為吾人信仰及本分無上的準則。
[00:03:18.000 --> 00:03:20.000]  第二條就是聖經,
[00:03:20.000 --> 00:03:22.000]  沒有一個基督徒群體,
[00:03:22.000 --> 00:03:24.000]  不是跟隨基督耶穌,
[00:03:24.000 --> 00:03:26.000]  或者不是讀聖經的。
[00:03:26.000 --> 00:03:28.000]  第三條信仰綱要就是,
[00:03:28.000 --> 00:03:30.000]  承認使徒信經,
[00:03:30.000 --> 00:03:33.000]  堪以表示正宗教會信仰的要道,
[00:03:33.000 --> 00:03:37.000]  故此在我們的崇拜當中,每一次我們都讀使徒信經,
[00:03:37.000 --> 00:03:41.000]  使徒信經就是一個濃縮版的教義,
[00:03:41.000 --> 00:03:45.000]  在當中三位一體的主的工作,
[00:03:45.000 --> 00:03:47.000]  他們互相的關係,
[00:03:47.000 --> 00:03:49.000]  人的未來,
[00:03:49.000 --> 00:03:54.000]  就是在使徒信經當中很濃縮地,
[00:03:54.000 --> 00:03:59.000]  成為我們教義的濃縮版。
[00:03:59.000 --> 00:04:00.000]  沒錯,
[00:04:00.000 --> 00:04:02.000]  沒有一個教會不信仰耶穌基督,
[00:04:02.000 --> 00:04:04.000]  沒有一個教會不讀聖經,
[00:04:04.000 --> 00:04:07.000]  而在使徒信經當中的教義,
[00:04:07.000 --> 00:04:11.000]  也是所有教會都遵循,都確認,
[00:04:11.000 --> 00:04:14.000]  所以就放下所有不同的,
[00:04:14.000 --> 00:04:16.000]  尋求到這三點相同的地方,
[00:04:16.000 --> 00:04:18.000]  並且持守下去,
[00:04:18.000 --> 00:04:21.000]  成為了中華基督教會的三個信仰綱要。
[00:04:21.000 --> 00:04:23.000]  這是一個大智慧。
[00:04:23.000 --> 00:04:29.000]  中華基督教會孕育在一個危機當中,
[00:04:29.000 --> 00:04:32.000]  以致使徒去思考。
[00:04:32.000 --> 00:04:35.000]  今天我們所讀的兩段經文都在危機當中。
[00:04:35.000 --> 00:04:37.000]  第一段約翰福音,
[00:04:37.000 --> 00:04:40.000]  就是耶穌基督要告別這一班門徒,
[00:04:40.000 --> 00:04:42.000]  要準備登十字架。
[00:04:42.000 --> 00:04:45.000]  當耶穌基督離開這個世界,
[00:04:45.000 --> 00:04:47.000]  門徒怎樣繼續下去呢?
[00:04:47.000 --> 00:04:50.000]  所以耶穌基督有一個很長的對話,
[00:04:50.000 --> 00:04:52.000]  今天是選讀了四節。
[00:04:52.000 --> 00:04:57.000]  而另外一段希伯來書,
[00:04:57.000 --> 00:04:59.000]  希伯來書的危機在於,
[00:04:59.000 --> 00:05:04.000]  已經是主後一二世紀的群體,
[00:05:04.000 --> 00:05:09.000]  他們一直等候耶穌基督回來都未見,
[00:05:09.000 --> 00:05:12.000]  而且門徒已經離世,
[00:05:12.000 --> 00:05:15.000]  他們已經是第二代或者第三代信徒,
[00:05:15.000 --> 00:05:18.000]  怎樣去持守這個信仰呢?
