
[00:00:00.000 --> 00:00:03.880]  今天大家剛才都讀聖經的時候都知道了
[00:00:03.880 --> 00:00:08.720]  我們今天就會開始來講《哈該書》一卷新的書
[00:00:08.720 --> 00:00:12.080]  《哈該書》是舊約的小仙之書的其中一卷
[00:00:12.080 --> 00:00:17.040]  我相信可能都是一卷比較少人看的書
[00:00:17.040 --> 00:00:20.280]  《哈該書》基本上只有兩章的聖經
[00:00:20.280 --> 00:00:23.800]  是一段很短的書
[00:00:23.800 --> 00:00:25.240]  或者我問一下大家
[00:00:25.240 --> 00:00:28.160]  對於《哈該書》有多少人是讀過有印象的
[00:00:28.160 --> 00:00:32.680]  有沒有人讀過《哈該書》之後有印象大概知道它講什麼的
[00:00:32.680 --> 00:00:35.200]  好像都不是很多手 只有一兩隻手
[00:00:35.200 --> 00:00:42.600]  《哈該書》本身其實它是記載到一段非常特別的一段時期
[00:00:42.600 --> 00:00:52.000]  它當中所講的內容本身也都不是很長的時期
[00:00:52.000 --> 00:00:53.240]  是一段很短的
[00:00:53.240 --> 00:01:01.480]  就是在以色列人有一段的歷史就是他們國家亡國了
[00:01:01.480 --> 00:01:06.520]  當他們國家亡國之後他們就秘魯了
[00:01:06.520 --> 00:01:10.840]  而那一段是非常慘痛的一段歷史
[00:01:10.840 --> 00:01:15.680]  因為神答應了將迦南地
[00:01:15.680 --> 00:01:18.320]  應許之地來賜給他們
[00:01:18.320 --> 00:01:23.240]  他們一直以為那個地方是永遠都會住在那裏
[00:01:23.240 --> 00:01:24.320]  無論他們有多差
[00:01:24.320 --> 00:01:27.520]  但是神都是有愛有憐憫
[00:01:27.520 --> 00:01:35.040]  是不會將他們的國家完全給外邦人消滅的
[00:01:35.040 --> 00:01:37.480]  這個是一直以來他們的信念
[00:01:37.480 --> 00:01:39.840]  所以你看到在舊約的聖經那裏
[00:01:39.840 --> 00:01:41.560]  即使到了耶利米先知的時候
[00:01:41.560 --> 00:01:44.040]  耶利米說他們將來會亡國
[00:01:44.040 --> 00:01:47.320]  基本上很多人是不相信的
[00:01:47.320 --> 00:01:49.520]  甚至他們會迫害耶利米先知
[00:01:49.520 --> 00:01:51.440]  因為他們覺得這件事是不可能發生的
[00:01:51.440 --> 00:01:53.880]  你不要講這些令人氣餒的話
[00:01:53.880 --> 00:01:56.000]  神是慈愛的神
[00:01:56.000 --> 00:01:59.560]  怎麼會將我們的國家去毀滅呢
[00:01:59.560 --> 00:02:04.280]  但事實上後來發生的事
[00:02:04.280 --> 00:02:08.520]  當然就是好像耶利米先知的預言
[00:02:08.520 --> 00:02:10.040]  當巴比倫人
[00:02:10.040 --> 00:02:13.400]  上一次我們講哈伯谷書的時候都有講
[00:02:13.400 --> 00:02:20.160]  就是神用巴比倫人來將以色列和猶大兩個國家
[00:02:20.160 --> 00:02:23.840]  其實以色列是被亞述人消滅了
[00:02:23.840 --> 00:02:29.040]  然後猶大國也是被巴比倫國消滅了
[00:02:29.040 --> 00:02:32.280]  但是神有一個的應許
[00:02:32.280 --> 00:02:36.480]  當他們國家被毀滅之前
[00:02:36.480 --> 00:02:38.840]  神也將一個的應許
[00:02:38.840 --> 00:02:41.440]  藉著耶利米先知來跟他們講
[00:02:41.440 --> 00:02:45.840]  祂就說雖然你們會國破家亡
[00:02:45.840 --> 00:02:49.080]  這個是你們的懲罰來的
[00:02:49.080 --> 00:02:54.680]  是代表了我看到你們犯罪的時候
[00:02:54.680 --> 00:02:58.120]  我不會不理
[00:02:58.120 --> 00:03:02.280]  我也不會因為我是憐憫的神
