
[00:00:00.000 --> 00:00:02.620]  我們一直都在討論這個系列
[00:00:02.620 --> 00:00:04.620]  這次我們應該是第五講
[00:00:04.620 --> 00:00:06.400]  我們來討論鑄棚這件事
[00:00:06.400 --> 00:00:07.920]  鑄棚是什麼一回事呢?
[00:00:07.920 --> 00:00:08.880]  我們先看聖經
[00:00:08.880 --> 00:00:13.960]  然後大家可以思想一下這段聖經對我們今天有什麼意思
[00:00:13.960 --> 00:00:16.420]  還有講到最後的時候
[00:00:16.420 --> 00:00:19.620]  我會告訴大家有些講堂上的更新
[00:00:19.620 --> 00:00:21.580]  利美的二十三章這裡說什麼呢?
[00:00:21.580 --> 00:00:23.580]  他說你們對以色列人說
[00:00:23.580 --> 00:00:24.780]  神的子民
[00:00:24.780 --> 00:00:27.420]  他說你收藏了地的出產
[00:00:27.420 --> 00:00:29.140]  從七月十五日起
[00:00:29.140 --> 00:00:31.700]  要守耶和華的節有七天
[00:00:31.700 --> 00:00:33.140]  第一天你要休息
[00:00:33.140 --> 00:00:34.820]  第八天也要休息
[00:00:34.820 --> 00:00:35.940]  中間做什麼呢?
[00:00:35.940 --> 00:00:36.520]  第一天
[00:00:36.520 --> 00:00:41.020]  首先你要拿美好樹上的枝子、果子
[00:00:41.020 --> 00:00:43.060]  棕樹枝
[00:00:43.060 --> 00:00:45.420]  密茂樹的枝子
[00:00:45.420 --> 00:00:49.220]  還有河邊的楊柳等等
[00:00:49.220 --> 00:00:52.980]  就是拿一些草、樹枝
[00:00:52.980 --> 00:00:55.380]  在耶和華的神面前
[00:00:55.380 --> 00:00:57.740]  來去歡喜七天這麼多
[00:00:57.740 --> 00:00:59.780]  你要守節是七天的
[00:00:59.780 --> 00:01:01.100]  作為耶和華的節
[00:01:01.100 --> 00:01:04.340]  這個就是你們世世代代永遠的定例
[00:01:04.340 --> 00:01:06.580]  要在這七月
[00:01:06.580 --> 00:01:08.580]  守這個節日
[00:01:08.580 --> 00:01:11.420]  你們要住在棚裡面七天
[00:01:11.420 --> 00:01:15.140]  以色列人中凡本地的人都要住在棚內
[00:01:15.140 --> 00:01:16.460]  好讓你們世世代代知道
[00:01:16.460 --> 00:01:19.380]  我領以色列人出埃及的時候
[00:01:19.380 --> 00:01:21.220]  曾使他們住在棚內
[00:01:21.220 --> 00:01:22.300]  我是耶和華
[00:01:22.300 --> 00:01:23.060]  你的神
[00:01:23.060 --> 00:01:24.740]  我們說的這個大系列
[00:01:24.740 --> 00:01:28.140]  就是從創世紀開始直到聖經最後
