
[00:00:00.000 --> 00:00:05.000]  我們感謝神上個禮拜在這裡終止帶領我們
[00:00:05.000 --> 00:00:08.000]  神也聽我們的禱告
[00:00:08.000 --> 00:00:10.000]  祂也答應了我們的禱告
[00:00:10.000 --> 00:00:13.000]  我們也發現有些事情祂還沒有答應
[00:00:13.000 --> 00:00:17.000]  那我們就繼續禱告
[00:00:17.000 --> 00:00:20.000]  我們過去講到禱告
[00:00:20.000 --> 00:00:25.000]  禱告是基督徒的一種
[00:00:25.000 --> 00:00:28.000]  如果我們用普通話講就是習慣
[00:00:28.000 --> 00:00:31.000]  其實就像呼吸一樣
[00:00:31.000 --> 00:00:34.000]  就像一個人呼吸這麼自然
[00:00:34.000 --> 00:00:36.000]  如果你的呼吸
[00:00:36.000 --> 00:00:38.000]  你平常你不會想到呼吸的
[00:00:38.000 --> 00:00:41.000]  因為那是你很自然的一個生命的反應
[00:00:41.000 --> 00:00:46.000]  但是如果哪一天你覺得你的呼吸有問題了
[00:00:46.000 --> 00:00:49.000]  那就是你真的是出了問題了
[00:00:49.000 --> 00:00:51.000]  所以我們禱告也是一樣
[00:00:51.000 --> 00:00:53.000]  那禱告呢
[00:00:53.000 --> 00:00:56.000]  Pastor Tim Keller就是在紐約
[00:00:56.000 --> 00:00:58.000]  那這位牧師他就講
[00:00:58.000 --> 00:01:01.000]  他說禱告就像嬰兒學說話
[00:01:01.000 --> 00:01:03.000]  那你聽大人講
[00:01:03.000 --> 00:01:04.000]  一直講一直聽一直聽
[00:01:04.000 --> 00:01:07.000]  聽到有一天他就忽然怎麼樣
[00:01:07.000 --> 00:01:09.000]  他就會講話了
[00:01:09.000 --> 00:01:10.000]  為什麼呢
[00:01:10.000 --> 00:01:13.000]  因為他是人對不對
[00:01:13.000 --> 00:01:17.000]  那麼所以如果你想要你的小孩
[00:01:17.000 --> 00:01:19.000]  同時講三種語言的話
[00:01:19.000 --> 00:01:23.000]  那你最好從小就開始跟他講三種語言
[00:01:23.000 --> 00:01:25.000]  但是有一個情形會發生的
[00:01:25.000 --> 00:01:27.000]  就是他會一字不講話
[00:01:27.000 --> 00:01:29.000]  等到有一天呢
[00:01:29.000 --> 00:01:32.000]  忽然他三種語言都會講
[00:01:32.000 --> 00:01:36.000]  我就認識這麼樣一個人
[00:01:36.000 --> 00:01:37.000]  所以呢
[00:01:37.000 --> 00:01:39.000]  這個我們是先聽了
[00:01:39.000 --> 00:01:40.000]  我們才回應
[00:01:40.000 --> 00:01:42.000]  換句話講就是我們知道神
[00:01:42.000 --> 00:01:43.000]  我們認識這位神
[00:01:43.000 --> 00:01:44.000]  我們聽祂的話
[00:01:44.000 --> 00:01:46.000]  我們從聖經上面我們才會回應
[00:01:46.000 --> 00:01:48.000]  那我們另外還有一個問題
[00:01:48.000 --> 00:01:51.000]  就是禱告神到底聽不聽呢
[00:01:51.000 --> 00:01:53.000]  主耶穌在祂的禱告裡面
[00:01:53.000 --> 00:01:56.000]  祂告訴我們祂告訴祂的門徒
[00:01:56.000 --> 00:01:58.000]  祂說父一定會聽的
[00:01:58.000 --> 00:02:00.000]  因為我們是奉主耶穌的名
[00:02:00.000 --> 00:02:01.000]  奉子的名
[00:02:01.000 --> 00:02:03.000]  所以祂一定會回答我們
[00:02:03.000 --> 00:02:05.000]  祂也告訴我們
[00:02:05.000 --> 00:02:07.000]  我們跟祂之間跟神之間的禱告
[00:02:07.000 --> 00:02:09.000]  神會回答我們
[00:02:09.000 --> 00:02:10.000]  神會聽我們
[00:02:10.000 --> 00:02:12.000]  神也會答應我們的
