
[00:00:00.000 --> 00:00:05.380]  大家見到外面雨紛紛
[00:00:05.380 --> 00:00:08.960]  下午應該有個
[00:00:08.960 --> 00:00:11.780]  寒風會來到 所以大家就多穿件衣服
[00:00:11.780 --> 00:00:14.340]  今晚就保暖
[00:00:14.340 --> 00:00:19.960]  今天是顯現後的第三主日
[00:00:19.960 --> 00:00:22.780]  剛才大家都讀了福音經課
[00:00:22.780 --> 00:00:29.700]  有些人喜歡稱今天的經課是耶穌的第一次講道
[00:00:30.980 --> 00:00:32.760]  但是經課頭兩節
[00:00:32.760 --> 00:00:35.580]  大家可以看回經文就清楚看到
[00:00:35.580 --> 00:00:41.220]  我們知道耶穌其實已經在加利利地區在國會堂裡教訓人
[00:00:41.220 --> 00:00:44.800]  所以理論上路加記載的就不是耶穌
[00:00:44.800 --> 00:00:47.880]  初試提升的第一次講章
[00:00:47.880 --> 00:00:52.480]  因為耶穌已經是一個廣受人歡迎的講員
[00:00:52.480 --> 00:00:56.840]  因為他在國會堂裡教訓人眾人都稱讚他
[00:00:57.340 --> 00:01:03.480]  不過呢 如果我們比較一下其他的福音書 路加福音 馬太福音 馬可福音
[00:01:03.480 --> 00:01:07.320]  路加福音的記載是把耶穌呼召門徒
[00:01:07.320 --> 00:01:12.180]  傳導治病趕鬼這些工作
[00:01:12.180 --> 00:01:14.500]  就放在後面
[00:01:14.500 --> 00:01:19.620]  就把耶穌進會堂教訓人
[00:01:19.620 --> 00:01:23.700]  就放在耶穌受洗之後首要的記載
[00:01:24.980 --> 00:01:28.560]  所以就跟馬太馬可福音的記載很不同
[00:01:28.560 --> 00:01:34.460]  這樣的安排 相信目的是想
[00:01:34.460 --> 00:01:36.760]  將這篇講章
[00:01:36.760 --> 00:01:40.080]  作為耶穌在世服侍的綱領
[00:01:40.080 --> 00:01:46.740]  甚至可以說是路加福音首先要註明他福音書記載耶穌一生的重點
[00:01:46.740 --> 00:01:48.520]  或者焦點
[00:01:48.520 --> 00:01:50.060]  所以呢
[00:01:50.060 --> 00:01:51.600]  這一篇的
[00:01:51.600 --> 00:01:53.400]  耶穌的講道
[00:01:53.660 --> 00:01:55.460]  就值得我們細心去了解一下
[00:01:55.460 --> 00:02:00.580]  不過要理解耶穌講道的信息
[00:02:00.580 --> 00:02:05.180]  首先我們要理解一下當時的人是怎樣講道和聽道
