
[00:00:00.000 --> 00:00:02.000]  那今天我們要談到
[00:00:02.000 --> 00:00:04.000]  耶穌基督
[00:00:04.000 --> 00:00:07.000]  祂就是我們的和睦
[00:00:07.000 --> 00:00:12.000]  我們在《格羅西書》第一章裡面提到說
[00:00:12.000 --> 00:00:14.000]  基督祂是超越萬有的
[00:00:14.000 --> 00:00:16.000]  祂是萬有之主
[00:00:16.000 --> 00:00:18.000]  祂是教會之主
[00:00:18.000 --> 00:00:20.000]  祂是豐盛之主
[00:00:20.000 --> 00:00:24.000]  但是祂也是和平之主
[00:00:24.000 --> 00:00:27.000]  祂是我們的和睦
[00:00:27.000 --> 00:00:31.000]  在《格羅西書》第一章二十節提到說
[00:00:31.000 --> 00:00:35.000]  既然藉著祂在十字架上所流的血
[00:00:35.000 --> 00:00:39.000]  成就了和平
[00:00:39.000 --> 00:00:41.000]  那我們今天要來看
[00:00:41.000 --> 00:00:44.000]  這個要看《以夫所書》
[00:00:44.000 --> 00:00:47.000]  第二章這段跟這個經文
[00:00:47.000 --> 00:00:49.000]  《以夫所》跟這個《格羅西書》
[00:00:49.000 --> 00:00:52.000]  其實有很多很接近類似的地方
[00:00:52.000 --> 00:00:55.000]  《以夫所書》第二章十三節到十八節裡面
[00:00:55.000 --> 00:00:57.000]  這個地方也提到
[00:00:57.000 --> 00:00:59.000]  因祂使我們和睦
[00:00:59.000 --> 00:01:03.000]  將兩下合而為一
[00:01:03.000 --> 00:01:09.000]  你們知道在這個
[00:01:09.000 --> 00:01:11.000]  我們先看這個
[00:01:11.000 --> 00:01:13.000]  這個大家都熟悉吧 是不是
[00:01:13.000 --> 00:01:15.000]  這個人是誰
[00:01:15.000 --> 00:01:18.000]  這個人是叫翁山蘇姬
[00:01:18.000 --> 00:01:20.000]  在一九九一年的時候
[00:01:20.000 --> 00:01:24.000]  翁山蘇姬得到了諾貝爾和平獎
[00:01:24.000 --> 00:01:26.000]  但是你看二十年後的今天
[00:01:26.000 --> 00:01:28.000]  緬甸發生政變
[00:01:28.000 --> 00:01:30.000]  軍人把她現在
[00:01:30.000 --> 00:01:32.000]  不知道她去哪裡了
[00:01:32.000 --> 00:01:38.000]  把她盧起來 把她關起來了
[00:01:38.000 --> 00:01:42.000]  所以她一生為了所謂的民主
[00:01:42.000 --> 00:01:44.000]  為了這個國家付上很大的代價
[00:01:44.000 --> 00:01:46.000]  雖然得到了諾貝爾和平獎
[00:01:46.000 --> 00:01:49.000]  但是今天的緬甸怎麼樣
