
[00:00:00.000 --> 00:00:04.600]  今年教會二十一天醫治佈道大會馬上就要開始了
[00:00:04.600 --> 00:00:08.400]  我們會從今年的七月十七號開始
[00:00:08.400 --> 00:00:13.300]  一直到八月六號一年二十一個晚上
[00:00:13.300 --> 00:00:17.800]  每天我們舉行醫治佈道大會
[00:00:17.800 --> 00:00:21.800]  那你說為什麼我們要舉行醫治佈道大會呢
[00:00:21.800 --> 00:00:26.800]  因為這正是耶穌基督在地上所做的工作
[00:00:26.800 --> 00:00:30.100]  我常常說今天教會在地上
[00:00:30.100 --> 00:00:34.000]  一定要做基督要做的事情
[00:00:34.000 --> 00:00:38.100]  因為教會就是基督的身體
[00:00:38.100 --> 00:00:42.300]  想想看一個身體它的功能是什麼
[00:00:42.300 --> 00:00:46.300]  它就是要去做頭要它做的事情不是嗎
[00:00:46.300 --> 00:00:50.900]  今天如果一個身體不是去做頭要它做的事情
[00:00:50.900 --> 00:00:54.400]  那這整個人就會失去它的功能
[00:00:54.400 --> 00:00:58.900]  我們看見今天既然教會是基督的身體
[00:00:58.900 --> 00:01:01.000]  基督是教會的頭
[00:01:01.000 --> 00:01:04.600]  那教會今天在地上最重要的事情
[00:01:04.600 --> 00:01:08.000]  就不是要做自己要去做的事情
[00:01:08.000 --> 00:01:12.200]  而是要去做基督要去做的事情
[00:01:12.200 --> 00:01:15.900]  那麼耶穌在地上做些什麼呢
[00:01:15.900 --> 00:01:18.200]  如果你仔細看四福音的話
[00:01:18.200 --> 00:01:21.000]  你會發現耶穌基督無論走到哪裡
[00:01:21.000 --> 00:01:23.900]  耶穌基督一定做兩件事情
[00:01:23.900 --> 00:01:26.500]  第一個祂傳天國的福音
[00:01:26.500 --> 00:01:29.500]  第二祂醫治病人
[00:01:29.500 --> 00:01:31.600]  不但祂自己是如此
[00:01:31.600 --> 00:01:34.800]  祂揀選十二門徒來跟隨祂的時候
[00:01:34.800 --> 00:01:37.100]  祂也給他們一個使命要做什麼
[00:01:37.100 --> 00:01:39.000]  同樣是兩件事情
[00:01:39.000 --> 00:01:43.400]  拆敗他們要去傳天國的福音醫治病人
[00:01:43.400 --> 00:01:46.900]  後來你還記得有一次耶穌選到了七十人
[00:01:46.900 --> 00:01:49.300]  拆敗他們兩個兩個出去
[00:01:49.300 --> 00:01:50.800]  兩個兩個出去幹什麼呢
[00:01:50.800 --> 00:01:53.200]  還是一樣就是這兩件事情
[00:01:53.200 --> 00:01:56.700]  要他們傳天國的福音醫治病人
[00:01:56.700 --> 00:02:00.000]  甚至最後我們看見耶穌基督升天
[00:02:00.000 --> 00:02:02.900]  把大使命給我們的時候
[00:02:02.900 --> 00:02:06.300]  馬太福音特別講到要傳天國的福音
[00:02:06.300 --> 00:02:08.100]  可是馬可福音講到什麼呢
[00:02:08.100 --> 00:02:11.800]  手按病人病人就得醫治
[00:02:11.800 --> 00:02:14.000]  我們看見耶穌基督在地上
[00:02:14.000 --> 00:02:15.800]  就是做這兩件事情
[00:02:15.800 --> 00:02:19.800]  而且祂也吩咐我們要做這兩件事情
[00:02:19.800 --> 00:02:23.100]  可見的今天教會在地上
[00:02:23.100 --> 00:02:25.400]  一定要在這兩件事情上
[00:02:25.400 --> 00:02:28.300]  我們來遵行神的命令
[00:02:28.300 --> 00:02:30.700]  事實上我們看見在初代教會
[00:02:30.700 --> 00:02:33.600]  他們不但是遵守神的命令
[00:02:33.600 --> 00:02:35.300]  而且他們也經歷到
[00:02:35.300 --> 00:02:38.300]  遵守神命令所帶來的好處
[00:02:38.300 --> 00:02:42.100]  所以為什麼初代教會這麼快速能夠增長
[00:02:42.100 --> 00:02:44.000]  如果你仔細看使徒行傳
[00:02:44.000 --> 00:02:46.600]  你就會看見他們就是遵行神的話
[00:02:46.600 --> 00:02:50.400]  傳天國的福音並且醫治病人
[00:02:50.400 --> 00:02:53.400]  所以今天早上我們從四方面
[00:02:53.400 --> 00:02:55.800]  我們看見使徒行傳的教會
[00:02:55.800 --> 00:02:59.700]  初代的教會所給我們的一個榜樣
[00:02:59.700 --> 00:03:00.700]  四方面的榜樣
[00:03:00.700 --> 00:03:02.200]  第一個
[00:03:02.200 --> 00:03:04.200]  我們看見使徒行傳的教會是一個
[00:03:04.200 --> 00:03:06.200]  傳揚神話語的教會
[00:03:06.200 --> 00:03:11.200]  跟你們說傳揚神話語的教會
[00:03:11.200 --> 00:03:13.800]  所以剛才讀的聖經裡面第四十節怎麼說呢
[00:03:13.800 --> 00:03:18.200]  這裡彼得還用許多的話做見證勸勉他們
[00:03:18.200 --> 00:03:20.600]  然後四十一節就看見
