
[00:00:00.000 --> 00:00:04.400]  那麼我希望在開始禱告之前也問大家同一個問題
[00:00:04.400 --> 00:00:07.860]  給大家十秒鐘的時間
[00:00:07.860 --> 00:00:09.400]  詢問一下
[00:00:09.400 --> 00:00:16.060]  你人生當中三個最重要的關係是什麼關係
[00:00:16.060 --> 00:00:17.160]  準備好了嗎
[00:00:17.160 --> 00:00:19.160]  十、九、八
[00:00:19.160 --> 00:00:21.160]  想一下
[00:00:21.160 --> 00:00:25.000]  想到了嗎 有沒有
[00:00:25.000 --> 00:00:28.700]  大家有沒有三個重要的關係在你人生當中
[00:00:28.700 --> 00:00:30.700]  有哦 有
[00:00:30.700 --> 00:00:32.700]  OK
[00:00:32.700 --> 00:00:38.700]  有沒有一個關係的對象就坐在你旁邊
[00:00:38.700 --> 00:00:40.700]  有沒有
[00:00:40.700 --> 00:00:42.700]  你不敢說沒有吧
[00:00:42.700 --> 00:00:44.700]  特別是已經結婚的
[00:00:44.700 --> 00:00:46.700]  不敢說沒有的
[00:00:46.700 --> 00:00:48.700]  OK
[00:00:48.700 --> 00:00:50.700]  我們知道人生裡面有很多的關係
[00:00:50.700 --> 00:00:52.700]  不一定是我們能夠選擇的
[00:00:52.700 --> 00:00:54.700]  但是我也相信
[00:00:54.700 --> 00:00:56.700]  有一些是神為我們選擇
[00:00:56.700 --> 00:00:58.700]  檢選的恩福
[00:00:58.700 --> 00:01:00.700]  這個就是與神的關係
[00:01:00.700 --> 00:01:02.700]  所以今天剛才沒有舉手的人
[00:01:02.700 --> 00:01:04.700]  我們有一個很大的盼望
[00:01:04.700 --> 00:01:08.700]  就是你人生當中有一個非常非常重要的關係
[00:01:08.700 --> 00:01:11.700]  這個關係神已經為你建立了
[00:01:11.700 --> 00:01:14.700]  是透過他的愛子與我們建立的關係
[00:01:14.700 --> 00:01:16.700]  你說重要不重要
[00:01:16.700 --> 00:01:17.700]  重要
[00:01:17.700 --> 00:01:18.700]  我們今天來的目的
[00:01:18.700 --> 00:01:22.700]  乃是要繼續維持了解建造這個關係
[00:01:22.700 --> 00:01:24.700]  我們一起來禱告
[00:01:24.700 --> 00:01:26.700]  說我們的心意乃是在你的面前
[00:01:26.700 --> 00:01:31.700]  成為一個為主能夠發光的一個
[00:01:31.700 --> 00:01:33.700]  一個的管道
[00:01:33.700 --> 00:01:35.700]  在我們的人生的裡面
[00:01:35.700 --> 00:01:39.700]  我們願意在這個時候選定也選擇了
[00:01:39.700 --> 00:01:44.700]  我們要栽培建造這個重要的關係
[00:01:44.700 --> 00:01:49.700]  我願這個關係的當中沒有黑暗的影兒
[00:01:49.700 --> 00:01:51.700]  沒有罪的詮釋
[00:01:51.700 --> 00:01:55.700]  也沒有任何一些過去的事情
[00:01:55.700 --> 00:02:00.700]  障礙了我們與主這個親密永恆的關係
[00:02:00.700 --> 00:02:02.700]  也讓主在當中
[00:02:02.700 --> 00:02:05.700]  讓我們今天僅僅在主的話語裡面
[00:02:05.700 --> 00:02:08.700]  就學會如何維持
[00:02:08.700 --> 00:02:10.700]  持守這個永恆的關係
[00:02:10.700 --> 00:02:16.700]  願神的兒女們今天有絕對活潑的盼望
[00:02:16.700 --> 00:02:19.700]  有一個真實的心
[00:02:19.700 --> 00:02:21.700]  在真理的光照底下
[00:02:21.700 --> 00:02:24.700]  我們要與主同行
[00:02:24.700 --> 00:02:27.700]  在每一次與主相遇的時候
[00:02:27.700 --> 00:02:30.700]  都是一個讓我們謙卑
[00:02:30.700 --> 00:02:33.700]  讓我們敬拜的時候
[00:02:33.700 --> 00:02:35.700]  願你顧念我們
[00:02:35.700 --> 00:02:38.700]  讓我們這個世代裡面
[00:02:38.700 --> 00:02:42.700]  有一個從父神手中接過來的恩福
[00:02:42.700 --> 00:02:47.700]  也求父神給我們有一個更大的發現
[00:02:47.700 --> 00:02:51.700]  原來這個從天上而來的這個恩福
[00:02:51.700 --> 00:02:53.700]  這個永恆的關係
[00:02:53.700 --> 00:02:56.700]  是可以與別人分享
[00:02:56.700 --> 00:02:58.700]  更願意我們的下一代
[00:02:58.700 --> 00:03:02.700]  在你的面前蒙受了這個恩福
