
[00:00:00.000 --> 00:00:03.000]  各位冥恩堂、大報堂的弟兄姊妹,平安!
[00:00:03.000 --> 00:00:08.000]  雖然我們不能夠一同在教會裡面去敬拜上主,
[00:00:08.000 --> 00:00:13.000]  但是我相信上主的愛仍然將我們連繫在一起的。
[00:00:13.000 --> 00:00:16.000]  今天很想和大家一起去思想一個題目,
[00:00:16.000 --> 00:00:20.000]  這個題目叫做「有福的人」。
[00:00:20.000 --> 00:00:23.000]  不知道當大家見到這個題目的時候,
[00:00:23.000 --> 00:00:26.000]  會聯想到些什麼呢?
[00:00:26.000 --> 00:00:28.000]  聯想到些什麼呢?
[00:00:28.000 --> 00:00:31.000]  當然我的名字叫營福曾,
[00:00:31.000 --> 00:00:36.000]  其實我爸爸是因為族譜的緣故,
[00:00:36.000 --> 00:00:39.000]  生兒子一定是福字輩的,
[00:00:39.000 --> 00:00:41.000]  不能改的,
[00:00:41.000 --> 00:00:45.000]  他也猜到為什麼要將我的名字改成福曾,
[00:00:45.000 --> 00:00:49.000]  希望福氣能夠增加。
[00:00:49.000 --> 00:00:54.000]  當然改名是一回事,
[00:00:54.000 --> 00:00:57.000]  實際上是不是這樣是另一回事,
[00:00:57.000 --> 00:01:00.000]  但是我相信這個多多少少都反映了
[00:01:00.000 --> 00:01:03.000]  可能在我們主觀的願望裡面,
[00:01:03.000 --> 00:01:08.000]  我們都期望能夠成為一個有福的人。
[00:01:08.000 --> 00:01:12.000]  如果擺在你面前有兩個選擇,
[00:01:12.000 --> 00:01:15.000]  或者有兩條路,
[00:01:15.000 --> 00:01:19.000]  一條路是告訴你,你可以得到祝福的,
[00:01:19.000 --> 00:01:24.000]  另一條路是告訴你,你是會承受一些禍的,
[00:01:24.000 --> 00:01:27.000]  你會選哪一條路呢?
[00:01:27.000 --> 00:01:31.000]  我相信都不需要多說,
[00:01:31.000 --> 00:01:33.000]  很自然,
[00:01:33.000 --> 00:01:35.000]  大家當然會選擇一條是無福的,
[00:01:35.000 --> 00:01:38.000]  或者一條是得到祝福的道路,
[00:01:38.000 --> 00:01:41.000]  這個是人之常情。
[00:01:41.000 --> 00:01:46.000]  事實上人生的確我們需要做很多不同的選擇,
[00:01:46.000 --> 00:01:49.000]  我們每一天都在做很多不同的選擇,
[00:01:49.000 --> 00:01:53.000]  有些選擇我們會覺得是無關痛癢,
[00:01:53.000 --> 00:01:57.000]  但是也有些選擇是舉足輕重的。
[00:01:57.000 --> 00:01:59.000]  正正因為這樣的緣故,
[00:01:59.000 --> 00:02:04.000]  我們都很想知道一個更加長遠,
[00:02:04.000 --> 00:02:08.000]  或者一個更加宏觀的圖像,
[00:02:08.000 --> 00:02:10.000]  以致我們可以在當下,
[00:02:10.000 --> 00:02:13.000]  我們說我們可以做一個最合適的選擇,
[00:02:13.000 --> 00:02:18.000]  一個我覺得做了之後可以是無福的一個選擇。
[00:02:18.000 --> 00:02:24.000]  這個我相信無論是一個社會的公共議題,
[00:02:24.000 --> 00:02:26.000]  你到底是支持哪一樣東西,
[00:02:26.000 --> 00:02:28.000]  或者是你自己個人的遭遇,
[00:02:28.000 --> 00:02:35.000]  其實我們都會面對這種選擇的猶豫。
[00:02:35.000 --> 00:02:40.000]  如果你覺得自己是一個有選擇困難症的人來說,
[00:02:40.000 --> 00:02:44.000]  選擇對你來說可能是很痛苦的。
[00:02:44.000 --> 00:02:49.000]  擺在你面前禍同福,你怎麼選擇呢?
[00:02:49.000 --> 00:02:52.000]  我相信無論你喜不喜歡,
[00:02:52.000 --> 00:02:53.000]  你喜不喜歡,
[00:02:53.000 --> 00:02:56.000]  或者你願不願意去面對,
[00:02:56.000 --> 00:02:59.000]  我們其實是不能夠不承認,
[00:02:59.000 --> 00:03:01.000]  我們所身處的地方,
[00:03:01.000 --> 00:03:05.000]  香港已經不再是一個我們熟悉的土地,
[00:03:05.000 --> 00:03:10.000]  我們面對的是舊有的價值崩潰,
[00:03:10.000 --> 00:03:16.000]  取而代之卻不是我們所期望所渴望見到的。
[00:03:16.000 --> 00:03:21.000]  過去我們對未來總是有不同的盼望,
[00:03:21.000 --> 00:03:24.000]  我們相信未來是敞開的,
[00:03:24.000 --> 00:03:27.000]  即使我們面對一些困難,
[00:03:27.000 --> 00:03:29.000]  一些的考驗和挑戰,
[00:03:29.000 --> 00:03:32.000]  我們仍然深信我們可以改變,
[00:03:32.000 --> 00:03:37.000]  或者我們可以有一個我們可以參與在裡面的未來。
[00:03:37.000 --> 00:03:42.000]  但此時此刻我相信我們難掩自己內心,
[00:03:42.000 --> 00:03:46.000]  我們所面對的那份迷失,
[00:03:46.000 --> 00:03:49.000]  我們真的看不清前面的路,
[00:03:49.000 --> 00:03:51.000]  在不知不覺間,
[00:03:51.000 --> 00:03:54.000]  我相信我們香港已經活在一個大時代裡面,
[00:03:54.000 --> 00:03:57.000]  你可以將它稱之為亂世。
[00:03:57.000 --> 00:04:00.000]  在一個這麼紛亂的時代裡面,
[00:04:00.000 --> 00:04:03.000]  我們做基督徒我們應該怎麼選擇呢?
[00:04:03.000 --> 00:04:09.000]  或者在選擇當中我們要追求的是一種怎樣的福呢?
[00:04:09.000 --> 00:04:13.000]  當你說我們要做選擇的時候,
[00:04:13.000 --> 00:04:16.000]  我們要問可能在選擇的背後,
[00:04:16.000 --> 00:04:19.000]  有些什麼的準繩,
[00:04:19.000 --> 00:04:21.000]  有些什麼的標準,
[00:04:21.000 --> 00:04:23.000]  去幫助我們做這個選擇。
