
[00:00:00.000 --> 00:00:03.760]  很快我們就到《文數記》第20章
[00:00:03.760 --> 00:00:08.840]  其實這章聖經的頭半部分
[00:00:08.840 --> 00:00:11.920]  我相信大家可能會聽過
[00:00:11.920 --> 00:00:13.520]  有些印象的
[00:00:13.520 --> 00:00:17.520]  因為那一頁的技術
[00:00:17.520 --> 00:00:20.520]  其實講到摩西
[00:00:20.520 --> 00:00:23.800]  因為他擊打盤石出水
[00:00:23.800 --> 00:00:27.080]  結果就搞到進不了迦南地
[00:00:27.080 --> 00:00:29.840]  所以這個故事是很熟悉的
[00:00:31.000 --> 00:00:33.760]  不聽話這件事
[00:00:33.760 --> 00:00:37.800]  令我想起搭紅Van
[00:00:37.800 --> 00:00:40.680]  我不知道大家
[00:00:40.680 --> 00:00:44.240]  這是不是你日常的交通工具
[00:00:44.240 --> 00:00:47.560]  如果你有搭紅Van
[00:00:47.560 --> 00:00:49.880]  我相信你必定有這樣的經驗
[00:00:49.880 --> 00:00:53.960]  就是如果你上了一輛紅Van
[00:00:53.960 --> 00:00:57.640]  不過還沒有坐滿客
[00:00:58.040 --> 00:01:01.240]  通常紅Van的司機
[00:01:01.240 --> 00:01:02.920]  一定會做一件事
[00:01:02.920 --> 00:01:04.520]  就是等
[00:01:04.520 --> 00:01:07.840]  怎樣也不開車
[00:01:07.840 --> 00:01:11.880]  直到乘客覺得很不耐煩
[00:01:11.880 --> 00:01:13.480]  死為惡
[00:01:13.480 --> 00:01:15.680]  看你坐滿了沒有
[00:01:15.680 --> 00:01:19.360]  然後就離開眉頭
[00:01:19.360 --> 00:01:20.760]  有沒有搞錯
[00:01:20.760 --> 00:01:22.560]  這麼久也不開車
[00:01:22.560 --> 00:01:24.920]  這字寫在額頭上
[00:01:24.920 --> 00:01:26.280]  於是
[00:01:26.280 --> 00:01:31.080]  那個司機就鬆開手掣
[00:01:31.080 --> 00:01:33.000]  準備開車
[00:01:33.000 --> 00:01:36.360]  不過鬆開手掣也會選擇時間
[00:01:36.360 --> 00:01:40.000]  他會選擇到差不多紅燈
[00:01:40.000 --> 00:01:42.120]  他就鬆開手掣
[00:01:42.120 --> 00:01:45.160]  所以他走得沒兩步
[00:01:45.160 --> 00:01:48.200]  哎呀 剛好紅燈
[00:01:48.200 --> 00:01:49.200]  是不是
[00:01:49.200 --> 00:01:53.400]  那就想多上兩位客人
[00:01:53.400 --> 00:01:55.800]  好了 終於綠燈了
[00:01:55.800 --> 00:01:57.520]  那就開車吧
[00:01:57.520 --> 00:02:01.920]  不過也會是非常慢速地進行
[00:02:01.920 --> 00:02:02.880]  為什麼呢
[00:02:02.880 --> 00:02:05.880]  又希望多上客人
[00:02:05.880 --> 00:02:07.280]  直到什麼時候呢
[00:02:07.280 --> 00:02:09.840]  直到可能上了天橋
[00:02:09.840 --> 00:02:12.400]  或者公路
[00:02:12.400 --> 00:02:15.240]  由那一刻開始突然間變速
[00:02:15.240 --> 00:02:18.520]  就極速向前飛奔
[00:02:18.520 --> 00:02:23.120]  就像菲律賓書三章十四節所說的
[00:02:23.120 --> 00:02:24.760]  向著標杆直跑
[00:02:24.760 --> 00:02:26.880]  是不是 直跑
[00:02:26.880 --> 00:02:32.400]  不管究竟有沒有超速
[00:02:32.400 --> 00:02:35.120]  視之為無物
[00:02:35.120 --> 00:02:40.320]  我不知道這種開車的態度
[00:02:40.320 --> 00:02:42.800]  像不像有些時候
[00:02:42.800 --> 00:02:47.720]  我們跟上帝的態度都是差不多的
[00:02:47.720 --> 00:02:52.040]  其實人總是不太聽話的
[00:02:52.040 --> 00:02:55.240]  三歲到八十歲也是這樣
[00:02:55.240 --> 00:02:57.240]  叫你走你就站
[00:02:57.240 --> 00:02:59.960]  叫你坐你就走
[00:02:59.960 --> 00:03:04.760]  總之就不喜歡聽指揮的
[00:03:04.760 --> 00:03:08.760]  無論神是擺一眼紅燈
[00:03:08.760 --> 00:03:13.720]  又或者車速限制的標誌在前面
[00:03:13.720 --> 00:03:15.240]  我們都不管的
[00:03:15.240 --> 00:03:18.280]  一味照沖海洋
[00:03:18.280 --> 00:03:22.840]  但到了神說「綠燈了,可以走了」
[00:03:22.840 --> 00:03:25.680]  我們就放軟了手腳
[00:03:25.680 --> 00:03:28.760]  死都不動
[00:03:28.760 --> 00:03:33.480]  今天我們就看看文素記二十章
[00:03:33.480 --> 00:03:36.880]  我們非常熟悉的技術
[00:03:36.880 --> 00:03:38.280]  仔細一點看
[00:03:38.280 --> 00:03:40.800]  究竟上帝在當中
[00:03:40.800 --> 00:03:43.440]  要我們學一個什麼功課
[00:03:43.440 --> 00:03:48.480]  我想先請大家讀出頭五節的經文
[00:03:48.480 --> 00:03:50.600]  第一節到第五節
[00:03:50.600 --> 00:03:52.240]  好 預備起
[00:03:52.240 --> 00:03:54.960]  正月間以色列傳惠宗
[00:03:54.960 --> 00:03:57.000]  到了尋的曠野
[00:03:57.000 --> 00:03:59.160]  就住在加底斯
[00:03:59.160 --> 00:04:01.200]  米利暗死在那裏
[00:04:01.200 --> 00:04:03.280]  就葬在那裏
[00:04:03.280 --> 00:04:05.080]  惠宗沒有水喝
[00:04:05.080 --> 00:04:08.600]  就聚集攻擊摩西阿良
[00:04:08.600 --> 00:04:11.400]  百姓向摩西爭鬧說
[00:04:11.400 --> 00:04:15.200]  我們的弟兄曾死在耶和華面前
[00:04:15.200 --> 00:04:18.440]  我們恨不得與他們同死
[00:04:18.440 --> 00:04:22.920]  你們為何把耶和華的惠宗領導這曠野
[00:04:22.920 --> 00:04:27.320]  使我們作親叔都死在這裏呢
[00:04:27.320 --> 00:04:30.680]  你們為何逼著我們出埃及
[00:04:30.680 --> 00:04:33.800]  領我們到這壞地方呢
[00:04:33.800 --> 00:04:36.200]  這地方好殺種
[00:04:36.200 --> 00:04:38.480]  有沒有無花果樹
[00:04:38.480 --> 00:04:39.560]  葡萄樹
[00:04:39.560 --> 00:04:40.760]  石榴樹
[00:04:40.760 --> 00:04:42.960]  有沒有水喝
[00:04:42.960 --> 00:04:45.480]  經文在第一節一開始
[00:04:45.480 --> 00:04:47.440]  就告訴我們
[00:04:47.440 --> 00:04:51.040]  這件事發生在正月間
[00:04:51.040 --> 00:04:53.960]  不過沒有提年份
[00:04:53.960 --> 00:04:56.280]  如果我們與
[00:04:56.280 --> 00:05:00.880]  文數記三十三章三十六至三十九節
[00:05:00.880 --> 00:05:03.520]  來比較一下
[00:05:03.520 --> 00:05:04.760]  我們就知道
[00:05:04.760 --> 00:05:06.240]  這個時間
[00:05:06.240 --> 00:05:11.400]  其實是說以色列在埃及出去了之後
[00:05:11.400 --> 00:05:14.720]  四十年的曠野歷程
[00:05:14.720 --> 00:05:16.840]  差不多要完結
[00:05:16.840 --> 00:05:18.360]  要離開了
[00:05:18.360 --> 00:05:20.240]  進入摩押平原
[00:05:20.240 --> 00:05:23.200]  差不多是這個時間
[00:05:23.200 --> 00:05:26.280]  經文跟著就告訴我們
[00:05:26.280 --> 00:05:27.360]  地點
[00:05:27.360 --> 00:05:28.160]  在哪裏呢
[00:05:28.160 --> 00:05:30.520]  就住在加底斯
[00:05:30.520 --> 00:05:32.520]  這又是甚麼地方
[00:05:32.520 --> 00:05:35.200]  當以色列人離開埃及的時候
