
[00:00:00.000 --> 00:00:13.000]  歌劇來的,是改編自《雨果》的小說,叫做《悲慘世界》。
[00:00:13.000 --> 00:00:18.000]  《悲慘世界》,你知道嗎?
[00:00:18.000 --> 00:00:22.000]  又說懂得發文的在這裏,幫助我發音。
[00:00:22.000 --> 00:00:27.000]  那首歌,是一班青年人,學生,
[00:00:27.000 --> 00:00:31.000]  他在一個見到百姓在水深火熱強權的底下,
[00:00:31.000 --> 00:00:35.000]  他們號召一場革命,不成功的革命。
[00:00:35.000 --> 00:00:42.000]  但是那首歌,不知道這些人是否聽到百姓的歌聲呢?
[00:00:42.000 --> 00:00:45.000]  他們唱一首甚麼歌?
[00:00:45.000 --> 00:00:47.000]  一首自由之歌。
[00:00:47.000 --> 00:01:01.000]  那個就是行俠仗義的基督門徒,似乎我出錯了power point,不過都不要緊,照講吧。
[00:01:01.000 --> 00:01:04.000]  不是想update那個power point。
[00:01:04.000 --> 00:01:07.000]  就是這樣的,這些人就是這樣的。
[00:01:07.000 --> 00:01:15.000]  我們現在是和這些科技合作,我們都是後科技人才,後電子科技人才。
[00:01:15.000 --> 00:01:20.000]  所以他們經常都說,為甚麼這麼久才開完,請借你好一點。
[00:01:20.000 --> 00:01:25.000]  其實我們慢慢在學的,大家要了解,包括我在。
[00:01:25.000 --> 00:01:27.000]  好了,閒話就不提了。
[00:01:27.000 --> 00:01:33.000]  我們全部都知道人間的制度是有邪惡的,是嗎?
[00:01:33.000 --> 00:01:36.000]  支配著各個國家的經濟集團,
[00:01:36.000 --> 00:01:42.000]  都是很似一個勒索別人的,剝奪別人的利益的集團,
[00:01:42.000 --> 00:01:44.000]  支配著你和我的生活。
[00:01:44.000 --> 00:01:48.000]  政府又貪污又舞弊,又邪惡。
[00:01:48.000 --> 00:01:52.000]  每間公司都有你們的黑暗算盤,是嗎?
[00:01:52.000 --> 00:01:58.000]  大家都有些故事講的,機構亦都有,包括那些所謂慈善的機構,
