
[00:00:00.000 --> 00:00:05.140]  針研不單止是教我們甚麼是智慧
[00:00:05.140 --> 00:00:08.920]  針研還告訴我們甚麼是真正的富足
[00:00:08.920 --> 00:00:12.680]  今天我們要講針研系列的第八講
[00:00:12.680 --> 00:00:14.680]  是富足的智慧
[00:00:14.680 --> 00:00:20.200]  一般人對於錢財、對於財富是非常有興趣
[00:00:20.200 --> 00:00:24.800]  包括基督徒在內
[00:00:24.800 --> 00:00:28.400]  他們對這些錢財、對財富是很有興趣
[00:00:28.400 --> 00:00:32.460]  聽了這篇導之後可能會有很多人覺得自己
[00:00:32.460 --> 00:00:34.880]  比想像中更加富有
[00:00:34.880 --> 00:00:37.560]  但亦可能有很多基督徒
[00:00:37.560 --> 00:00:41.720]  會覺得自己比想像中更加貧窮
[00:00:41.720 --> 00:00:43.720]  我們首先來看看
[00:00:43.720 --> 00:00:47.360]  聖經裏面告訴我們甚麼是真正的富足
[00:00:47.360 --> 00:00:49.680]  在針研的十三章七節
[00:00:49.680 --> 00:00:52.960]  說假作富足的卻一無所有
[00:00:52.960 --> 00:00:57.160]  裝作窮乏的卻枉有財物
[00:00:57.160 --> 00:01:01.360]  我們看見一個人有多富有
[00:01:01.360 --> 00:01:03.600]  不是看他的銀行存摺
[00:01:03.600 --> 00:01:05.600]  銀行裏面有多少錢
[00:01:05.600 --> 00:01:08.880]  有很多人在銀行裏面可能有很多錢
[00:01:08.880 --> 00:01:10.880]  但他們是貧乏的
[00:01:10.880 --> 00:01:14.640]  亦有很多人在銀行裏面不是那麼多錢
[00:01:14.640 --> 00:01:17.240]  但其實他們是富有的
[00:01:17.240 --> 00:01:20.960]  我們做基督徒很多時候聖經都教我們
[00:01:20.960 --> 00:01:23.240]  是要思念天上的事
[00:01:23.240 --> 00:01:25.240]  不要思念地下的事
[00:01:25.240 --> 00:01:27.680]  哥羅西書的三章二節
[00:01:27.680 --> 00:01:32.240]  亦有經文如羅馬書十二章二節
[00:01:32.240 --> 00:01:35.320]  說要我們不要效法這個世界
[00:01:35.320 --> 00:01:39.880]  因為這個世界的人都是追求物質上的滿足
[00:01:39.880 --> 00:01:42.960]  保羅說你們不要去效法這個世界
[00:01:42.960 --> 00:01:46.240]  要心意根深而變化
[00:01:46.240 --> 00:01:48.440]  這些經文我們都很熟悉
[00:01:48.440 --> 00:01:49.720]  我們都知道
[00:01:49.720 --> 00:01:51.720]  甚至我們懂得唸
[00:01:51.720 --> 00:01:53.720]  但很多基督徒
