
[00:00:00.000 --> 00:00:02.000]  在收奉獻同時我們讀一段聖經
[00:00:02.000 --> 00:00:06.000]  在以佛所述第五章十五到第二十一節
[00:00:06.000 --> 00:00:09.000]  以佛所述第五章十五到第二十一節
[00:00:09.000 --> 00:00:12.000]  保羅在這裡說你們要謹慎行事
[00:00:12.000 --> 00:00:14.000]  不要像愚昧人當像智慧人
[00:00:14.000 --> 00:00:18.000]  要愛惜光陰因為現今的世代邪惡
[00:00:18.000 --> 00:00:19.000]  不要做糊塗人
[00:00:19.000 --> 00:00:21.000]  要明白主的旨意如何
[00:00:21.000 --> 00:00:22.000]  不要醉酒
[00:00:22.000 --> 00:00:24.000]  酒能夠使人放蕩
[00:00:24.000 --> 00:00:26.000]  乃要被聖靈充滿
[00:00:26.000 --> 00:00:28.000]  在聖經第十九節
[00:00:28.000 --> 00:00:31.000]  當有詩章、誦詞、靈歌彼此對說
[00:00:31.000 --> 00:00:33.000]  口唱心和的讚美主
[00:00:33.000 --> 00:00:35.000]  凡是要奉我們主耶穌基督的名
[00:00:35.000 --> 00:00:37.000]  常常感謝父臣
[00:00:37.000 --> 00:00:39.000]  又當存敬畏基督的心
[00:00:39.000 --> 00:00:41.000]  彼此順服
[00:00:41.000 --> 00:00:42.000]  我們就讀到這裡
[00:00:42.000 --> 00:00:44.000]  要被聖靈充滿
[00:00:44.000 --> 00:00:49.000]  是聖經裡面對我們很清楚的一個命令
[00:00:49.000 --> 00:00:51.000]  既然這是一個命令句
[00:00:51.000 --> 00:00:53.000]  就表示是每一位基督徒
[00:00:53.000 --> 00:00:55.000]  我們都需要經歷
[00:00:55.000 --> 00:00:57.000]  不是只有少數人
[00:00:57.000 --> 00:01:00.000]  不是只有傳道人才需要被聖靈充滿
[00:01:00.000 --> 00:01:01.000]  事實上
[00:01:01.000 --> 00:01:03.000]  如果我們看以佛所書
[00:01:03.000 --> 00:01:06.000]  從第五章十五節開始
[00:01:06.000 --> 00:01:08.000]  一直到第六章的結束
[00:01:08.000 --> 00:01:10.000]  其實保羅是在講到
[00:01:10.000 --> 00:01:13.000]  基督徒生活的每一個層面
[00:01:13.000 --> 00:01:15.000]  包括做夫妻的、做父母的
[00:01:15.000 --> 00:01:17.000]  做主管、做屬下的
[00:01:17.000 --> 00:01:21.000]  我們怎麼樣能夠靠主過一個得聖的生活
[00:01:21.000 --> 00:01:26.000]  而這一切都是從以佛所書第五章十八節
[00:01:26.000 --> 00:01:30.000]  要被聖靈充滿開始的
[00:01:30.000 --> 00:01:32.000]  所以今天早上我們要一同來思想
[00:01:32.000 --> 00:01:36.000]  關於聖靈充滿這個真理
[00:01:36.000 --> 00:01:37.000]  首先第一個
[00:01:37.000 --> 00:01:39.000]  為什麼要被聖靈充滿呢?
[00:01:39.000 --> 00:01:41.000]  為什麼我們今天要被聖靈充滿
[00:01:41.000 --> 00:01:43.000]  有兩方面的原因
[00:01:43.000 --> 00:01:44.000]  第一個
[00:01:44.000 --> 00:01:45.000]  要明白主的旨意
[00:01:45.000 --> 00:01:49.000]  跟你們說要明白主的旨意
