
[00:00:00.000 --> 00:00:05.200]  今天很高興可以和大家在神的聖殿當中
[00:00:05.200 --> 00:00:06.840]  去敬拜神
[00:00:06.840 --> 00:00:09.440]  但是在進入神的殿
[00:00:09.440 --> 00:00:12.800]  就是我今天講到的題目
[00:00:12.800 --> 00:00:14.920]  都幫助我們去明白
[00:00:14.920 --> 00:00:18.240]  到底我們每一個主一來到聖殿當中
[00:00:18.240 --> 00:00:20.440]  來到這裡敬拜神
[00:00:20.440 --> 00:00:26.120]  那種心、意向到底是甚麼回事
[00:00:26.120 --> 00:00:27.720]  在聽到之前
[00:00:27.720 --> 00:00:29.800]  我們先低頭祈禱
[00:00:31.000 --> 00:00:33.360]  七天會上帝我們感謝祢
[00:00:33.360 --> 00:00:35.960]  就是給我們有這麼好的機會
[00:00:35.960 --> 00:00:37.600]  我們有生命氣息
[00:00:37.600 --> 00:00:40.360]  我們仍然可以進入祢的聖殿當中
[00:00:40.360 --> 00:00:41.800]  來朝見祢
[00:00:41.800 --> 00:00:43.560]  還有我們感謝祢
[00:00:43.560 --> 00:00:46.240]  在這個時候也都給我們
[00:00:46.240 --> 00:00:49.960]  有機會去聽到主祢自己的話語
[00:00:49.960 --> 00:00:54.360]  還有祢的話語是從聖經那裡我們去閱讀
[00:00:54.360 --> 00:00:56.720]  我們也都去了解
[00:00:56.720 --> 00:00:59.800]  也都求祢透過祢僕人的口
[00:00:59.800 --> 00:01:02.040]  透過祢所準備的訊息
[00:01:02.040 --> 00:01:03.840]  讓我們可以更加明白
[00:01:03.840 --> 00:01:05.000]  祢的話語當中
[00:01:05.000 --> 00:01:09.080]  要帶給我們的內容、這些意思
[00:01:09.080 --> 00:01:10.320]  感謝祢
[00:01:10.320 --> 00:01:12.840]  懇求主祢都高沒我們每一個人
[00:01:12.840 --> 00:01:15.200]  讓我們的心朝著祢
[00:01:15.200 --> 00:01:18.880]  讓我們可以一直都向著祢
[00:01:18.880 --> 00:01:23.440]  以致我們可以聽到主祢親自對我們說話
[00:01:23.440 --> 00:01:24.920]  感謝祢聽我們禱告
[00:01:24.920 --> 00:01:26.720]  感謝祢聽我們禱告
[00:01:26.720 --> 00:01:28.360]  奉主耶穌的聖名
[00:01:28.360 --> 00:01:29.360]  Amen
[00:01:29.360 --> 00:01:35.400]  在某個主日
[00:01:35.400 --> 00:01:38.320]  剛才很敏感現在又沒有
[00:01:38.320 --> 00:01:40.080]  OK 我還沒開
[00:01:40.080 --> 00:01:43.080]  OK
[00:01:43.080 --> 00:01:45.360]  某個主日
[00:01:45.360 --> 00:01:46.840]  某一間教會
[00:01:46.840 --> 00:01:50.600]  我的牧師就上台講道
[00:01:50.600 --> 00:01:52.840]  就好像我現在這樣的
[00:01:53.880 --> 00:01:56.600]  但是他就沒有那麼好
[00:01:56.600 --> 00:01:57.800]  因為為什麼呢
[00:01:57.800 --> 00:02:00.760]  因為我今天對著一百多人
[00:02:00.760 --> 00:02:04.360]  他對著的只不過是四個會眾
[00:02:04.360 --> 00:02:06.680]  你說有沒有可能
[00:02:06.680 --> 00:02:08.360]  一間教會四個會眾
[00:02:08.360 --> 00:02:10.240]  其實是有可能的
[00:02:10.240 --> 00:02:12.640]  以前我們在印尼的時候
[00:02:12.640 --> 00:02:15.640]  我們在山頂的教會
[00:02:15.640 --> 00:02:18.480]  某間教會 郊外的
[00:02:18.480 --> 00:02:20.760]  不是大城市的教會
[00:02:20.760 --> 00:02:22.880]  會眾真的很少
[00:02:22.880 --> 00:02:28.920]  聽說每個主日只有三個人
[00:02:28.920 --> 00:02:31.000]  牧師在台上
[00:02:31.000 --> 00:02:33.200]  師母就師琴
[00:02:33.200 --> 00:02:35.000]  下面有一個會眾
[00:02:35.000 --> 00:02:37.000]  那個會眾就是執事來的
[00:02:37.000 --> 00:02:41.600]  你不要以為我說笑
[00:02:41.600 --> 00:02:43.160]  真的
[00:02:43.160 --> 00:02:46.640]  差不多每個主日都是三至四個人
[00:02:46.640 --> 00:02:48.200]  可能兩個執事來
[00:02:48.200 --> 00:02:49.400]  或者多一個弟兄來
[00:02:49.400 --> 00:02:50.600]  多一個姐妹來
[00:02:50.600 --> 00:02:52.800]  都是三至四個人左右
[00:02:52.800 --> 00:02:55.000]  最高興的是什麼呢
[00:02:55.000 --> 00:02:56.000]  就是說
[00:02:56.000 --> 00:02:58.040]  我們教會
[00:02:58.040 --> 00:02:59.960]  全區的教會
[00:02:59.960 --> 00:03:02.680]  很多時候我們就每年有一次的
[00:03:02.680 --> 00:03:03.800]  叫做進修會
[00:03:03.800 --> 00:03:06.160]  其實就是叫做退修會
[00:03:06.160 --> 00:03:08.960]  我們就會用那個教會
[00:03:08.960 --> 00:03:11.680]  因為教會其實挺大的
[00:03:11.680 --> 00:03:15.360]  說真的禮堂也有這裡那麼大的
[00:03:15.360 --> 00:03:18.880]  可以容納一百多人的一個地方
[00:03:18.880 --> 00:03:20.680]  但是就只有四個人
[00:03:20.680 --> 00:03:22.600]  所以他們很喜歡用那個地方
[00:03:22.600 --> 00:03:24.560]  因為那個地方又在山頂
[00:03:24.560 --> 00:03:27.080]  又清涼空氣
[00:03:27.080 --> 00:03:31.400]  那些年輕人就在那裡舉行退修會
[00:03:31.400 --> 00:03:34.160]  那個牧師就很開心
[00:03:34.160 --> 00:03:37.120]  因為每年最少有一次
[00:03:37.120 --> 00:03:40.480]  都有幾十個人在那裡參加崇拜
[00:03:40.480 --> 00:03:41.440]  為什麼呢
[00:03:41.440 --> 00:03:44.160]  我們是星期一開始有退修會
[00:03:44.160 --> 00:03:45.760]  星期日呢
[00:03:45.760 --> 00:03:46.200]  不是
[00:03:46.200 --> 00:03:48.960]  星期日下午開始有退修會
[00:03:48.960 --> 00:03:50.000]  星期六呢
[00:03:50.000 --> 00:03:53.040]  一些負責事工的一些突顯智慧
[00:03:53.040 --> 00:03:54.880]  就要上去準備先的了
[00:03:54.880 --> 00:03:57.920]  所以他們星期天就會參加崇拜的
[00:03:57.920 --> 00:04:01.600]  那時候都有十幾十人
[00:04:01.600 --> 00:04:03.800]  所以牧師就很開心
