
[00:00:00.000 --> 00:00:04.240]  剛才主席替我讀了詩篇第九十六篇
[00:00:04.240 --> 00:00:09.760]  九十六篇是一個大家很喜歡的其中一篇詩篇
[00:00:09.760 --> 00:00:13.560]  因為一開始說你們要向耶和華唱新歌
[00:00:13.560 --> 00:00:16.360]  全地都要向耶和華歌唱
[00:00:16.360 --> 00:00:22.640]  詩篇是在什麼情況唱盡出來呢?
[00:00:22.640 --> 00:00:32.520]  當年大衛王要將藥櫃接到耶路撒冷的時候
[00:00:32.520 --> 00:00:40.920]  在聖經歷代志十六章上記載了這個情景
[00:00:40.920 --> 00:00:44.240]  在情景中講到師伯唱詩歌
[00:00:44.240 --> 00:00:47.840]  而詩篇九十六篇裏面
[00:00:47.840 --> 00:00:57.080]  大部分的經文都會看到再一次在歷代志十六章裏面重現詩歌
[00:00:57.080 --> 00:01:02.120]  而當時大衛王是以一個感恩的崇拜
[00:01:02.120 --> 00:01:06.840]  能夠去迎接慶祝神的藥櫃
[00:01:06.840 --> 00:01:09.920]  再次進入耶路撒冷這個地方
[00:01:09.920 --> 00:01:14.040]  所以當我們今天去看詩篇九十六篇的時候
[00:01:14.040 --> 00:01:20.040]  可以說我們對於一個崇拜、一個教導是給我們一個很好的學習機會
[00:01:20.040 --> 00:01:23.920]  所以今天跟大家思想詩篇九十六篇
[00:01:23.920 --> 00:01:28.240]  特別是講這個題目就是敬拜的更新
[00:01:28.240 --> 00:01:32.640]  在一兩個月裏面我們在講敬拜
[00:01:32.640 --> 00:01:37.760]  在一方面我們是最多人參與
[00:01:37.760 --> 00:01:41.000]  在每逢教會的聚會裏面
[00:01:41.000 --> 00:01:43.120]  最多人參加就是崇拜
[00:01:43.120 --> 00:01:45.240]  最多人參與就是崇拜
[00:01:45.240 --> 00:01:47.560]  所以是我們很切身的
[00:01:47.560 --> 00:01:50.840]  是我們每一個都應該去學習
[00:01:50.840 --> 00:01:53.400]  究竟我們怎樣去敬拜神呢?
[00:01:53.400 --> 00:01:56.000]  真的有合宜的態度
[00:01:56.000 --> 00:01:59.520]  真的明白這個觀念
[00:01:59.520 --> 00:02:02.960]  真的我們能夠可以達到神的面前
[00:02:02.960 --> 00:02:04.400]  蒙神的月亮
[00:02:04.400 --> 00:02:09.760]  所以今天繼續用這個題目跟大家去分享
[00:02:09.760 --> 00:02:14.120]  敬拜需要更新
[00:02:14.120 --> 00:02:16.680]  敬拜都需要更新的嗎?
[00:02:16.680 --> 00:02:19.480]  當然了
[00:02:19.480 --> 00:02:22.360]  我們是一個有生命的人
[00:02:22.360 --> 00:02:26.760]  我們都知道我們身體上有新陳代謝
[00:02:26.760 --> 00:02:29.880]  我們都知道我們很多的生活裏面
[00:02:29.880 --> 00:02:32.520]  都要有更替、更換
[00:02:32.520 --> 00:02:37.600]  你看宇宙萬物你又會看到有四時的運轉、更生
[00:02:37.600 --> 00:02:43.920]  其實在一個這麼動態的生活裏面
[00:02:43.920 --> 00:02:47.440]  加上我們這種活生生的敬拜
[00:02:47.440 --> 00:02:50.760]  又是敬拜一個活生生的神的時候
[00:02:50.760 --> 00:02:54.840]  我們不能夠讓我們的敬拜慢慢變成僵化
[00:02:54.840 --> 00:02:59.040]  不能夠讓我們的敬拜變成一個機械化
[00:02:59.040 --> 00:03:00.280]  我們都需要更新
[00:03:00.280 --> 00:03:03.600]  當然說的更新不是說把舊的丟掉
[00:03:03.600 --> 00:03:06.040]  然後用一套新的東西出來
[00:03:06.040 --> 00:03:07.920]  這些情況是會有的
[00:03:07.920 --> 00:03:11.480]  我昨天剛剛在家中換了一個洗衣機
[00:03:11.480 --> 00:03:12.240]  沒辦法了
[00:03:12.240 --> 00:03:15.200]  洗衣機關上蓋子
[00:03:15.200 --> 00:03:16.440]  然後按按鈕
[00:03:16.440 --> 00:03:19.320]  然後整個小時都是沒有動的
[00:03:19.320 --> 00:03:21.000]  洗衣機不動真的沒辦法了
[00:03:21.000 --> 00:03:22.280]  做不了事了
[00:03:22.280 --> 00:03:23.960]  找人來看
[00:03:23.960 --> 00:03:26.160]  看說電腦版壞了
[00:03:26.160 --> 00:03:26.960]  沒得救了
[00:03:26.960 --> 00:03:27.520]  有得救的
[00:03:27.520 --> 00:03:31.480]  換了差不多整部機的價錢
[00:03:31.480 --> 00:03:33.520]  都是時候換機
[00:03:33.520 --> 00:03:36.720]  換了機回來之後有很多的說明書
[00:03:36.720 --> 00:03:39.400]  我看完之後就將說明書擺好
[00:03:39.400 --> 00:03:40.760]  通常都擺好了
[00:03:40.760 --> 00:03:43.360]  有什麼問題就看回說明書
[00:03:43.360 --> 00:03:46.440]  擺好說明書發覺我家裏有一大疊說明書
[00:03:46.440 --> 00:03:47.680]  再找一找
[00:03:47.680 --> 00:03:52.080]  發覺說明書的電器好像沒什麼印象
[00:03:52.080 --> 00:03:55.160]  原來那些已經是舊了已經換了
[00:03:55.160 --> 00:03:57.240]  說明書還放在那裏
[00:03:57.240 --> 00:04:03.640]  昨天我就順便扔掉那些已經更換了的電器說明書
[00:04:03.640 --> 00:04:04.880]  沒什麼用了
[00:04:04.880 --> 00:04:08.480]  所以我們日常裏面都很多的更換更新
[00:04:08.480 --> 00:04:12.120]  特別是你剛才唱這首詩歌
[00:04:12.120 --> 00:04:14.040]  你們要向爺爺唱新歌的話
