
[00:00:00.000 --> 00:00:05.240]  感謝神直接施加給我們的安慰、鼓勵和提醒
[00:00:05.240 --> 00:00:07.160]  讓我們再次動心祈禱
[00:00:07.160 --> 00:00:13.120]  預備我們領受主的道
[00:00:13.120 --> 00:00:14.920]  父啊天地的主
[00:00:14.920 --> 00:00:17.720]  我們感謝贊美你
[00:00:17.720 --> 00:00:22.120]  因為你確實拯救一切投靠你的人
[00:00:22.120 --> 00:00:24.880]  脫離恐懼
[00:00:24.880 --> 00:00:27.080]  主啊在我們恐懼的日子
[00:00:27.080 --> 00:00:29.680]  我們的力量就衰微
[00:00:29.680 --> 00:00:34.120]  讓這個世界搖撼和掀著走
[00:00:34.120 --> 00:00:39.920]  但你叫我們不用沮喪、不用恐懼
[00:00:39.920 --> 00:00:43.280]  因為你的幫助是真實的
[00:00:43.280 --> 00:00:46.040]  是堅定和可靠的
[00:00:46.040 --> 00:00:48.480]  你要賜下你的恩賢
[00:00:48.480 --> 00:00:50.640]  去擦亮我們的眼睛
[00:00:50.640 --> 00:00:52.640]  開通我們的耳朵
[00:00:52.640 --> 00:00:54.960]  讓我們看到你的同在
[00:00:54.960 --> 00:00:57.000]  領受你的恩惠
[00:00:57.000 --> 00:00:58.920]  可以得力前行
[00:00:58.920 --> 00:01:00.520]  主啊我們投靠你
[00:01:00.520 --> 00:01:02.120]  求你恩臨我們中間
[00:01:02.120 --> 00:01:03.440]  幫助我們
[00:01:03.440 --> 00:01:05.000]  禱告奉耶穌的名及
[00:01:05.000 --> 00:01:06.240]  阿們
[00:01:29.920 --> 00:01:31.840]  而第二個問題就是
[00:01:31.840 --> 00:01:34.640]  為何上帝會這樣審判
[00:01:34.640 --> 00:01:36.440]  第一個問題
[00:01:36.440 --> 00:01:39.320]  在第一章的信報裏面的時候
[00:01:39.320 --> 00:01:40.320]  我們知道
[00:01:40.320 --> 00:01:42.920]  先知哈巴谷所身處的社會環境裏面
[00:01:42.920 --> 00:01:45.120]  由大國是十分的敗壞
[00:01:45.120 --> 00:01:47.520]  充滿著各樣的惡行
[00:01:47.520 --> 00:01:50.920]  這些罪惡常常出現在先知的眼前
[00:01:50.920 --> 00:01:54.760]  就如強暴、姦惡和很多的爭端
[00:01:54.760 --> 00:01:59.120]  惡人以強暴的手法去搶奪別人的益處
[00:01:59.120 --> 00:02:01.520]  所以強暴這個詞語
[00:02:01.520 --> 00:02:04.360]  在哈巴谷書裏面總共出現了五次
[00:02:04.360 --> 00:02:07.120]  而頭三次在第一章裏面出現
[00:02:07.120 --> 00:02:09.600]  強調那種罪惡的猖獗
[00:02:09.600 --> 00:02:13.160]  那種殘暴、那種對人的蹂躪
[00:02:13.160 --> 00:02:16.920]  作惡者用姦惡的手法去待人
[00:02:16.920 --> 00:02:20.520]  似乎表面上看來是合情合理合法
[00:02:20.520 --> 00:02:24.040]  但實際上卻是使人勞苦
[00:02:24.040 --> 00:02:26.920]  使人揹重擔受欺壓
[00:02:26.920 --> 00:02:31.400]  甚至用訴訟法律的方式去對付人
[00:02:31.400 --> 00:02:34.640]  其中並不是遵行律法
[00:02:34.640 --> 00:02:39.080]  而是將真理去到歪曲去貶低
[00:02:39.080 --> 00:02:42.280]  二人被惡人去到包圍
[00:02:42.280 --> 00:02:46.560]  這個是哈巴谷所身處的社會環境裏面
[00:02:46.560 --> 00:02:48.320]  他所親身見證
[00:02:48.320 --> 00:02:49.960]  以至於他提出一個疑問
[00:02:49.960 --> 00:02:53.880]  為何上帝你還未去施行審判
[00:02:53.880 --> 00:02:57.160]  哈巴谷先知可能正正是其中一個
[00:02:57.160 --> 00:03:00.320]  被惡人去包圍的二人
[00:03:00.320 --> 00:03:02.680]  當他要履行先知的職份
[00:03:02.680 --> 00:03:05.680]  將神的話語、將律法去解明
[00:03:05.680 --> 00:03:08.360]  亦都去指斥人所犯的罪的時候
[00:03:08.360 --> 00:03:10.480]  他被惡人去包圍
[00:03:10.480 --> 00:03:13.520]  要他去噤聖
[00:03:13.520 --> 00:03:16.640]  當先知提出一個這樣的揭問之後
[00:03:16.640 --> 00:03:18.240]  他得到回應了
[00:03:18.240 --> 00:03:20.680]  通常我們祈禱之後都希望得到
[00:03:20.680 --> 00:03:22.400]  聽到好消息
[00:03:22.400 --> 00:03:24.640]  但他聽到的是和音
[00:03:24.640 --> 00:03:27.120]  不是那些屍斑的和音
[00:03:27.120 --> 00:03:29.080]  是有和的聲音
[00:03:29.080 --> 00:03:31.080]  一個惡號
[00:03:31.080 --> 00:03:33.400]  神的子民
[00:03:33.400 --> 00:03:35.200]  神說他會審判他的子民
[00:03:35.200 --> 00:03:38.400]  不過他會用一個更加殘忍、恐怖的
[00:03:38.400 --> 00:03:40.800]  踐踏列國的迦勒底人
[00:03:40.800 --> 00:03:42.840]  新興起的巴比倫帝國
