
[00:00:00.000 --> 00:00:02.400]  教會今年的主題是
[00:00:02.400 --> 00:00:05.240]  人人有照明 個個做回應
[00:00:05.240 --> 00:00:07.760]  其實這個不單單是教會今年的主題
[00:00:07.760 --> 00:00:10.800]  是未來七年長遠計劃
[00:00:10.800 --> 00:00:14.360]  甚至是教會整個新的使命
[00:00:14.360 --> 00:00:16.360]  和我們臆長的部分
[00:00:16.360 --> 00:00:18.760]  我聽聞有些弟兄姊妹聽到
[00:00:18.760 --> 00:00:20.760]  教會今年的主題第一個反應
[00:00:20.760 --> 00:00:22.520]  又是照明
[00:00:22.520 --> 00:00:23.720]  有沒有這個反應
[00:00:23.720 --> 00:00:27.000]  說了一年還說不厭嗎
[00:00:27.000 --> 00:00:28.520]  或者還有話要說
[00:00:28.520 --> 00:00:30.520]  如果你有這個反應
[00:00:30.520 --> 00:00:32.320]  也是很正常的
[00:00:32.320 --> 00:00:34.320]  因為的確我們說了一年
[00:00:34.320 --> 00:00:36.320]  但我又鼓勵你
[00:00:36.320 --> 00:00:38.320]  心可以擴闊多一點
[00:00:38.320 --> 00:00:38.920]  為什麼呢
[00:00:38.920 --> 00:00:41.320]  因為這個照明這個課題
[00:00:41.320 --> 00:00:44.720]  其實好像海洋的寶藏一樣
[00:00:44.720 --> 00:00:46.320]  是很豐富
[00:00:46.320 --> 00:00:47.920]  除了楊碩昌牧師
[00:00:47.920 --> 00:00:49.520]  他的綽號是楊醫
[00:00:49.520 --> 00:00:51.720]  他著書論說之外
[00:00:51.720 --> 00:00:54.320]  其實坊間或者不同的地方
[00:00:54.320 --> 00:00:55.920]  有很多的人都寫書
[00:00:55.920 --> 00:00:57.120]  在2011年的時候
[00:00:57.120 --> 00:00:58.720]  其實已經有一本書
[00:00:58.720 --> 00:01:01.920]  叫做《活出你的照明》
[00:01:01.920 --> 00:01:04.120]  最近有一本新的
[00:01:04.120 --> 00:01:05.720]  葉漢浩教授
[00:01:05.720 --> 00:01:07.320]  他是崇基學院的教授
[00:01:07.320 --> 00:01:08.920]  我請了他來港島
[00:01:08.920 --> 00:01:09.720]  他寫了一本
[00:01:09.720 --> 00:01:13.520]  《基督徒時代照明的十種堅持》
[00:01:13.520 --> 00:01:15.720]  我們牧者執事今年就是看這本書
[00:01:15.720 --> 00:01:17.120]  我們每次在執事會議的時候
[00:01:17.120 --> 00:01:18.920]  就會分享一部分
[00:01:18.920 --> 00:01:20.520]  其實很多東西還可以說
[00:01:20.520 --> 00:01:21.520]  再早一點
[00:01:21.520 --> 00:01:23.320]  其實有一位神學家
[00:01:23.320 --> 00:01:24.920]  他叫做Paul Stephens
[00:01:24.920 --> 00:01:29.320]  他出了名「著名探討職場神學」
[00:01:29.320 --> 00:01:30.720]  所以寫了很多書
[00:01:30.720 --> 00:01:32.720]  很早幾年他就寫
[00:01:32.720 --> 00:01:33.920]  「七日全職信仰」
[00:01:33.920 --> 00:01:35.120]  為什麼要這樣說呢
[00:01:35.120 --> 00:01:36.120]  因為很多人以為
[00:01:36.120 --> 00:01:36.920]  我們基督徒
[00:01:36.920 --> 00:01:38.720]  就是做禮拜六日的基督徒
[00:01:38.720 --> 00:01:39.520]  回來聚會
[00:01:39.520 --> 00:01:40.920]  現在就很好了
[00:01:40.920 --> 00:01:42.120]  出了去之後
[00:01:42.120 --> 00:01:43.920]  就好像打回原形
[00:01:43.920 --> 00:01:46.920]  那個好像沒有了基督信仰
[00:01:46.920 --> 00:01:48.120]  那個生活
[00:01:48.120 --> 00:01:50.120]  那個生命的人
[00:01:50.120 --> 00:01:50.920]  寫很多的書
[00:01:50.920 --> 00:01:52.120]  還有另一版
[00:01:52.120 --> 00:01:53.720]  有一本要介紹一下
[00:01:53.720 --> 00:01:55.720]  下一版,麻煩你
[00:01:55.720 --> 00:01:58.920]  「退休止鬥號」
[00:01:58.920 --> 00:01:59.720]  這個說什麼呢
[00:01:59.720 --> 00:02:01.520]  人生有不同的階段
[00:02:01.520 --> 00:02:04.120]  其實我們怎樣在人生不同的階段
[00:02:04.120 --> 00:02:05.920]  去服侍上帝
[00:02:05.920 --> 00:02:07.520]  或者回應上帝
[00:02:07.520 --> 00:02:09.720]  活出我們基督徒的樣式
[00:02:09.720 --> 00:02:12.120]  甚至是說我們基督徒的照明
[00:02:12.120 --> 00:02:13.320]  關於照明
[00:02:13.320 --> 00:02:15.720]  他說有三重
[00:02:15.720 --> 00:02:17.920]  第一,是人類的照明
[00:02:17.920 --> 00:02:19.320]  這個是普遍性的
[00:02:19.320 --> 00:02:21.120]  人和上帝相交
[00:02:21.120 --> 00:02:22.720]  人與人之間相交
[00:02:22.720 --> 00:02:25.320]  人與上帝一起來管理這個大地
[00:02:25.320 --> 00:02:27.720]  這個無論信了或者還沒信
[00:02:27.720 --> 00:02:29.320]  不過還沒信的他不知道
[00:02:29.320 --> 00:02:30.920]  其實都有這個照明
[00:02:30.920 --> 00:02:32.520]  或者還沒信的人其實他也知道
[00:02:32.520 --> 00:02:34.920]  有這個環保的意識
[00:02:34.920 --> 00:02:36.320]  近日大家看新聞
[00:02:36.320 --> 00:02:38.320]  澳洲我們要每次為他們祈禱
[00:02:38.320 --> 00:02:39.520]  那種大火
[00:02:39.520 --> 00:02:42.720]  提升我們要怎樣管理這個大地的意識
[00:02:42.720 --> 00:02:43.920]  人類的照明
[00:02:43.920 --> 00:02:45.320]  普及性的
[00:02:45.320 --> 00:02:47.920]  第二是基督徒的照明
[00:02:47.920 --> 00:02:48.720]  這個是說
[00:02:48.720 --> 00:02:49.920]  特別是針對基督徒
[00:02:49.920 --> 00:02:51.120]  一會兒我會再說
[00:02:51.120 --> 00:02:53.320]  第三是個人的照明
[00:02:53.320 --> 00:02:57.120]  個人的照明涵蓋了上帝的護理
[00:02:57.120 --> 00:02:58.520]  聖靈的恩慈
[00:02:58.520 --> 00:03:00.720]  還有聖靈在人內心
[00:03:00.720 --> 00:03:02.320]  包括還沒信的人
[00:03:02.320 --> 00:03:02.920]  都是這樣的
[00:03:02.920 --> 00:03:04.320]  有內心的呼喚
[00:03:04.320 --> 00:03:06.720]  在我們一生的遭遇
[00:03:06.720 --> 00:03:07.720]  命運
[00:03:07.720 --> 00:03:09.520]  我們會有一些回應
