
[00:00:00.000 --> 00:00:05.000]  大家早晨 大家昨晚睡得好不好 睡得好好
[00:00:05.000 --> 00:00:09.000]  希望大家都有精神一齊來敬拜上帝
[00:00:09.000 --> 00:00:13.000]  通常我們問人睡得好不好
[00:00:13.000 --> 00:00:16.000]  可能有些朋友會跟我們說他不是睡得很好
[00:00:16.000 --> 00:00:22.000]  我們就會問你近來壓力太大 晚上太多事情想
[00:00:22.000 --> 00:00:26.000]  很多事情擔心 或者我會實際問
[00:00:26.000 --> 00:00:32.000]  是不是這個床褥承托力不夠好
[00:00:32.000 --> 00:00:34.000]  為什麼我們會這樣判斷呢
[00:00:34.000 --> 00:00:36.000]  就是因為在我們的認知裏面
[00:00:36.000 --> 00:00:40.000]  一張床褥是很影響你的睡眠質素
[00:00:40.000 --> 00:00:44.000]  有時我們為了睡得好
[00:00:44.000 --> 00:00:48.000]  我們都會不惜代價去選擇一些好的床褥
[00:00:48.000 --> 00:00:53.000]  就好像我們四年前來到美國的時候來讀書
[00:00:53.000 --> 00:00:56.000]  我們都去了很多地方
[00:00:56.000 --> 00:00:59.000]  去IKEA 又去了不同的地方去試
[00:00:59.000 --> 00:01:03.000]  希望找到一張比較硬的床褥
[00:01:03.000 --> 00:01:07.000]  始終我們睡不慣 不是美國人
[00:01:07.000 --> 00:01:09.000]  我們需要一些硬身的床褥
[00:01:09.000 --> 00:01:12.000]  承托力好一點 才睡得好一點
[00:01:12.000 --> 00:01:14.000]  大家看看這張床褥
[00:01:14.000 --> 00:01:18.000]  你猜一下它多少錢
[00:01:18.000 --> 00:01:23.000]  是貴的 是貴的 不是便宜 是貴的
[00:01:23.000 --> 00:01:25.000]  你猜一下它多少錢
[00:01:25.000 --> 00:01:27.000]  五萬元 我又不猜五萬元
[00:01:27.000 --> 00:01:29.000]  有沒有高一點 有沒有高一點
[00:01:29.000 --> 00:01:31.000]  有沒有高一點 有沒有高一點
[00:01:31.000 --> 00:01:34.000]  有人說四五千元 四五千元太少了
[00:01:34.000 --> 00:01:37.000]  太少了 用美金計價
[00:01:37.000 --> 00:01:40.000]  我先給大家一些提示
[00:01:40.000 --> 00:01:43.000]  Made in Sweden 全人手製作
[00:01:43.000 --> 00:01:50.000]  需要六八個小時將裏面的馬毛 羊毛 棉一層一層鋪
[00:01:50.000 --> 00:01:54.000]  然後最尾就配這個瑞典的床褥
[00:01:54.000 --> 00:02:01.000]  提示就是這樣 你猜一下它多少錢
[00:02:01.000 --> 00:02:07.000]  多少錢 三萬 三萬 有沒有再高一點
[00:02:07.000 --> 00:02:12.000]  二十萬 二十萬 太少了
[00:02:12.000 --> 00:02:15.000]  太少了 二十萬太少了
[00:02:15.000 --> 00:02:17.000]  對呀 猜中了 是一百萬
[00:02:17.000 --> 00:02:20.000]  一百萬這張床褥
[00:02:20.000 --> 00:02:24.000]  對呀 一百萬美金
[00:02:24.000 --> 00:02:27.000]  剛剛二零二六年最新的價位
[00:02:27.000 --> 00:02:30.000]  一百萬美金
[00:02:30.000 --> 00:02:35.000]  所以可見有人為了睡得好
[00:02:35.000 --> 00:02:37.000]  真的會有人買這張床褥
[00:02:37.000 --> 00:02:39.000]  買了已經收歐了
[00:02:39.000 --> 00:02:42.000]  如果你要等可以等下年 一年只有一張
[00:02:42.000 --> 00:02:47.000]  所以他們覺得為了他們的睡眠質素
[00:02:47.000 --> 00:02:50.000]  為了他們的身體
[00:02:50.000 --> 00:02:56.000]  他們覺得值得付出代價去換取一個好的時間
[00:02:56.000 --> 00:02:58.000]  他們睡得好
[00:02:58.000 --> 00:03:00.000]  今天我們看一篇經文
