
[00:00:00.000 --> 00:00:03.740]  如果大家記得我們在講立位祭的時候
[00:00:03.740 --> 00:00:06.820]  我們說立位祭是講到上帝的聖潔
[00:00:06.820 --> 00:00:08.820]  我們講到一羣祭師
[00:00:08.820 --> 00:00:12.340]  他們是聖潔的保護、保惠者
[00:00:12.340 --> 00:00:14.740]  他們要保護上帝的聖潔
[00:00:14.740 --> 00:00:16.060]  但是從另外一個角度
[00:00:16.060 --> 00:00:20.420]  通過他們很多當中的一些禮儀
[00:00:20.420 --> 00:00:27.980]  一些這個祭物、這個血等等
[00:00:27.980 --> 00:00:30.460]  以致我們可以獻祭
[00:00:30.460 --> 00:00:32.940]  就讓我們也是保護着
[00:00:32.940 --> 00:00:36.140]  在聖潔上帝面前的罪人
[00:00:36.140 --> 00:00:39.260]  讓我們可以跟上帝有一個正確的關係
[00:00:39.260 --> 00:00:43.340]  那如果我們比較正面地去看立位祭
[00:00:43.340 --> 00:00:47.460]  它是關於這個聖潔的保惠者的時候
[00:00:47.460 --> 00:00:52.900]  你去看明述祭就是比較一個黑暗的一本書
[00:00:52.900 --> 00:00:54.140]  明述祭
[00:00:54.140 --> 00:00:58.780]  如果你上個禮拜有聽我的這個加油站
[00:00:58.780 --> 00:01:01.900]  你知道我把它這個主題
[00:01:01.900 --> 00:01:06.180]  放爲是曠野中的叛逆
[00:01:06.180 --> 00:01:09.740]  它是在講他們要從埃及地
[00:01:09.740 --> 00:01:14.420]  經過這個曠野進入陰許之地
[00:01:14.420 --> 00:01:19.500]  但是當中本來應該是幾個禮拜的路程
[00:01:19.500 --> 00:01:20.660]  變成40年
[00:01:20.660 --> 00:01:24.100]  因爲他們在曠野中叛逆上帝
[00:01:24.100 --> 00:01:25.660]  不單只是一時的叛逆
[00:01:25.660 --> 00:01:28.340]  是整個時代的叛逆
[00:01:28.340 --> 00:01:32.540]  以致當時候所有的20歲以上
[00:01:32.540 --> 00:01:37.020]  除了那個約蘇亞、加勒以外
[00:01:37.020 --> 00:01:40.620]  都沒辦法進入這個陰許之地
[00:01:40.620 --> 00:01:42.140]  但是在這本書裏面
[00:01:42.140 --> 00:01:43.020]  雖然是黑暗
[00:01:43.020 --> 00:01:47.060]  它也是有這個曠野的叛逆
[00:01:47.060 --> 00:01:49.540]  也有曠野裏面的拯救
[00:01:49.540 --> 00:01:54.020]  我們也是看到上帝很大很大的恩典
[00:01:54.020 --> 00:01:56.100]  今天我們也會看到上帝的恩典
[00:01:56.100 --> 00:01:57.380]  祂的陰許
[00:01:57.380 --> 00:02:00.300]  祂的忠誠對於祂約的忠誠
[00:02:00.300 --> 00:02:05.300]  但是我們也看到以色列人繼續的叛逆
[00:02:05.300 --> 00:02:07.020]  然後叛逆的當中
[00:02:07.020 --> 00:02:10.580]  他們將失去他們的祝福
[00:02:10.580 --> 00:02:13.380]  讓他們的祝福變成詛咒
[00:02:13.380 --> 00:02:17.060]  我們今天是10月9號
[00:02:17.060 --> 00:02:21.500]  我們應該看的是民宿紀第23、24章
[00:02:21.500 --> 00:02:24.220]  明天繼續看第25章
[00:02:24.220 --> 00:02:28.020]  我今天要跟大家講的就是23、24、25
[00:02:28.020 --> 00:02:32.740]  我覺得這幾章聖經需要有一個連結
[00:02:32.740 --> 00:02:39.780]  我們纔可以看得到背後的整個大題目、大圖畫
[00:02:39.780 --> 00:02:42.660]  我們要講的是一個大家很熟悉的故事
[00:02:42.660 --> 00:02:45.620]  講到巴蘭一個先知
[00:02:45.620 --> 00:02:47.060]  一個外邦的先知
[00:02:47.060 --> 00:02:50.620]  大概不是一個真正敬拜耶和華的先知
[00:02:50.620 --> 00:02:54.660]  他的對以色列人的祝福
[00:02:54.660 --> 00:02:58.820]  他其實從詛咒變成了祝福
[00:02:58.820 --> 00:03:02.060]  我們還沒有看這個故事之前
[00:03:02.060 --> 00:03:04.900]  我想再讓大家看看
[00:03:04.900 --> 00:03:10.580]  上個禮拜爲大家介紹整本民宿紀的一個大綱
[00:03:10.580 --> 00:03:13.660]  或者是一個寫作的架構
[00:03:13.660 --> 00:03:16.980]  你看到它分爲五部分
[00:03:16.980 --> 00:03:18.300]  1、3、5、2、4
[00:03:18.300 --> 00:03:21.260]  1、3、5是講到他們在不同地方
[00:03:21.260 --> 00:03:24.700]  不同曠野的那個地方發生的事情
[00:03:24.700 --> 00:03:28.700]  然後2是講到他們從第一個曠野
[00:03:28.700 --> 00:03:29.940]  爬到第二個曠野
[00:03:29.940 --> 00:03:32.180]  第二個曠野爬到第三個曠野
[00:03:32.180 --> 00:03:35.540]  我們今天已經到第五個階段
[00:03:35.540 --> 00:03:37.980]  就是在摩崖的平原
[00:03:37.980 --> 00:03:40.700]  在摩崖的曠野那邊的故事
[00:03:40.700 --> 00:03:43.220]  開始的時候帶大家去看民宿紀
[00:03:43.220 --> 00:03:45.620]  第22章1、2、3節
[00:03:45.620 --> 00:03:49.980]  在講到以色列人已經到達了摩崖地
[00:03:49.980 --> 00:03:54.060]  以色列人起行在摩崖平原
[00:03:54.060 --> 00:03:58.300]  月旦河東對着耶利哥安寧
[00:03:58.300 --> 00:04:00.500]  那你想到他這裏已經講到
[00:04:00.500 --> 00:04:04.700]  他們已經非常非常靠近最後的終點
[00:04:04.700 --> 00:04:06.140]  就是陰曲之地
[00:04:06.140 --> 00:04:08.260]  他們在摩崖的平原裏面
[00:04:08.260 --> 00:04:09.740]  在那邊
[00:04:09.740 --> 00:04:12.700]  他們在月旦河的河東
[00:04:12.700 --> 00:04:15.180]  我不知道你多懂那個地理
[00:04:15.180 --> 00:04:17.820]  簡單來說聖地
[00:04:17.820 --> 00:04:23.380]  陰曲之地是在月旦河的左邊或者西邊
[00:04:23.380 --> 00:04:25.580]  然後他們現在在月旦河的東邊
[00:04:25.580 --> 00:04:32.340]  只要過了河就進入聖地的地方
[00:04:32.340 --> 00:04:35.460]  然後他們對着耶利哥安寧
[00:04:35.460 --> 00:04:38.300]  我不知道你記不記得耶利哥這個城
[00:04:38.300 --> 00:04:42.620]  在後來會發生一個很有名的故事
[00:04:42.620 --> 00:04:44.980]  就是有一個妓女拉霞
[00:04:44.980 --> 00:04:50.820]  在耶利哥被以色列人所統戰之前
[00:04:50.820 --> 00:04:53.900]  就是她做了一個信心的回應
[00:04:53.900 --> 00:04:55.540]  她辯解
[00:04:55.540 --> 00:05:00.340]  她出賣了自己的國家和子民
[00:05:00.340 --> 00:05:04.540]  她收留了幾個探子
[00:05:04.540 --> 00:05:09.300]  以致她的家是唯一被拯救的
[00:05:09.300 --> 00:05:12.540]  我希望有機會我們到約書亞紀的時候
[00:05:12.540 --> 00:05:15.980]  也有機會再看看這個故事
[00:05:15.980 --> 00:05:20.420]  所以耶利哥已經是在我們的幕前
[00:05:20.420 --> 00:05:23.260]  西伐的兒子巴勒看見以色列人
[00:05:23.260 --> 00:05:25.940]  向亞末利人所做的一切
[00:05:25.940 --> 00:05:30.300]  摩亞因以色列百姓這麼多
[00:05:30.300 --> 00:05:31.980]  非常懼怕
[00:05:31.980 --> 00:05:36.660]  摩亞因以色列人的緣故就憂劇
[00:05:36.660 --> 00:05:38.380]  我想你留意兩個事情
[00:05:38.380 --> 00:05:41.860]  第一個是以色列人的百姓到這裏
[00:05:41.860 --> 00:05:44.580]  這個時候已經是非常的多
[00:05:44.580 --> 00:05:46.780]  當然他們出埃及的時候也不少
[00:05:46.780 --> 00:05:47.500]  已經很多
[00:05:47.500 --> 00:05:50.780]  可能在曠野這四十年裏面他們更多
[00:05:50.780 --> 00:05:52.860]  總的來說這個是一件好事
[00:05:52.860 --> 00:05:58.140]  這個反映了上帝怎麼樣去遵守祂的約
[00:05:58.140 --> 00:06:00.980]  在祂與亞伯拉罕立約的當中
[00:06:00.980 --> 00:06:03.020]  祂要成爲一個大的子民
[00:06:03.020 --> 00:06:04.620]  最後還變成一個國度
[00:06:04.620 --> 00:06:06.140]  所以這裏你看到
[00:06:06.140 --> 00:06:08.780]  儘管在民書記裏面是講到
[00:06:08.780 --> 00:06:12.980]  以色列人在曠野裏面的叛逆
[00:06:12.980 --> 00:06:16.260]  但是上帝還是繼續讓他們成長
[00:06:16.260 --> 00:06:21.060]  要應許最終亞伯拉罕的約
[00:06:21.060 --> 00:06:25.900]  但是我不要你把它覺得是一個廉價的恩典
[00:06:25.900 --> 00:06:28.940]  就是說盡管他們不單止是叛逆
[00:06:28.940 --> 00:06:31.180]  上帝還是祝福他們
[00:06:31.180 --> 00:06:33.380]  以至最後他們還是上帝子民
[00:06:33.380 --> 00:06:34.100]  不是的
[00:06:34.100 --> 00:06:35.860]  你看到後面你就知道
[00:06:35.860 --> 00:06:37.020]  這裏講到另外一點
[00:06:37.020 --> 00:06:38.060]  我想你留意的
[00:06:38.060 --> 00:06:41.460]  就是西伐的兒子巴勒
[00:06:41.460 --> 00:06:45.060]  看見以色列人的情況
[00:06:45.060 --> 00:06:49.140]  他說摩亞因以色列人懼怕
[00:06:49.140 --> 00:06:51.420]  因爲他們人多
[00:06:51.420 --> 00:06:53.540]  因爲上帝他們聽過
[00:06:53.540 --> 00:06:56.420]  他們對亞伯利人所做的一切
[00:06:56.420 --> 00:06:57.300]  他們懼怕
[00:06:57.300 --> 00:07:01.100]  懼怕對於上帝的作爲是一個正確的回應
[00:07:01.100 --> 00:07:04.660]  如果你記得後來拉夏
[00:07:04.660 --> 00:07:09.500]  爲什麼會收留他們的探子
[00:07:09.500 --> 00:07:12.140]  爲什麼他會保衛
[00:07:12.140 --> 00:07:15.220]  就是因爲他相信以色列一定會贏
[00:07:15.220 --> 00:07:18.780]  他相信以色列的上帝是真實的
[00:07:18.780 --> 00:07:22.820]  他聽到以色列人怎麼樣經過曠野的故事
[00:07:22.820 --> 00:07:24.260]  他就懼怕
[00:07:24.260 --> 00:07:25.500]  懼怕是好的
[00:07:25.500 --> 00:07:28.300]  但是懼怕之後你要怎麼樣回應呢
[00:07:28.300 --> 00:07:29.820]  你是悔改啊
[00:07:29.820 --> 00:07:31.300]  你去相信啊
[00:07:31.300 --> 00:07:35.660]  還是要跟耶和華繼續敵鬥呢
[00:07:35.660 --> 00:07:37.020]  那就是這個問題了
[00:07:37.020 --> 00:07:40.300]  這個埃及的法老也是從某一個角度來說
[00:07:40.300 --> 00:07:41.820]  非常懼怕耶和華
[00:07:41.820 --> 00:07:46.100]  但是他還是決定要跟耶和華鬥個你死我活
[00:07:46.100 --> 00:07:47.740]  然後他就悲慘了
[00:07:47.740 --> 00:07:51.020]  這裏的摩亞巴勒也是
[00:07:51.020 --> 00:07:53.700]  他的懼怕的回應就是
[00:07:53.700 --> 00:07:57.660]  我要找一個人來咒誅以色列人
[00:07:57.660 --> 00:07:58.900]  他找一個人叫巴蘭
[00:07:58.900 --> 00:08:02.660]  我們不是很清楚巴蘭到底是怎麼樣的背景
[00:08:02.660 --> 00:08:06.700]  但是我們相信他大概是很熟臨界的東西
[00:08:06.700 --> 00:08:09.020]  他也彷彿認識耶和華
[00:08:09.020 --> 00:08:12.340]  他算是一個臨界的人吧
[00:08:12.340 --> 00:08:16.500]  可能一個江湖人
[00:08:16.500 --> 00:08:21.220]  他也是一個外邦人的先知
[00:08:21.220 --> 00:08:23.380]  他知道耶和華是誰
[00:08:23.380 --> 00:08:25.740]  他彷彿很懂耶和華的性情
[00:08:25.740 --> 00:08:31.900]  但是你要留意他沒有真正的伏伏在耶和華的面前
[00:08:31.900 --> 00:08:34.220]  在這個故事裏面我們後來都知道
[00:08:34.220 --> 00:08:39.100]  其實巴蘭在新約裏面也是經常好幾次引用
[00:08:39.100 --> 00:08:40.340]  他都是不好的東西
[00:08:40.340 --> 00:08:42.020]  因爲他是一個貪財的人
[00:08:42.020 --> 00:08:43.620]  如果你記得這個故事
[00:08:43.620 --> 00:08:47.420]  巴勒來找巴蘭其實找了兩次
[00:08:47.420 --> 00:08:50.420]  第一次巴蘭說不行不行不要不要去做
[00:08:50.420 --> 00:08:53.860]  他好像知道耶和華不會做這樣的事情
[00:08:53.860 --> 00:08:55.660]  但是從另外一個角度
[00:08:55.660 --> 00:08:58.260]  他過了一次再來一次的時候
[00:08:58.260 --> 00:09:02.180]  將更多的人、更多的禮物、更多的金錢
[00:09:02.180 --> 00:09:05.580]  巴蘭就被收買了
[00:09:05.580 --> 00:09:07.380]  在收買的過程裏面
[00:09:07.380 --> 00:09:12.220]  他知道他還是不能喜歡怎麼樣說就怎麼樣說
[00:09:12.220 --> 00:09:15.260]  他給巴勒的一個答覆就是
[00:09:15.260 --> 00:09:19.420]  我去,但是我去的時候我不知道耶和華要我怎麼樣
[00:09:19.420 --> 00:09:22.980]  我不能超越耶和華所做的事情
[00:09:22.980 --> 00:09:27.540]  我只是嘗試去做你給我的要求
[00:09:27.540 --> 00:09:33.380]  但是真正到底能不能詛咒他們誰都不知道
[00:09:33.380 --> 00:09:36.100]  到了民宿紀二十三章的時候
[00:09:36.100 --> 00:09:39.020]  我們就看到每次巴蘭要開口的時候
[00:09:39.020 --> 00:09:42.420]  結果是耶和華把他的話語放在他的口中
[00:09:42.420 --> 00:09:44.980]  而且那些話語不是詛咒的話語
[00:09:44.980 --> 00:09:47.340]  而是祝福的話語
[00:09:47.340 --> 00:09:48.900]  二十三章第五節這樣說
[00:09:48.900 --> 00:09:52.140]  耶和華把話放在巴蘭口中
[00:09:52.140 --> 00:09:53.860]  第十六節這樣說
[00:09:53.860 --> 00:09:59.620]  耶和華向巴蘭顯現把話放在他的口中說
[00:09:59.620 --> 00:10:01.860]  二十四章第二節第三節這樣說
[00:10:01.860 --> 00:10:07.940]  巴蘭舉目看見以色列人照着支派紮營
[00:10:07.940 --> 00:10:11.500]  上帝的靈就靈到他的身上
[00:10:11.500 --> 00:10:15.020]  他唱起詩歌說
[00:10:15.020 --> 00:10:19.540]  這三次結果都是耶和華自己的開口
[00:10:19.540 --> 00:10:24.460]  好我現在想給你看看三次祝福裏面的一些內容
[00:10:24.460 --> 00:10:28.340]  因爲時間關係我們只可以很片面的去看
[00:10:28.340 --> 00:10:31.580]  第一次祝福我看兩節
[00:10:31.580 --> 00:10:34.060]  第二十三章第九節這樣說
[00:10:34.060 --> 00:10:37.540]  看啊這是獨居的民
[00:10:37.540 --> 00:10:39.340]  不算在列國中
[00:10:39.340 --> 00:10:40.900]  那這什麼意思呢
[00:10:40.900 --> 00:10:45.860]  他就說這個以色列人他不算在列國
[00:10:45.860 --> 00:10:48.260]  列國是外邦人
[00:10:48.260 --> 00:10:51.500]  所以這個國家跟其他國家不一樣
[00:10:51.500 --> 00:10:58.820]  他不單只是沒有跟其他的國家有一個盟約的關係
[00:10:58.820 --> 00:11:03.620]  而是在耶和華的眼中他是一個獨一無二的羣體
[00:11:03.620 --> 00:11:07.260]  我們說以色列人是一個聖潔的國度
[00:11:07.260 --> 00:11:11.700]  所謂聖潔不單只是講到他的道德良好他怎麼樣
[00:11:11.700 --> 00:11:16.380]  而是講到這個國家跟其他的國家是分開的
[00:11:16.380 --> 00:11:19.540]  他是一個獨居的民以色列人是獨居的
[00:11:19.540 --> 00:11:21.580]  被上帝分別維生出來
[00:11:21.580 --> 00:11:24.820]  他不算在其他的列國當中
[00:11:24.820 --> 00:11:26.700]  然後第十節這樣說
[00:11:26.700 --> 00:11:31.380]  誰能數點雅各的塵土
[00:11:31.380 --> 00:11:34.660]  誰能又計算以色列的塵沙
[00:11:34.660 --> 00:11:40.060]  這講到他們人數多的一個地步是好像地上的塵土
